group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_is_err,,1,1,bytes,2184848.0,ns,25
cost_is_err,,1,1,bytes,4048833.0,ns,50
cost_is_err,,1,1,bytes,6071063.0,ns,75
cost_is_err,,1,1,bytes,8101249.0,ns,100
cost_is_err,,1,1,bytes,10232246.0,ns,125
cost_is_err,,1,1,bytes,12136179.0,ns,150
cost_is_err,,1,1,bytes,14151701.0,ns,175
cost_is_err,,1,1,bytes,16243514.0,ns,200
cost_is_err,,1,1,bytes,18218099.0,ns,225
cost_is_err,,1,1,bytes,20290748.0,ns,250
cost_is_err,,1,1,bytes,22294049.0,ns,275
cost_is_err,,1,1,bytes,24269571.0,ns,300
cost_is_err,,1,1,bytes,26295168.0,ns,325
cost_is_err,,1,1,bytes,28324884.0,ns,350
cost_is_err,,1,1,bytes,30316070.0,ns,375
cost_is_err,,1,1,bytes,32337642.0,ns,400
cost_is_err,,1,1,bytes,34337563.0,ns,425
cost_is_err,,1,1,bytes,36357382.0,ns,450
cost_is_err,,1,1,bytes,38386062.0,ns,475
cost_is_err,,1,1,bytes,40403882.0,ns,500
cost_is_err,,1,1,bytes,42407721.0,ns,525
cost_is_err,,1,1,bytes,44483110.0,ns,550
cost_is_err,,1,1,bytes,46474941.0,ns,575
cost_is_err,,1,1,bytes,48522616.0,ns,600
cost_is_err,,1,1,bytes,50566506.0,ns,625
cost_is_err,,1,1,bytes,52484292.0,ns,650
cost_is_err,,1,1,bytes,54606225.0,ns,675
cost_is_err,,1,1,bytes,56575485.0,ns,700
cost_is_err,,1,1,bytes,58575559.0,ns,725
cost_is_err,,1,1,bytes,60835604.0,ns,750
cost_is_err,,1,1,bytes,63127328.0,ns,775
cost_is_err,,1,1,bytes,64958807.0,ns,800
cost_is_err,,1,1,bytes,66956497.0,ns,825
cost_is_err,,1,1,bytes,68701041.0,ns,850
cost_is_err,,1,1,bytes,70773331.0,ns,875
cost_is_err,,1,1,bytes,72849745.0,ns,900
cost_is_err,,1,1,bytes,74865162.0,ns,925
cost_is_err,,1,1,bytes,76922070.0,ns,950
cost_is_err,,1,1,bytes,78923587.0,ns,975
cost_is_err,,1,1,bytes,80866316.0,ns,1000
cost_is_err,,1,1,bytes,82945964.0,ns,1025
cost_is_err,,1,1,bytes,84931578.0,ns,1050
cost_is_err,,1,1,bytes,86995970.0,ns,1075
cost_is_err,,1,1,bytes,89450110.0,ns,1100
cost_is_err,,1,1,bytes,91374968.0,ns,1125
cost_is_err,,1,1,bytes,93147238.0,ns,1150
cost_is_err,,1,1,bytes,95105525.0,ns,1175
cost_is_err,,1,1,bytes,97134910.0,ns,1200
cost_is_err,,1,1,bytes,99177381.0,ns,1225
cost_is_err,,1,1,bytes,101123083.0,ns,1250
cost_is_err,,1,1,bytes,103188257.0,ns,1275
cost_is_err,,1,1,bytes,105021782.0,ns,1300
cost_is_err,,1,1,bytes,107023374.0,ns,1325
cost_is_err,,1,1,bytes,110798346.0,ns,1350
cost_is_err,,1,1,bytes,111375629.0,ns,1375
cost_is_err,,1,1,bytes,113620151.0,ns,1400
cost_is_err,,1,1,bytes,115424895.0,ns,1425
cost_is_err,,1,1,bytes,117432002.0,ns,1450
cost_is_err,,1,1,bytes,119246557.0,ns,1475
cost_is_err,,1,1,bytes,121353412.0,ns,1500
cost_is_err,,1,1,bytes,123219676.0,ns,1525
cost_is_err,,1,1,bytes,125244480.0,ns,1550
cost_is_err,,1,1,bytes,127412491.0,ns,1575
cost_is_err,,1,1,bytes,129490142.0,ns,1600
cost_is_err,,1,1,bytes,131356853.0,ns,1625
cost_is_err,,1,1,bytes,133289676.0,ns,1650
cost_is_err,,1,1,bytes,135254779.0,ns,1675
cost_is_err,,1,1,bytes,137516178.0,ns,1700
cost_is_err,,1,1,bytes,139473931.0,ns,1725
cost_is_err,,1,1,bytes,141709353.0,ns,1750
cost_is_err,,1,1,bytes,143671324.0,ns,1775
cost_is_err,,1,1,bytes,145676982.0,ns,1800
cost_is_err,,1,1,bytes,147596905.0,ns,1825
cost_is_err,,1,1,bytes,149602804.0,ns,1850
cost_is_err,,1,1,bytes,151525298.0,ns,1875
cost_is_err,,1,1,bytes,153926087.0,ns,1900
cost_is_err,,1,1,bytes,155723286.0,ns,1925
cost_is_err,,1,1,bytes,157428344.0,ns,1950
cost_is_err,,1,1,bytes,159656382.0,ns,1975
cost_is_err,,1,1,bytes,161722557.0,ns,2000
cost_is_err,,1,1,bytes,163732545.0,ns,2025
cost_is_err,,1,1,bytes,165723732.0,ns,2050
cost_is_err,,1,1,bytes,168977496.0,ns,2075
cost_is_err,,1,1,bytes,169792741.0,ns,2100
cost_is_err,,1,1,bytes,171809715.0,ns,2125
cost_is_err,,1,1,bytes,173859933.0,ns,2150
cost_is_err,,1,1,bytes,175858167.0,ns,2175
cost_is_err,,1,1,bytes,177951817.0,ns,2200
cost_is_err,,1,1,bytes,179836448.0,ns,2225
cost_is_err,,1,1,bytes,182031610.0,ns,2250
cost_is_err,,1,1,bytes,184017410.0,ns,2275
cost_is_err,,1,1,bytes,186501004.0,ns,2300
cost_is_err,,1,1,bytes,188086365.0,ns,2325
cost_is_err,,1,1,bytes,190836214.0,ns,2350
cost_is_err,,1,1,bytes,192698207.0,ns,2375
cost_is_err,,1,1,bytes,194531359.0,ns,2400
cost_is_err,,1,1,bytes,196266552.0,ns,2425
cost_is_err,,1,1,bytes,198134534.0,ns,2450
cost_is_err,,1,1,bytes,200854428.0,ns,2475
cost_is_err,,1,1,bytes,202779779.0,ns,2500
