group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_is_none,,1,1,bytes,2113706.0,ns,32
cost_is_none,,1,1,bytes,3965037.0,ns,64
cost_is_none,,1,1,bytes,5954514.0,ns,96
cost_is_none,,1,1,bytes,7952224.0,ns,128
cost_is_none,,1,1,bytes,9927365.0,ns,160
cost_is_none,,1,1,bytes,11878059.0,ns,192
cost_is_none,,1,1,bytes,13868750.0,ns,224
cost_is_none,,1,1,bytes,15852356.0,ns,256
cost_is_none,,1,1,bytes,17843187.0,ns,288
cost_is_none,,1,1,bytes,19815188.0,ns,320
cost_is_none,,1,1,bytes,21811840.0,ns,352
cost_is_none,,1,1,bytes,23829951.0,ns,384
cost_is_none,,1,1,bytes,25753007.0,ns,416
cost_is_none,,1,1,bytes,27761720.0,ns,448
cost_is_none,,1,1,bytes,29757289.0,ns,480
cost_is_none,,1,1,bytes,31680336.0,ns,512
cost_is_none,,1,1,bytes,33665380.0,ns,544
cost_is_none,,1,1,bytes,35691661.0,ns,576
cost_is_none,,1,1,bytes,37657816.0,ns,608
cost_is_none,,1,1,bytes,39618754.0,ns,640
cost_is_none,,1,1,bytes,41732282.0,ns,672
cost_is_none,,1,1,bytes,44132615.0,ns,704
cost_is_none,,1,1,bytes,45727245.0,ns,736
cost_is_none,,1,1,bytes,47696411.0,ns,768
cost_is_none,,1,1,bytes,49647694.0,ns,800
cost_is_none,,1,1,bytes,51535199.0,ns,832
cost_is_none,,1,1,bytes,53519531.0,ns,864
cost_is_none,,1,1,bytes,55465214.0,ns,896
cost_is_none,,1,1,bytes,57751519.0,ns,928
cost_is_none,,1,1,bytes,59500445.0,ns,960
cost_is_none,,1,1,bytes,61508422.0,ns,992
cost_is_none,,1,1,bytes,63491708.0,ns,1024
cost_is_none,,1,1,bytes,65416820.0,ns,1056
cost_is_none,,1,1,bytes,67589198.0,ns,1088
cost_is_none,,1,1,bytes,69370433.0,ns,1120
cost_is_none,,1,1,bytes,71316094.0,ns,1152
cost_is_none,,1,1,bytes,73470815.0,ns,1184
cost_is_none,,1,1,bytes,75426810.0,ns,1216
cost_is_none,,1,1,bytes,77391184.0,ns,1248
