group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_is_none,,1,1,bytes,1232256.0,ns,8
cost_is_none,,1,1,bytes,2242358.0,ns,16
cost_is_none,,1,1,bytes,3359225.0,ns,24
cost_is_none,,1,1,bytes,4468598.0,ns,32
cost_is_none,,1,1,bytes,5520953.0,ns,40
cost_is_none,,1,1,bytes,6610425.0,ns,48
cost_is_none,,1,1,bytes,7893512.0,ns,56
cost_is_none,,1,1,bytes,8927191.0,ns,64
cost_is_none,,1,1,bytes,10015224.0,ns,72
cost_is_none,,1,1,bytes,11023270.0,ns,80
cost_is_none,,1,1,bytes,12130498.0,ns,88
cost_is_none,,1,1,bytes,13208288.0,ns,96
cost_is_none,,1,1,bytes,14333282.0,ns,104
cost_is_none,,1,1,bytes,15472008.0,ns,112
cost_is_none,,1,1,bytes,16514367.0,ns,120
cost_is_none,,1,1,bytes,17617952.0,ns,128
cost_is_none,,1,1,bytes,18690838.0,ns,136
cost_is_none,,1,1,bytes,19815604.0,ns,144
cost_is_none,,1,1,bytes,20934358.0,ns,152
cost_is_none,,1,1,bytes,22016000.0,ns,160
cost_is_none,,1,1,bytes,23066045.0,ns,168
cost_is_none,,1,1,bytes,24316920.0,ns,176
cost_is_none,,1,1,bytes,25400116.0,ns,184
cost_is_none,,1,1,bytes,26287103.0,ns,192
cost_is_none,,1,1,bytes,27434482.0,ns,200
cost_is_none,,1,1,bytes,28610978.0,ns,208
cost_is_none,,1,1,bytes,29679856.0,ns,216
cost_is_none,,1,1,bytes,30805353.0,ns,224
cost_is_none,,1,1,bytes,31937335.0,ns,232
cost_is_none,,1,1,bytes,33058605.0,ns,240
cost_is_none,,1,1,bytes,34027903.0,ns,248
cost_is_none,,1,1,bytes,35188852.0,ns,256
cost_is_none,,1,1,bytes,36311061.0,ns,264
cost_is_none,,1,1,bytes,37436977.0,ns,272
cost_is_none,,1,1,bytes,38584674.0,ns,280
cost_is_none,,1,1,bytes,39549974.0,ns,288
cost_is_none,,1,1,bytes,40656135.0,ns,296
cost_is_none,,1,1,bytes,41790969.0,ns,304
cost_is_none,,1,1,bytes,42782145.0,ns,312
cost_is_none,,1,1,bytes,43917992.0,ns,320
cost_is_none,,1,1,bytes,44942092.0,ns,328
cost_is_none,,1,1,bytes,46024760.0,ns,336
cost_is_none,,1,1,bytes,47069522.0,ns,344
cost_is_none,,1,1,bytes,48685564.0,ns,352
cost_is_none,,1,1,bytes,49573460.0,ns,360
cost_is_none,,1,1,bytes,50832226.0,ns,368
cost_is_none,,1,1,bytes,51762376.0,ns,376
cost_is_none,,1,1,bytes,52839184.0,ns,384
cost_is_none,,1,1,bytes,53945908.0,ns,392
cost_is_none,,1,1,bytes,55078421.0,ns,400
cost_is_none,,1,1,bytes,56194786.0,ns,408
cost_is_none,,1,1,bytes,57328665.0,ns,416
cost_is_none,,1,1,bytes,58381367.0,ns,424
cost_is_none,,1,1,bytes,59529826.0,ns,432
cost_is_none,,1,1,bytes,60603696.0,ns,440
cost_is_none,,1,1,bytes,61654615.0,ns,448
cost_is_none,,1,1,bytes,62604472.0,ns,456
cost_is_none,,1,1,bytes,63662532.0,ns,464
cost_is_none,,1,1,bytes,64971600.0,ns,472
cost_is_none,,1,1,bytes,66197797.0,ns,480
cost_is_none,,1,1,bytes,67715735.0,ns,488
cost_is_none,,1,1,bytes,67998189.0,ns,496
cost_is_none,,1,1,bytes,69174973.0,ns,504
cost_is_none,,1,1,bytes,70502393.0,ns,512
cost_is_none,,1,1,bytes,71539019.0,ns,520
cost_is_none,,1,1,bytes,72446441.0,ns,528
cost_is_none,,1,1,bytes,73570055.0,ns,536
cost_is_none,,1,1,bytes,74803761.0,ns,544
cost_is_none,,1,1,bytes,75903922.0,ns,552
cost_is_none,,1,1,bytes,77002035.0,ns,560
cost_is_none,,1,1,bytes,77984792.0,ns,568
cost_is_none,,1,1,bytes,79213507.0,ns,576
cost_is_none,,1,1,bytes,80295656.0,ns,584
cost_is_none,,1,1,bytes,81775274.0,ns,592
cost_is_none,,1,1,bytes,83116173.0,ns,600
cost_is_none,,1,1,bytes,83761633.0,ns,608
cost_is_none,,1,1,bytes,84706346.0,ns,616
cost_is_none,,1,1,bytes,85711316.0,ns,624
cost_is_none,,1,1,bytes,86908955.0,ns,632
cost_is_none,,1,1,bytes,88064527.0,ns,640
cost_is_none,,1,1,bytes,89083255.0,ns,648
cost_is_none,,1,1,bytes,90425033.0,ns,656
cost_is_none,,1,1,bytes,91306643.0,ns,664
cost_is_none,,1,1,bytes,93055805.0,ns,672
cost_is_none,,1,1,bytes,94206291.0,ns,680
cost_is_none,,1,1,bytes,95441999.0,ns,688
cost_is_none,,1,1,bytes,95817148.0,ns,696
cost_is_none,,1,1,bytes,96296843.0,ns,704
cost_is_none,,1,1,bytes,98016617.0,ns,712
cost_is_none,,1,1,bytes,99035601.0,ns,720
cost_is_none,,1,1,bytes,100086814.0,ns,728
cost_is_none,,1,1,bytes,101546063.0,ns,736
cost_is_none,,1,1,bytes,102498099.0,ns,744
cost_is_none,,1,1,bytes,103562565.0,ns,752
cost_is_none,,1,1,bytes,104654093.0,ns,760
cost_is_none,,1,1,bytes,105992471.0,ns,768
cost_is_none,,1,1,bytes,106322540.0,ns,776
cost_is_none,,1,1,bytes,107534704.0,ns,784
cost_is_none,,1,1,bytes,108976247.0,ns,792
cost_is_none,,1,1,bytes,110113004.0,ns,800
