group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_is_okay,,1,1,bytes,2018422.0,ns,25
cost_is_okay,,1,1,bytes,3993506.0,ns,50
cost_is_okay,,1,1,bytes,5965112.0,ns,75
cost_is_okay,,1,1,bytes,7950310.0,ns,100
cost_is_okay,,1,1,bytes,9940480.0,ns,125
cost_is_okay,,1,1,bytes,11947849.0,ns,150
cost_is_okay,,1,1,bytes,13929024.0,ns,175
cost_is_okay,,1,1,bytes,15918269.0,ns,200
cost_is_okay,,1,1,bytes,17892593.0,ns,225
cost_is_okay,,1,1,bytes,19879866.0,ns,250
cost_is_okay,,1,1,bytes,21880245.0,ns,275
cost_is_okay,,1,1,bytes,23986511.0,ns,300
cost_is_okay,,1,1,bytes,25909210.0,ns,325
cost_is_okay,,1,1,bytes,28250862.0,ns,350
cost_is_okay,,1,1,bytes,30164128.0,ns,375
cost_is_okay,,1,1,bytes,31899286.0,ns,400
cost_is_okay,,1,1,bytes,33885097.0,ns,425
cost_is_okay,,1,1,bytes,35983863.0,ns,450
cost_is_okay,,1,1,bytes,37723201.0,ns,475
cost_is_okay,,1,1,bytes,39805481.0,ns,500
cost_is_okay,,1,1,bytes,41824326.0,ns,525
cost_is_okay,,1,1,bytes,43890535.0,ns,550
cost_is_okay,,1,1,bytes,46003339.0,ns,575
cost_is_okay,,1,1,bytes,47720891.0,ns,600
cost_is_okay,,1,1,bytes,49684697.0,ns,625
cost_is_okay,,1,1,bytes,51664665.0,ns,650
cost_is_okay,,1,1,bytes,53871785.0,ns,675
cost_is_okay,,1,1,bytes,55600778.0,ns,700
cost_is_okay,,1,1,bytes,57558944.0,ns,725
cost_is_okay,,1,1,bytes,59535664.0,ns,750
cost_is_okay,,1,1,bytes,61571923.0,ns,775
cost_is_okay,,1,1,bytes,63556793.0,ns,800
cost_is_okay,,1,1,bytes,65540752.0,ns,825
cost_is_okay,,1,1,bytes,67561542.0,ns,850
cost_is_okay,,1,1,bytes,69724657.0,ns,875
cost_is_okay,,1,1,bytes,71547813.0,ns,900
cost_is_okay,,1,1,bytes,73496020.0,ns,925
cost_is_okay,,1,1,bytes,75489197.0,ns,950
cost_is_okay,,1,1,bytes,77476973.0,ns,975
cost_is_okay,,1,1,bytes,79497545.0,ns,1000
cost_is_okay,,1,1,bytes,81483050.0,ns,1025
cost_is_okay,,1,1,bytes,83431795.0,ns,1050
