group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_is_okay,,1,1,bytes,2202340.0,ns,17
cost_is_okay,,1,1,bytes,4045396.0,ns,34
cost_is_okay,,1,1,bytes,6061563.0,ns,51
cost_is_okay,,1,1,bytes,8077139.0,ns,68
cost_is_okay,,1,1,bytes,10075659.0,ns,85
cost_is_okay,,1,1,bytes,12099951.0,ns,102
cost_is_okay,,1,1,bytes,14087152.0,ns,119
cost_is_okay,,1,1,bytes,16110881.0,ns,136
cost_is_okay,,1,1,bytes,18144192.0,ns,153
cost_is_okay,,1,1,bytes,20123485.0,ns,170
cost_is_okay,,1,1,bytes,22113278.0,ns,187
cost_is_okay,,1,1,bytes,24161572.0,ns,204
cost_is_okay,,1,1,bytes,26187561.0,ns,221
cost_is_okay,,1,1,bytes,28180816.0,ns,238
cost_is_okay,,1,1,bytes,30254904.0,ns,255
cost_is_okay,,1,1,bytes,32179875.0,ns,272
cost_is_okay,,1,1,bytes,34144632.0,ns,289
cost_is_okay,,1,1,bytes,36161295.0,ns,306
cost_is_okay,,1,1,bytes,38115765.0,ns,323
cost_is_okay,,1,1,bytes,40095683.0,ns,340
cost_is_okay,,1,1,bytes,42104894.0,ns,357
cost_is_okay,,1,1,bytes,44127793.0,ns,374
cost_is_okay,,1,1,bytes,46761499.0,ns,391
cost_is_okay,,1,1,bytes,48923935.0,ns,408
cost_is_okay,,1,1,bytes,50682582.0,ns,425
cost_is_okay,,1,1,bytes,52413840.0,ns,442
cost_is_okay,,1,1,bytes,54339818.0,ns,459
cost_is_okay,,1,1,bytes,56336614.0,ns,476
cost_is_okay,,1,1,bytes,58344468.0,ns,493
cost_is_okay,,1,1,bytes,60377845.0,ns,510
cost_is_okay,,1,1,bytes,62630489.0,ns,527
cost_is_okay,,1,1,bytes,64565835.0,ns,544
cost_is_okay,,1,1,bytes,66947031.0,ns,561
cost_is_okay,,1,1,bytes,69780596.0,ns,578
cost_is_okay,,1,1,bytes,71717627.0,ns,595
cost_is_okay,,1,1,bytes,72720119.0,ns,612
cost_is_okay,,1,1,bytes,74615487.0,ns,629
cost_is_okay,,1,1,bytes,76538714.0,ns,646
cost_is_okay,,1,1,bytes,78814020.0,ns,663
cost_is_okay,,1,1,bytes,81661530.0,ns,680
cost_is_okay,,1,1,bytes,82822980.0,ns,697
cost_is_okay,,1,1,bytes,84560787.0,ns,714
cost_is_okay,,1,1,bytes,86574581.0,ns,731
