group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_is_standard,,1,1,bytes,1958596.0,ns,38
cost_is_standard,,1,1,bytes,3872580.0,ns,76
cost_is_standard,,1,1,bytes,5757451.0,ns,114
cost_is_standard,,1,1,bytes,7720408.0,ns,152
cost_is_standard,,1,1,bytes,9658505.0,ns,190
cost_is_standard,,1,1,bytes,11557063.0,ns,228
cost_is_standard,,1,1,bytes,13757630.0,ns,266
cost_is_standard,,1,1,bytes,15380658.0,ns,304
cost_is_standard,,1,1,bytes,17315578.0,ns,342
cost_is_standard,,1,1,bytes,19487611.0,ns,380
cost_is_standard,,1,1,bytes,21456830.0,ns,418
cost_is_standard,,1,1,bytes,23080594.0,ns,456
cost_is_standard,,1,1,bytes,25105025.0,ns,494
cost_is_standard,,1,1,bytes,27196476.0,ns,532
cost_is_standard,,1,1,bytes,28893619.0,ns,570
cost_is_standard,,1,1,bytes,31034156.0,ns,608
cost_is_standard,,1,1,bytes,33034358.0,ns,646
cost_is_standard,,1,1,bytes,34987845.0,ns,684
cost_is_standard,,1,1,bytes,36757122.0,ns,722
cost_is_standard,,1,1,bytes,38631898.0,ns,760
cost_is_standard,,1,1,bytes,40684620.0,ns,798
cost_is_standard,,1,1,bytes,42332727.0,ns,836
cost_is_standard,,1,1,bytes,45565374.0,ns,874
cost_is_standard,,1,1,bytes,47365471.0,ns,912
cost_is_standard,,1,1,bytes,48616062.0,ns,950
cost_is_standard,,1,1,bytes,50196011.0,ns,988
cost_is_standard,,1,1,bytes,52649259.0,ns,1026
cost_is_standard,,1,1,bytes,54131379.0,ns,1064
cost_is_standard,,1,1,bytes,56276015.0,ns,1102
cost_is_standard,,1,1,bytes,58143658.0,ns,1140
cost_is_standard,,1,1,bytes,60063562.0,ns,1178
cost_is_standard,,1,1,bytes,61766659.0,ns,1216
cost_is_standard,,1,1,bytes,63782009.0,ns,1254
cost_is_standard,,1,1,bytes,65574497.0,ns,1292
cost_is_standard,,1,1,bytes,67828122.0,ns,1330
cost_is_standard,,1,1,bytes,70059228.0,ns,1368
cost_is_standard,,1,1,bytes,72318296.0,ns,1406
cost_is_standard,,1,1,bytes,74160278.0,ns,1444
cost_is_standard,,1,1,bytes,75398866.0,ns,1482
cost_is_standard,,1,1,bytes,78068100.0,ns,1520
cost_is_standard,,1,1,bytes,80137436.0,ns,1558
cost_is_standard,,1,1,bytes,82214663.0,ns,1596
cost_is_standard,,1,1,bytes,85052774.0,ns,1634
cost_is_standard,,1,1,bytes,85281501.0,ns,1672
