group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_is_standard,,1,1,bytes,2056969.0,ns,40
cost_is_standard,,1,1,bytes,4012909.0,ns,80
cost_is_standard,,1,1,bytes,6010792.0,ns,120
cost_is_standard,,1,1,bytes,8197702.0,ns,160
cost_is_standard,,1,1,bytes,10062797.0,ns,200
cost_is_standard,,1,1,bytes,12191703.0,ns,240
cost_is_standard,,1,1,bytes,14053767.0,ns,280
cost_is_standard,,1,1,bytes,16021657.0,ns,320
cost_is_standard,,1,1,bytes,18021880.0,ns,360
cost_is_standard,,1,1,bytes,20106121.0,ns,400
cost_is_standard,,1,1,bytes,24176416.0,ns,440
cost_is_standard,,1,1,bytes,24386397.0,ns,480
cost_is_standard,,1,1,bytes,26463395.0,ns,520
cost_is_standard,,1,1,bytes,28775173.0,ns,560
cost_is_standard,,1,1,bytes,30171560.0,ns,600
cost_is_standard,,1,1,bytes,32154292.0,ns,640
cost_is_standard,,1,1,bytes,34070575.0,ns,680
cost_is_standard,,1,1,bytes,36186519.0,ns,720
cost_is_standard,,1,1,bytes,38389384.0,ns,760
cost_is_standard,,1,1,bytes,40403761.0,ns,800
cost_is_standard,,1,1,bytes,42511696.0,ns,840
cost_is_standard,,1,1,bytes,44550642.0,ns,880
cost_is_standard,,1,1,bytes,46370513.0,ns,920
cost_is_standard,,1,1,bytes,48662972.0,ns,960
cost_is_standard,,1,1,bytes,50640154.0,ns,1000
cost_is_standard,,1,1,bytes,52773333.0,ns,1040
cost_is_standard,,1,1,bytes,54776229.0,ns,1080
cost_is_standard,,1,1,bytes,56960846.0,ns,1120
cost_is_standard,,1,1,bytes,59550252.0,ns,1160
cost_is_standard,,1,1,bytes,60488075.0,ns,1200
cost_is_standard,,1,1,bytes,62244033.0,ns,1240
cost_is_standard,,1,1,bytes,64806750.0,ns,1280
cost_is_standard,,1,1,bytes,66574892.0,ns,1320
cost_is_standard,,1,1,bytes,69015031.0,ns,1360
cost_is_standard,,1,1,bytes,70566407.0,ns,1400
cost_is_standard,,1,1,bytes,73294378.0,ns,1440
cost_is_standard,,1,1,bytes,74633577.0,ns,1480
cost_is_standard,,1,1,bytes,77261549.0,ns,1520
cost_is_standard,,1,1,bytes,78925505.0,ns,1560
cost_is_standard,,1,1,bytes,81010577.0,ns,1600
cost_is_standard,,1,1,bytes,82833362.0,ns,1640
cost_is_standard,,1,1,bytes,84548753.0,ns,1680
cost_is_standard,,1,1,bytes,86648091.0,ns,1720
cost_is_standard,,1,1,bytes,89010276.0,ns,1760
cost_is_standard,,1,1,bytes,91457397.0,ns,1800
cost_is_standard,,1,1,bytes,94126262.0,ns,1840
cost_is_standard,,1,1,bytes,95399171.0,ns,1880
cost_is_standard,,1,1,bytes,98224994.0,ns,1920
cost_is_standard,,1,1,bytes,99425380.0,ns,1960
cost_is_standard,,1,1,bytes,102140714.0,ns,2000
cost_is_standard,,1,1,bytes,103013867.0,ns,2040
cost_is_standard,,1,1,bytes,105284390.0,ns,2080
cost_is_standard,,1,1,bytes,106727360.0,ns,2120
cost_is_standard,,1,1,bytes,109553081.0,ns,2160
cost_is_standard,,1,1,bytes,110671154.0,ns,2200
cost_is_standard,,1,1,bytes,113522556.0,ns,2240
cost_is_standard,,1,1,bytes,114794961.0,ns,2280
cost_is_standard,,1,1,bytes,116914792.0,ns,2320
cost_is_standard,,1,1,bytes,118763363.0,ns,2360
cost_is_standard,,1,1,bytes,120909728.0,ns,2400
cost_is_standard,,1,1,bytes,123114069.0,ns,2440
cost_is_standard,,1,1,bytes,126271126.0,ns,2480
cost_is_standard,,1,1,bytes,127738433.0,ns,2520
cost_is_standard,,1,1,bytes,129326912.0,ns,2560
cost_is_standard,,1,1,bytes,132231647.0,ns,2600
cost_is_standard,,1,1,bytes,132796174.0,ns,2640
cost_is_standard,,1,1,bytes,135143020.0,ns,2680
cost_is_standard,,1,1,bytes,138795561.0,ns,2720
cost_is_standard,,1,1,bytes,140261228.0,ns,2760
cost_is_standard,,1,1,bytes,142011012.0,ns,2800
cost_is_standard,,1,1,bytes,143979352.0,ns,2840
cost_is_standard,,1,1,bytes,145238129.0,ns,2880
cost_is_standard,,1,1,bytes,147280603.0,ns,2920
cost_is_standard,,1,1,bytes,148972777.0,ns,2960
cost_is_standard,,1,1,bytes,150834799.0,ns,3000
cost_is_standard,,1,1,bytes,153793162.0,ns,3040
cost_is_standard,,1,1,bytes,155218572.0,ns,3080
cost_is_standard,,1,1,bytes,157712566.0,ns,3120
cost_is_standard,,1,1,bytes,158853376.0,ns,3160
cost_is_standard,,1,1,bytes,161756591.0,ns,3200
cost_is_standard,,1,1,bytes,163097698.0,ns,3240
cost_is_standard,,1,1,bytes,166087140.0,ns,3280
cost_is_standard,,1,1,bytes,167541545.0,ns,3320
cost_is_standard,,1,1,bytes,169383009.0,ns,3360
cost_is_standard,,1,1,bytes,171498934.0,ns,3400
cost_is_standard,,1,1,bytes,173147949.0,ns,3440
cost_is_standard,,1,1,bytes,176171711.0,ns,3480
cost_is_standard,,1,1,bytes,179132591.0,ns,3520
cost_is_standard,,1,1,bytes,180776504.0,ns,3560
cost_is_standard,,1,1,bytes,182254095.0,ns,3600
cost_is_standard,,1,1,bytes,185305641.0,ns,3640
cost_is_standard,,1,1,bytes,186257573.0,ns,3680
cost_is_standard,,1,1,bytes,189119068.0,ns,3720
cost_is_standard,,1,1,bytes,192591982.0,ns,3760
cost_is_standard,,1,1,bytes,192835677.0,ns,3800
cost_is_standard,,1,1,bytes,194367484.0,ns,3840
cost_is_standard,,1,1,bytes,197170329.0,ns,3880
cost_is_standard,,1,1,bytes,197807688.0,ns,3920
cost_is_standard,,1,1,bytes,200720953.0,ns,3960
cost_is_standard,,1,1,bytes,202129301.0,ns,4000
