group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_le,,2048,2048,bytes,2307689.0,ns,1
cost_le,,2048,2048,bytes,4309455.0,ns,2
cost_le,,2048,2048,bytes,6440646.0,ns,3
cost_le,,2048,2048,bytes,8503989.0,ns,4
cost_le,,2048,2048,bytes,10598810.0,ns,5
cost_le,,2048,2048,bytes,12747530.0,ns,6
cost_le,,2048,2048,bytes,14861530.0,ns,7
cost_le,,2048,2048,bytes,16988070.0,ns,8
cost_le,,2048,2048,bytes,19087392.0,ns,9
cost_le,,2048,2048,bytes,21214786.0,ns,10
cost_le,,2048,2048,bytes,23333518.0,ns,11
cost_le,,2048,2048,bytes,25448409.0,ns,12
cost_le,,2048,2048,bytes,27562621.0,ns,13
cost_le,,2048,2048,bytes,29739082.0,ns,14
cost_le,,2048,2048,bytes,31853880.0,ns,15
cost_le,,2048,2048,bytes,33965636.0,ns,16
cost_le,,2048,2048,bytes,36060642.0,ns,17
cost_le,,2048,2048,bytes,38193367.0,ns,18
cost_le,,2048,2048,bytes,40298417.0,ns,19
cost_le,,2048,2048,bytes,42403417.0,ns,20
cost_le,,2048,2048,bytes,44519316.0,ns,21
cost_le,,2048,2048,bytes,46655637.0,ns,22
cost_le,,2048,2048,bytes,48759776.0,ns,23
cost_le,,2048,2048,bytes,50886955.0,ns,24
cost_le,,2048,2048,bytes,52992636.0,ns,25
cost_le,,2048,2048,bytes,55147543.0,ns,26
cost_le,,2048,2048,bytes,57356782.0,ns,27
cost_le,,2048,2048,bytes,59382579.0,ns,28
cost_le,,2048,2048,bytes,61499317.0,ns,29
cost_le,,2048,2048,bytes,63875596.0,ns,30
cost_le,,2048,2048,bytes,66478224.0,ns,31
cost_le,,2048,2048,bytes,67909380.0,ns,32
cost_le,,2048,2048,bytes,70019065.0,ns,33
cost_le,,2048,2048,bytes,72129318.0,ns,34
cost_le,,2048,2048,bytes,74229526.0,ns,35
cost_le,,2048,2048,bytes,76389372.0,ns,36
cost_le,,2048,2048,bytes,78420064.0,ns,37
cost_le,,2048,2048,bytes,80614549.0,ns,38
cost_le,,2048,2048,bytes,82698470.0,ns,39
cost_le,,2048,2048,bytes,84882119.0,ns,40
cost_le,,2048,2048,bytes,86981944.0,ns,41
cost_le,,2048,2048,bytes,89088349.0,ns,42
cost_le,,2048,2048,bytes,91156503.0,ns,43
cost_le,,2048,2048,bytes,93327969.0,ns,44
cost_le,,2048,2048,bytes,95560451.0,ns,45
cost_le,,2048,2048,bytes,97498966.0,ns,46
cost_le,,2048,2048,bytes,99635977.0,ns,47
cost_le,,2048,2048,bytes,102109069.0,ns,48
cost_le,,2048,2048,bytes,103961677.0,ns,49
cost_le,,2048,2048,bytes,105933326.0,ns,50
cost_le,,2048,2048,bytes,108221341.0,ns,51
cost_le,,2048,2048,bytes,110299309.0,ns,52
cost_le,,2048,2048,bytes,112515531.0,ns,53
cost_le,,2048,2048,bytes,115539471.0,ns,54
cost_le,,2048,2048,bytes,116763366.0,ns,55
cost_le,,2048,2048,bytes,118693684.0,ns,56
cost_le,,2048,2048,bytes,120737924.0,ns,57
cost_le,,2048,2048,bytes,122844763.0,ns,58
cost_le,,2048,2048,bytes,125199603.0,ns,59
cost_le,,2048,2048,bytes,127208762.0,ns,60
cost_le,,2048,2048,bytes,129277142.0,ns,61
cost_le,,2048,2048,bytes,132018822.0,ns,62
cost_le,,2048,2048,bytes,133461916.0,ns,63
cost_le,,2048,2048,bytes,135572830.0,ns,64
cost_le,,2048,2048,bytes,137618796.0,ns,65
cost_le,,2048,2048,bytes,140005463.0,ns,66
cost_le,,2048,2048,bytes,141976564.0,ns,67
cost_le,,2048,2048,bytes,144511166.0,ns,68
cost_le,,2048,2048,bytes,146714725.0,ns,69
cost_le,,2048,2048,bytes,148339313.0,ns,70
cost_le,,2048,2048,bytes,150317342.0,ns,71
cost_le,,2048,2048,bytes,152705257.0,ns,72
cost_le,,2048,2048,bytes,154656353.0,ns,73
cost_le,,2048,2048,bytes,156782611.0,ns,74
cost_le,,2048,2048,bytes,158870900.0,ns,75
cost_le,,2048,2048,bytes,160589201.0,ns,76
cost_le,,2048,2048,bytes,162721604.0,ns,77
cost_le,,2048,2048,bytes,164875809.0,ns,78
cost_le,,2048,2048,bytes,166927237.0,ns,79
cost_le,,2048,2048,bytes,169036795.0,ns,80
cost_le,,2048,2048,bytes,171355125.0,ns,81
cost_le,,2048,2048,bytes,173288652.0,ns,82
cost_le,,2048,2048,bytes,175310281.0,ns,83
cost_le,,2048,2048,bytes,177427343.0,ns,84
cost_le,,2048,2048,bytes,179572672.0,ns,85
cost_le,,2048,2048,bytes,181790781.0,ns,86
cost_le,,2048,2048,bytes,183938804.0,ns,87
cost_le,,2048,2048,bytes,185829552.0,ns,88
cost_le,,2048,2048,bytes,187751669.0,ns,89
cost_le,,2048,2048,bytes,189889860.0,ns,90
cost_le,,2048,2048,bytes,191799981.0,ns,91
cost_le,,2048,2048,bytes,196640129.0,ns,92
cost_le,,2048,2048,bytes,196707017.0,ns,93
cost_le,,2048,2048,bytes,198279411.0,ns,94
cost_le,,2048,2048,bytes,200315771.0,ns,95
cost_le,,2048,2048,bytes,202350172.0,ns,96
cost_le,,2048,2048,bytes,204858675.0,ns,97
cost_le,,2048,2048,bytes,206584286.0,ns,98
cost_le,,2048,2048,bytes,208556440.0,ns,99
cost_le,,2048,2048,bytes,210693829.0,ns,100
