group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_len,,1,1,bytes,1081074.0,ns,4
cost_len,,1,1,bytes,2136168.0,ns,8
cost_len,,1,1,bytes,3214483.0,ns,12
cost_len,,1,1,bytes,4265851.0,ns,16
cost_len,,1,1,bytes,5331764.0,ns,20
cost_len,,1,1,bytes,6411684.0,ns,24
cost_len,,1,1,bytes,7456397.0,ns,28
cost_len,,1,1,bytes,8537741.0,ns,32
cost_len,,1,1,bytes,9588594.0,ns,36
cost_len,,1,1,bytes,10630617.0,ns,40
cost_len,,1,1,bytes,11715641.0,ns,44
cost_len,,1,1,bytes,12759912.0,ns,48
cost_len,,1,1,bytes,14151155.0,ns,52
cost_len,,1,1,bytes,15123903.0,ns,56
cost_len,,1,1,bytes,16015560.0,ns,60
cost_len,,1,1,bytes,17065855.0,ns,64
cost_len,,1,1,bytes,18136302.0,ns,68
cost_len,,1,1,bytes,19205588.0,ns,72
cost_len,,1,1,bytes,20232124.0,ns,76
cost_len,,1,1,bytes,21291073.0,ns,80
cost_len,,1,1,bytes,22374910.0,ns,84
cost_len,,1,1,bytes,23519802.0,ns,88
cost_len,,1,1,bytes,24498448.0,ns,92
cost_len,,1,1,bytes,25613293.0,ns,96
cost_len,,1,1,bytes,26693079.0,ns,100
cost_len,,1,1,bytes,27747768.0,ns,104
cost_len,,1,1,bytes,28843131.0,ns,108
cost_len,,1,1,bytes,29884211.0,ns,112
cost_len,,1,1,bytes,30894346.0,ns,116
cost_len,,1,1,bytes,32058396.0,ns,120
cost_len,,1,1,bytes,33087238.0,ns,124
cost_len,,1,1,bytes,34133781.0,ns,128
cost_len,,1,1,bytes,35161585.0,ns,132
cost_len,,1,1,bytes,36249621.0,ns,136
cost_len,,1,1,bytes,37276623.0,ns,140
cost_len,,1,1,bytes,38366912.0,ns,144
cost_len,,1,1,bytes,39456806.0,ns,148
cost_len,,1,1,bytes,40515915.0,ns,152
cost_len,,1,1,bytes,41585953.0,ns,156
cost_len,,1,1,bytes,42647818.0,ns,160
cost_len,,1,1,bytes,43654797.0,ns,164
cost_len,,1,1,bytes,44792495.0,ns,168
cost_len,,1,1,bytes,46182338.0,ns,172
cost_len,,1,1,bytes,46945811.0,ns,176
cost_len,,1,1,bytes,47936926.0,ns,180
cost_len,,1,1,bytes,49107086.0,ns,184
cost_len,,1,1,bytes,50130802.0,ns,188
cost_len,,1,1,bytes,51164629.0,ns,192
cost_len,,1,1,bytes,52214044.0,ns,196
cost_len,,1,1,bytes,53301519.0,ns,200
cost_len,,1,1,bytes,54395069.0,ns,204
cost_len,,1,1,bytes,55414289.0,ns,208
cost_len,,1,1,bytes,56527220.0,ns,212
cost_len,,1,1,bytes,57550071.0,ns,216
cost_len,,1,1,bytes,58634645.0,ns,220
cost_len,,1,1,bytes,59657389.0,ns,224
cost_len,,1,1,bytes,60733129.0,ns,228
cost_len,,1,1,bytes,61779927.0,ns,232
cost_len,,1,1,bytes,62915607.0,ns,236
cost_len,,1,1,bytes,63999032.0,ns,240
cost_len,,1,1,bytes,65301336.0,ns,244
cost_len,,1,1,bytes,66523427.0,ns,248
cost_len,,1,1,bytes,67754765.0,ns,252
cost_len,,1,1,bytes,68295665.0,ns,256
cost_len,,1,1,bytes,69407594.0,ns,260
cost_len,,1,1,bytes,70449162.0,ns,264
cost_len,,1,1,bytes,71414303.0,ns,268
cost_len,,1,1,bytes,72517267.0,ns,272
cost_len,,1,1,bytes,73492841.0,ns,276
cost_len,,1,1,bytes,74582976.0,ns,280
cost_len,,1,1,bytes,75640756.0,ns,284
cost_len,,1,1,bytes,76773490.0,ns,288
cost_len,,1,1,bytes,77804774.0,ns,292
cost_len,,1,1,bytes,78818905.0,ns,296
cost_len,,1,1,bytes,80279732.0,ns,300
cost_len,,1,1,bytes,81475000.0,ns,304
cost_len,,1,1,bytes,82336198.0,ns,308
cost_len,,1,1,bytes,83220040.0,ns,312
cost_len,,1,1,bytes,84294840.0,ns,316
cost_len,,1,1,bytes,85290095.0,ns,320
cost_len,,1,1,bytes,86432500.0,ns,324
cost_len,,1,1,bytes,89428815.0,ns,328
cost_len,,1,1,bytes,90165727.0,ns,332
cost_len,,1,1,bytes,89729268.0,ns,336
cost_len,,1,1,bytes,90708368.0,ns,340
cost_len,,1,1,bytes,91890245.0,ns,344
cost_len,,1,1,bytes,93320609.0,ns,348
cost_len,,1,1,bytes,93809089.0,ns,352
cost_len,,1,1,bytes,94911763.0,ns,356
cost_len,,1,1,bytes,95866919.0,ns,360
cost_len,,1,1,bytes,96964318.0,ns,364
cost_len,,1,1,bytes,98172171.0,ns,368
cost_len,,1,1,bytes,99096962.0,ns,372
cost_len,,1,1,bytes,100198248.0,ns,376
cost_len,,1,1,bytes,101319351.0,ns,380
cost_len,,1,1,bytes,102287668.0,ns,384
cost_len,,1,1,bytes,103298695.0,ns,388
cost_len,,1,1,bytes,104494779.0,ns,392
cost_len,,1,1,bytes,105513548.0,ns,396
cost_len,,1,1,bytes,106495033.0,ns,400
