group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_leq,,8,8,bytes,1926627.0,ns,36
cost_leq,,8,8,bytes,3839603.0,ns,72
cost_leq,,8,8,bytes,5771159.0,ns,108
cost_leq,,8,8,bytes,7676382.0,ns,144
cost_leq,,8,8,bytes,9591978.0,ns,180
cost_leq,,8,8,bytes,11511296.0,ns,216
cost_leq,,8,8,bytes,13463956.0,ns,252
cost_leq,,8,8,bytes,15407337.0,ns,288
cost_leq,,8,8,bytes,17289387.0,ns,324
cost_leq,,8,8,bytes,19203617.0,ns,360
cost_leq,,8,8,bytes,21102310.0,ns,396
cost_leq,,8,8,bytes,23064895.0,ns,432
cost_leq,,8,8,bytes,24939134.0,ns,468
cost_leq,,8,8,bytes,27049258.0,ns,504
cost_leq,,8,8,bytes,28801762.0,ns,540
cost_leq,,8,8,bytes,30711466.0,ns,576
cost_leq,,8,8,bytes,32610500.0,ns,612
cost_leq,,8,8,bytes,34676367.0,ns,648
cost_leq,,8,8,bytes,36474647.0,ns,684
cost_leq,,8,8,bytes,38391461.0,ns,720
cost_leq,,8,8,bytes,40292397.0,ns,756
cost_leq,,8,8,bytes,42232661.0,ns,792
cost_leq,,8,8,bytes,44215563.0,ns,828
cost_leq,,8,8,bytes,46072491.0,ns,864
cost_leq,,8,8,bytes,48010263.0,ns,900
cost_leq,,8,8,bytes,49968577.0,ns,936
cost_leq,,8,8,bytes,51843536.0,ns,972
cost_leq,,8,8,bytes,53816250.0,ns,1008
cost_leq,,8,8,bytes,55684870.0,ns,1044
cost_leq,,8,8,bytes,57644537.0,ns,1080
cost_leq,,8,8,bytes,58839270.0,ns,1116
cost_leq,,8,8,bytes,60846908.0,ns,1152
cost_leq,,8,8,bytes,63335380.0,ns,1188
cost_leq,,8,8,bytes,65238017.0,ns,1224
cost_leq,,8,8,bytes,67212244.0,ns,1260
cost_leq,,8,8,bytes,69097107.0,ns,1296
cost_leq,,8,8,bytes,70976544.0,ns,1332
cost_leq,,8,8,bytes,72964830.0,ns,1368
cost_leq,,8,8,bytes,74804541.0,ns,1404
cost_leq,,8,8,bytes,76743332.0,ns,1440
cost_leq,,8,8,bytes,79796864.0,ns,1476
cost_leq,,8,8,bytes,80669341.0,ns,1512
cost_leq,,8,8,bytes,82547542.0,ns,1548
cost_leq,,8,8,bytes,84559713.0,ns,1584
cost_leq,,8,8,bytes,85524597.0,ns,1620
cost_leq,,8,8,bytes,88276261.0,ns,1656
cost_leq,,8,8,bytes,90376190.0,ns,1692
cost_leq,,8,8,bytes,92261465.0,ns,1728
cost_leq,,8,8,bytes,94168414.0,ns,1764
cost_leq,,8,8,bytes,96089358.0,ns,1800
cost_leq,,8,8,bytes,98033783.0,ns,1836
cost_leq,,8,8,bytes,99972555.0,ns,1872
cost_leq,,8,8,bytes,101946961.0,ns,1908
cost_leq,,8,8,bytes,103945060.0,ns,1944
cost_leq,,8,8,bytes,105934538.0,ns,1980
cost_leq,,8,8,bytes,107558095.0,ns,2016
cost_leq,,8,8,bytes,109426020.0,ns,2052
cost_leq,,8,8,bytes,111607557.0,ns,2088
cost_leq,,8,8,bytes,113293553.0,ns,2124
cost_leq,,8,8,bytes,115739851.0,ns,2160
cost_leq,,8,8,bytes,116823728.0,ns,2196
cost_leq,,8,8,bytes,119476163.0,ns,2232
cost_leq,,8,8,bytes,120967186.0,ns,2268
cost_leq,,8,8,bytes,122870436.0,ns,2304
cost_leq,,8,8,bytes,124732438.0,ns,2340
cost_leq,,8,8,bytes,126681120.0,ns,2376
cost_leq,,8,8,bytes,128584552.0,ns,2412
cost_leq,,8,8,bytes,131075613.0,ns,2448
cost_leq,,8,8,bytes,132762148.0,ns,2484
cost_leq,,8,8,bytes,136026666.0,ns,2520
cost_leq,,8,8,bytes,136922772.0,ns,2556
cost_leq,,8,8,bytes,138878164.0,ns,2592
cost_leq,,8,8,bytes,140036440.0,ns,2628
cost_leq,,8,8,bytes,142093906.0,ns,2664
cost_leq,,8,8,bytes,144077090.0,ns,2700
cost_leq,,8,8,bytes,145853730.0,ns,2736
cost_leq,,8,8,bytes,148336480.0,ns,2772
cost_leq,,8,8,bytes,150832323.0,ns,2808
cost_leq,,8,8,bytes,152022938.0,ns,2844
cost_leq,,8,8,bytes,153123700.0,ns,2880
cost_leq,,8,8,bytes,156011871.0,ns,2916
cost_leq,,8,8,bytes,157839980.0,ns,2952
cost_leq,,8,8,bytes,159432155.0,ns,2988
cost_leq,,8,8,bytes,161505749.0,ns,3024
cost_leq,,8,8,bytes,163376441.0,ns,3060
cost_leq,,8,8,bytes,165718571.0,ns,3096
cost_leq,,8,8,bytes,167005317.0,ns,3132
cost_leq,,8,8,bytes,169149999.0,ns,3168
cost_leq,,8,8,bytes,171162078.0,ns,3204
cost_leq,,8,8,bytes,173136828.0,ns,3240
cost_leq,,8,8,bytes,174755576.0,ns,3276
cost_leq,,8,8,bytes,176674148.0,ns,3312
cost_leq,,8,8,bytes,178572854.0,ns,3348
cost_leq,,8,8,bytes,181230647.0,ns,3384
cost_leq,,8,8,bytes,183192178.0,ns,3420
cost_leq,,8,8,bytes,184659088.0,ns,3456
cost_leq,,8,8,bytes,186131789.0,ns,3492
cost_leq,,8,8,bytes,188379662.0,ns,3528
cost_leq,,8,8,bytes,190436947.0,ns,3564
cost_leq,,8,8,bytes,192030999.0,ns,3600
