group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_leq,,8,8,bytes,2232538.0,ns,50
cost_leq,,8,8,bytes,4032358.0,ns,100
cost_leq,,8,8,bytes,6034711.0,ns,150
cost_leq,,8,8,bytes,8027348.0,ns,200
cost_leq,,8,8,bytes,10047630.0,ns,250
cost_leq,,8,8,bytes,12054097.0,ns,300
cost_leq,,8,8,bytes,14051893.0,ns,350
cost_leq,,8,8,bytes,16074307.0,ns,400
cost_leq,,8,8,bytes,18083700.0,ns,450
cost_leq,,8,8,bytes,20092444.0,ns,500
cost_leq,,8,8,bytes,22087010.0,ns,550
cost_leq,,8,8,bytes,24094457.0,ns,600
cost_leq,,8,8,bytes,26088699.0,ns,650
cost_leq,,8,8,bytes,28163054.0,ns,700
cost_leq,,8,8,bytes,30127040.0,ns,750
cost_leq,,8,8,bytes,32141551.0,ns,800
cost_leq,,8,8,bytes,34136071.0,ns,850
cost_leq,,8,8,bytes,36155647.0,ns,900
cost_leq,,8,8,bytes,38172682.0,ns,950
cost_leq,,8,8,bytes,40181723.0,ns,1000
cost_leq,,8,8,bytes,42191889.0,ns,1050
cost_leq,,8,8,bytes,44214373.0,ns,1100
cost_leq,,8,8,bytes,46194790.0,ns,1150
cost_leq,,8,8,bytes,48224536.0,ns,1200
cost_leq,,8,8,bytes,50800037.0,ns,1250
cost_leq,,8,8,bytes,52286825.0,ns,1300
cost_leq,,8,8,bytes,54235270.0,ns,1350
cost_leq,,8,8,bytes,56207330.0,ns,1400
cost_leq,,8,8,bytes,58246550.0,ns,1450
cost_leq,,8,8,bytes,60250015.0,ns,1500
cost_leq,,8,8,bytes,62501200.0,ns,1550
cost_leq,,8,8,bytes,64445638.0,ns,1600
cost_leq,,8,8,bytes,66311049.0,ns,1650
cost_leq,,8,8,bytes,68384759.0,ns,1700
cost_leq,,8,8,bytes,70282743.0,ns,1750
cost_leq,,8,8,bytes,72301276.0,ns,1800
cost_leq,,8,8,bytes,74327872.0,ns,1850
cost_leq,,8,8,bytes,76459480.0,ns,1900
cost_leq,,8,8,bytes,78321676.0,ns,1950
cost_leq,,8,8,bytes,80721259.0,ns,2000
cost_leq,,8,8,bytes,82343114.0,ns,2050
cost_leq,,8,8,bytes,84509713.0,ns,2100
cost_leq,,8,8,bytes,86537262.0,ns,2150
cost_leq,,8,8,bytes,88437521.0,ns,2200
cost_leq,,8,8,bytes,90402140.0,ns,2250
cost_leq,,8,8,bytes,92451455.0,ns,2300
cost_leq,,8,8,bytes,94484632.0,ns,2350
cost_leq,,8,8,bytes,96460241.0,ns,2400
cost_leq,,8,8,bytes,98450245.0,ns,2450
cost_leq,,8,8,bytes,100446935.0,ns,2500
cost_leq,,8,8,bytes,102863877.0,ns,2550
cost_leq,,8,8,bytes,104615545.0,ns,2600
cost_leq,,8,8,bytes,106479577.0,ns,2650
cost_leq,,8,8,bytes,108454508.0,ns,2700
cost_leq,,8,8,bytes,110526977.0,ns,2750
cost_leq,,8,8,bytes,112702512.0,ns,2800
cost_leq,,8,8,bytes,114483312.0,ns,2850
cost_leq,,8,8,bytes,116564963.0,ns,2900
cost_leq,,8,8,bytes,118599131.0,ns,2950
cost_leq,,8,8,bytes,120543410.0,ns,3000
cost_leq,,8,8,bytes,122533811.0,ns,3050
cost_leq,,8,8,bytes,124496493.0,ns,3100
cost_leq,,8,8,bytes,126686763.0,ns,3150
cost_leq,,8,8,bytes,128507328.0,ns,3200
cost_leq,,8,8,bytes,130541133.0,ns,3250
cost_leq,,8,8,bytes,132577366.0,ns,3300
cost_leq,,8,8,bytes,134726298.0,ns,3350
cost_leq,,8,8,bytes,136915344.0,ns,3400
cost_leq,,8,8,bytes,138629574.0,ns,3450
cost_leq,,8,8,bytes,140584244.0,ns,3500
cost_leq,,8,8,bytes,142683175.0,ns,3550
cost_leq,,8,8,bytes,144599771.0,ns,3600
cost_leq,,8,8,bytes,146907945.0,ns,3650
cost_leq,,8,8,bytes,148794083.0,ns,3700
cost_leq,,8,8,bytes,150731736.0,ns,3750
cost_leq,,8,8,bytes,152635814.0,ns,3800
cost_leq,,8,8,bytes,154610867.0,ns,3850
cost_leq,,8,8,bytes,157036005.0,ns,3900
cost_leq,,8,8,bytes,158076088.0,ns,3950
cost_leq,,8,8,bytes,160063031.0,ns,4000
cost_leq,,8,8,bytes,162694826.0,ns,4050
cost_leq,,8,8,bytes,164148855.0,ns,4100
cost_leq,,8,8,bytes,166083759.0,ns,4150
cost_leq,,8,8,bytes,168375942.0,ns,4200
cost_leq,,8,8,bytes,170105744.0,ns,4250
cost_leq,,8,8,bytes,172317407.0,ns,4300
cost_leq,,8,8,bytes,174169392.0,ns,4350
cost_leq,,8,8,bytes,176117519.0,ns,4400
cost_leq,,8,8,bytes,178147359.0,ns,4450
cost_leq,,8,8,bytes,180110322.0,ns,4500
cost_leq,,8,8,bytes,182082100.0,ns,4550
cost_leq,,8,8,bytes,184084567.0,ns,4600
cost_leq,,8,8,bytes,187617166.0,ns,4650
cost_leq,,8,8,bytes,188118381.0,ns,4700
cost_leq,,8,8,bytes,190098444.0,ns,4750
cost_leq,,8,8,bytes,192072430.0,ns,4800
cost_leq,,8,8,bytes,194302338.0,ns,4850
cost_leq,,8,8,bytes,196624438.0,ns,4900
cost_leq,,8,8,bytes,198120831.0,ns,4950
cost_leq,,8,8,bytes,200232765.0,ns,5000
