group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_load_contract,,3980,3980,bytes,2262244.0,ns,9
cost_load_contract,,3980,3980,bytes,4451591.0,ns,18
cost_load_contract,,3980,3980,bytes,6556455.0,ns,27
cost_load_contract,,3980,3980,bytes,8785154.0,ns,36
cost_load_contract,,3980,3980,bytes,10951176.0,ns,45
cost_load_contract,,3980,3980,bytes,13143591.0,ns,54
cost_load_contract,,3980,3980,bytes,15324076.0,ns,63
cost_load_contract,,3980,3980,bytes,17516023.0,ns,72
cost_load_contract,,3980,3980,bytes,19698207.0,ns,81
cost_load_contract,,3980,3980,bytes,21904475.0,ns,90
cost_load_contract,,3980,3980,bytes,24140393.0,ns,99
cost_load_contract,,3980,3980,bytes,26304377.0,ns,108
cost_load_contract,,3980,3980,bytes,28453165.0,ns,117
cost_load_contract,,3980,3980,bytes,30645718.0,ns,126
cost_load_contract,,3980,3980,bytes,32889995.0,ns,135
cost_load_contract,,3980,3980,bytes,35045257.0,ns,144
cost_load_contract,,3980,3980,bytes,37426624.0,ns,153
cost_load_contract,,3980,3980,bytes,39642548.0,ns,162
cost_load_contract,,3980,3980,bytes,41640431.0,ns,171
cost_load_contract,,3980,3980,bytes,43748184.0,ns,180
cost_load_contract,,3980,3980,bytes,46051430.0,ns,189
cost_load_contract,,3980,3980,bytes,48193430.0,ns,198
cost_load_contract,,3980,3980,bytes,50429891.0,ns,207
cost_load_contract,,3980,3980,bytes,52678022.0,ns,216
cost_load_contract,,3980,3980,bytes,54829093.0,ns,225
cost_load_contract,,3980,3980,bytes,56971858.0,ns,234
cost_load_contract,,3980,3980,bytes,59172416.0,ns,243
cost_load_contract,,3980,3980,bytes,61387919.0,ns,252
cost_load_contract,,3980,3980,bytes,63591463.0,ns,261
cost_load_contract,,3980,3980,bytes,65683670.0,ns,270
cost_load_contract,,3980,3980,bytes,67813840.0,ns,279
cost_load_contract,,3980,3980,bytes,69991597.0,ns,288
cost_load_contract,,3980,3980,bytes,72299954.0,ns,297
cost_load_contract,,3980,3980,bytes,74506914.0,ns,306
cost_load_contract,,3980,3980,bytes,76796249.0,ns,315
cost_load_contract,,3980,3980,bytes,78852962.0,ns,324
cost_load_contract,,3980,3980,bytes,80984938.0,ns,333
cost_load_contract,,3980,3980,bytes,83199711.0,ns,342
cost_load_contract,,3980,3980,bytes,85424677.0,ns,351
cost_load_contract,,3980,3980,bytes,87905887.0,ns,360
cost_load_contract,,3980,3980,bytes,89805855.0,ns,369
cost_load_contract,,3980,3980,bytes,91763663.0,ns,378
cost_load_contract,,3980,3980,bytes,94141598.0,ns,387
cost_load_contract,,3980,3980,bytes,96397666.0,ns,396
cost_load_contract,,3980,3980,bytes,98598068.0,ns,405
cost_load_contract,,3980,3980,bytes,101907852.0,ns,414
cost_load_contract,,3980,3980,bytes,103070828.0,ns,423
cost_load_contract,,3980,3980,bytes,105136016.0,ns,432
cost_load_contract,,3980,3980,bytes,107308530.0,ns,441
cost_load_contract,,3980,3980,bytes,109599583.0,ns,450
cost_load_contract,,3980,3980,bytes,111678730.0,ns,459
cost_load_contract,,3980,3980,bytes,113872071.0,ns,468
cost_load_contract,,3980,3980,bytes,116091047.0,ns,477
cost_load_contract,,3980,3980,bytes,118286085.0,ns,486
cost_load_contract,,3980,3980,bytes,120364692.0,ns,495
cost_load_contract,,3980,3980,bytes,122404994.0,ns,504
cost_load_contract,,3980,3980,bytes,124766820.0,ns,513
cost_load_contract,,3980,3980,bytes,127375190.0,ns,522
cost_load_contract,,3980,3980,bytes,129014477.0,ns,531
cost_load_contract,,3980,3980,bytes,131127041.0,ns,540
cost_load_contract,,3980,3980,bytes,134848825.0,ns,549
cost_load_contract,,3980,3980,bytes,135737690.0,ns,558
cost_load_contract,,3980,3980,bytes,137906590.0,ns,567
cost_load_contract,,3980,3980,bytes,139950316.0,ns,576
cost_load_contract,,3980,3980,bytes,142432685.0,ns,585
cost_load_contract,,3980,3980,bytes,144540907.0,ns,594
cost_load_contract,,3980,3980,bytes,146468448.0,ns,603
cost_load_contract,,3980,3980,bytes,148827870.0,ns,612
cost_load_contract,,3980,3980,bytes,150936839.0,ns,621
cost_load_contract,,3980,3980,bytes,153662766.0,ns,630
