group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_log2,,1,1,bytes,1931107.0,ns,36
cost_log2,,1,1,bytes,3881210.0,ns,72
cost_log2,,1,1,bytes,5802101.0,ns,108
cost_log2,,1,1,bytes,7738138.0,ns,144
cost_log2,,1,1,bytes,9669820.0,ns,180
cost_log2,,1,1,bytes,11601672.0,ns,216
cost_log2,,1,1,bytes,13545582.0,ns,252
cost_log2,,1,1,bytes,15457472.0,ns,288
cost_log2,,1,1,bytes,17390297.0,ns,324
cost_log2,,1,1,bytes,19311619.0,ns,360
cost_log2,,1,1,bytes,21399395.0,ns,396
cost_log2,,1,1,bytes,23286277.0,ns,432
cost_log2,,1,1,bytes,25154432.0,ns,468
cost_log2,,1,1,bytes,27112046.0,ns,504
cost_log2,,1,1,bytes,28992255.0,ns,540
cost_log2,,1,1,bytes,30906377.0,ns,576
cost_log2,,1,1,bytes,32922436.0,ns,612
cost_log2,,1,1,bytes,34744478.0,ns,648
cost_log2,,1,1,bytes,36689410.0,ns,684
cost_log2,,1,1,bytes,38654795.0,ns,720
cost_log2,,1,1,bytes,40550468.0,ns,756
cost_log2,,1,1,bytes,42536477.0,ns,792
cost_log2,,1,1,bytes,44427091.0,ns,828
cost_log2,,1,1,bytes,46401107.0,ns,864
cost_log2,,1,1,bytes,48371805.0,ns,900
cost_log2,,1,1,bytes,50232491.0,ns,936
cost_log2,,1,1,bytes,52157408.0,ns,972
cost_log2,,1,1,bytes,54209706.0,ns,1008
cost_log2,,1,1,bytes,56085741.0,ns,1044
cost_log2,,1,1,bytes,57976108.0,ns,1080
cost_log2,,1,1,bytes,59880237.0,ns,1116
cost_log2,,1,1,bytes,61824651.0,ns,1152
cost_log2,,1,1,bytes,64051519.0,ns,1188
cost_log2,,1,1,bytes,65638348.0,ns,1224
cost_log2,,1,1,bytes,67559288.0,ns,1260
cost_log2,,1,1,bytes,69534283.0,ns,1296
cost_log2,,1,1,bytes,71480941.0,ns,1332
cost_log2,,1,1,bytes,73414199.0,ns,1368
cost_log2,,1,1,bytes,75619971.0,ns,1404
cost_log2,,1,1,bytes,77247924.0,ns,1440
cost_log2,,1,1,bytes,79239141.0,ns,1476
cost_log2,,1,1,bytes,81604131.0,ns,1512
cost_log2,,1,1,bytes,83109138.0,ns,1548
cost_log2,,1,1,bytes,85089009.0,ns,1584
cost_log2,,1,1,bytes,86905358.0,ns,1620
cost_log2,,1,1,bytes,89268072.0,ns,1656
cost_log2,,1,1,bytes,90941798.0,ns,1692
cost_log2,,1,1,bytes,92839813.0,ns,1728
cost_log2,,1,1,bytes,95821382.0,ns,1764
cost_log2,,1,1,bytes,97570249.0,ns,1800
cost_log2,,1,1,bytes,98889114.0,ns,1836
cost_log2,,1,1,bytes,100513288.0,ns,1872
cost_log2,,1,1,bytes,102688673.0,ns,1908
cost_log2,,1,1,bytes,104358566.0,ns,1944
cost_log2,,1,1,bytes,106418873.0,ns,1980
cost_log2,,1,1,bytes,108675204.0,ns,2016
cost_log2,,1,1,bytes,110415014.0,ns,2052
cost_log2,,1,1,bytes,112114022.0,ns,2088
cost_log2,,1,1,bytes,114104269.0,ns,2124
cost_log2,,1,1,bytes,116026404.0,ns,2160
cost_log2,,1,1,bytes,117920209.0,ns,2196
cost_log2,,1,1,bytes,119871856.0,ns,2232
cost_log2,,1,1,bytes,121783090.0,ns,2268
cost_log2,,1,1,bytes,123957476.0,ns,2304
cost_log2,,1,1,bytes,127501231.0,ns,2340
cost_log2,,1,1,bytes,127533583.0,ns,2376
cost_log2,,1,1,bytes,129347533.0,ns,2412
cost_log2,,1,1,bytes,132071433.0,ns,2448
cost_log2,,1,1,bytes,133338066.0,ns,2484
cost_log2,,1,1,bytes,135309627.0,ns,2520
cost_log2,,1,1,bytes,137085210.0,ns,2556
cost_log2,,1,1,bytes,139441258.0,ns,2592
cost_log2,,1,1,bytes,141067250.0,ns,2628
cost_log2,,1,1,bytes,142913001.0,ns,2664
cost_log2,,1,1,bytes,145181615.0,ns,2700
cost_log2,,1,1,bytes,146894074.0,ns,2736
cost_log2,,1,1,bytes,148790866.0,ns,2772
cost_log2,,1,1,bytes,150672705.0,ns,2808
cost_log2,,1,1,bytes,153222152.0,ns,2844
cost_log2,,1,1,bytes,154804748.0,ns,2880
cost_log2,,1,1,bytes,156443567.0,ns,2916
cost_log2,,1,1,bytes,158805411.0,ns,2952
cost_log2,,1,1,bytes,160280247.0,ns,2988
cost_log2,,1,1,bytes,162475754.0,ns,3024
cost_log2,,1,1,bytes,164528400.0,ns,3060
cost_log2,,1,1,bytes,166203530.0,ns,3096
cost_log2,,1,1,bytes,168059437.0,ns,3132
cost_log2,,1,1,bytes,169907920.0,ns,3168
cost_log2,,1,1,bytes,171893911.0,ns,3204
cost_log2,,1,1,bytes,173812083.0,ns,3240
cost_log2,,1,1,bytes,176112579.0,ns,3276
cost_log2,,1,1,bytes,178333868.0,ns,3312
cost_log2,,1,1,bytes,179775667.0,ns,3348
cost_log2,,1,1,bytes,182672045.0,ns,3384
cost_log2,,1,1,bytes,184007399.0,ns,3420
cost_log2,,1,1,bytes,185499077.0,ns,3456
cost_log2,,1,1,bytes,188210688.0,ns,3492
cost_log2,,1,1,bytes,189365058.0,ns,3528
cost_log2,,1,1,bytes,191166480.0,ns,3564
cost_log2,,1,1,bytes,193172173.0,ns,3600
