group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_log2,,1,1,bytes,1125290.0,ns,11
cost_log2,,1,1,bytes,2053038.0,ns,22
cost_log2,,1,1,bytes,3106211.0,ns,33
cost_log2,,1,1,bytes,4129260.0,ns,44
cost_log2,,1,1,bytes,5147426.0,ns,55
cost_log2,,1,1,bytes,6175944.0,ns,66
cost_log2,,1,1,bytes,7208711.0,ns,77
cost_log2,,1,1,bytes,8222007.0,ns,88
cost_log2,,1,1,bytes,9260923.0,ns,99
cost_log2,,1,1,bytes,10290824.0,ns,110
cost_log2,,1,1,bytes,11323367.0,ns,121
cost_log2,,1,1,bytes,12335761.0,ns,132
cost_log2,,1,1,bytes,13357083.0,ns,143
cost_log2,,1,1,bytes,14411183.0,ns,154
cost_log2,,1,1,bytes,16344834.0,ns,165
cost_log2,,1,1,bytes,16771424.0,ns,176
cost_log2,,1,1,bytes,18506840.0,ns,187
cost_log2,,1,1,bytes,19415508.0,ns,198
cost_log2,,1,1,bytes,19521458.0,ns,209
cost_log2,,1,1,bytes,21260256.0,ns,220
cost_log2,,1,1,bytes,22074268.0,ns,231
cost_log2,,1,1,bytes,23977125.0,ns,242
cost_log2,,1,1,bytes,24123256.0,ns,253
cost_log2,,1,1,bytes,24686333.0,ns,264
cost_log2,,1,1,bytes,25720088.0,ns,275
cost_log2,,1,1,bytes,26722056.0,ns,286
cost_log2,,1,1,bytes,27760869.0,ns,297
cost_log2,,1,1,bytes,29094020.0,ns,308
cost_log2,,1,1,bytes,30214951.0,ns,319
cost_log2,,1,1,bytes,31735125.0,ns,330
cost_log2,,1,1,bytes,31881895.0,ns,341
cost_log2,,1,1,bytes,33999478.0,ns,352
cost_log2,,1,1,bytes,35212711.0,ns,363
cost_log2,,1,1,bytes,36371495.0,ns,374
cost_log2,,1,1,bytes,36002332.0,ns,385
cost_log2,,1,1,bytes,37014509.0,ns,396
cost_log2,,1,1,bytes,38514108.0,ns,407
cost_log2,,1,1,bytes,39140506.0,ns,418
cost_log2,,1,1,bytes,40080122.0,ns,429
cost_log2,,1,1,bytes,41526161.0,ns,440
cost_log2,,1,1,bytes,42238581.0,ns,451
cost_log2,,1,1,bytes,43252657.0,ns,462
cost_log2,,1,1,bytes,44182532.0,ns,473
cost_log2,,1,1,bytes,45213706.0,ns,484
cost_log2,,1,1,bytes,46282410.0,ns,495
cost_log2,,1,1,bytes,47277577.0,ns,506
cost_log2,,1,1,bytes,48333973.0,ns,517
cost_log2,,1,1,bytes,49324491.0,ns,528
cost_log2,,1,1,bytes,50375178.0,ns,539
cost_log2,,1,1,bytes,51361210.0,ns,550
cost_log2,,1,1,bytes,52458197.0,ns,561
cost_log2,,1,1,bytes,53528147.0,ns,572
cost_log2,,1,1,bytes,54484152.0,ns,583
cost_log2,,1,1,bytes,55535196.0,ns,594
cost_log2,,1,1,bytes,56520729.0,ns,605
cost_log2,,1,1,bytes,57838469.0,ns,616
cost_log2,,1,1,bytes,58878259.0,ns,627
cost_log2,,1,1,bytes,59944312.0,ns,638
cost_log2,,1,1,bytes,60729138.0,ns,649
cost_log2,,1,1,bytes,61709438.0,ns,660
cost_log2,,1,1,bytes,62800926.0,ns,671
cost_log2,,1,1,bytes,63765040.0,ns,682
cost_log2,,1,1,bytes,64841527.0,ns,693
cost_log2,,1,1,bytes,67510288.0,ns,704
cost_log2,,1,1,bytes,67431350.0,ns,715
cost_log2,,1,1,bytes,69482031.0,ns,726
cost_log2,,1,1,bytes,69044322.0,ns,737
cost_log2,,1,1,bytes,70270821.0,ns,748
cost_log2,,1,1,bytes,71310546.0,ns,759
cost_log2,,1,1,bytes,72776281.0,ns,770
cost_log2,,1,1,bytes,74099640.0,ns,781
cost_log2,,1,1,bytes,75512950.0,ns,792
cost_log2,,1,1,bytes,75517699.0,ns,803
cost_log2,,1,1,bytes,77870547.0,ns,814
cost_log2,,1,1,bytes,77183024.0,ns,825
cost_log2,,1,1,bytes,79194288.0,ns,836
cost_log2,,1,1,bytes,79995836.0,ns,847
cost_log2,,1,1,bytes,83168043.0,ns,858
cost_log2,,1,1,bytes,82584662.0,ns,869
cost_log2,,1,1,bytes,83240377.0,ns,880
cost_log2,,1,1,bytes,83976603.0,ns,891
cost_log2,,1,1,bytes,84354946.0,ns,902
cost_log2,,1,1,bytes,86859421.0,ns,913
cost_log2,,1,1,bytes,87689218.0,ns,924
cost_log2,,1,1,bytes,88791268.0,ns,935
cost_log2,,1,1,bytes,88422060.0,ns,946
cost_log2,,1,1,bytes,92420562.0,ns,957
cost_log2,,1,1,bytes,90450581.0,ns,968
cost_log2,,1,1,bytes,93278912.0,ns,979
cost_log2,,1,1,bytes,92719063.0,ns,990
cost_log2,,1,1,bytes,93531077.0,ns,1001
cost_log2,,1,1,bytes,94556704.0,ns,1012
cost_log2,,1,1,bytes,99050583.0,ns,1023
cost_log2,,1,1,bytes,96624218.0,ns,1034
cost_log2,,1,1,bytes,97974914.0,ns,1045
cost_log2,,1,1,bytes,98966013.0,ns,1056
cost_log2,,1,1,bytes,101578498.0,ns,1067
cost_log2,,1,1,bytes,100864416.0,ns,1078
cost_log2,,1,1,bytes,102627517.0,ns,1089
cost_log2,,1,1,bytes,103467467.0,ns,1100
