group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_lookup_function,,0,0,bytes,2055646.0,ns,626
cost_lookup_function,,0,0,bytes,3983969.0,ns,1252
cost_lookup_function,,0,0,bytes,5939166.0,ns,1878
cost_lookup_function,,0,0,bytes,7917108.0,ns,2504
cost_lookup_function,,0,0,bytes,9891295.0,ns,3130
cost_lookup_function,,0,0,bytes,11889868.0,ns,3756
cost_lookup_function,,0,0,bytes,13840429.0,ns,4382
cost_lookup_function,,0,0,bytes,15843913.0,ns,5008
cost_lookup_function,,0,0,bytes,17810819.0,ns,5634
cost_lookup_function,,0,0,bytes,19814003.0,ns,6260
cost_lookup_function,,0,0,bytes,21772308.0,ns,6886
cost_lookup_function,,0,0,bytes,23776663.0,ns,7512
cost_lookup_function,,0,0,bytes,25771552.0,ns,8138
cost_lookup_function,,0,0,bytes,27725891.0,ns,8764
cost_lookup_function,,0,0,bytes,29748533.0,ns,9390
cost_lookup_function,,0,0,bytes,31714042.0,ns,10016
cost_lookup_function,,0,0,bytes,33736918.0,ns,10642
cost_lookup_function,,0,0,bytes,35634353.0,ns,11268
cost_lookup_function,,0,0,bytes,37630535.0,ns,11894
cost_lookup_function,,0,0,bytes,39600963.0,ns,12520
cost_lookup_function,,0,0,bytes,41595825.0,ns,13146
cost_lookup_function,,0,0,bytes,43533027.0,ns,13772
cost_lookup_function,,0,0,bytes,45717044.0,ns,14398
cost_lookup_function,,0,0,bytes,47732880.0,ns,15024
cost_lookup_function,,0,0,bytes,49886700.0,ns,15650
cost_lookup_function,,0,0,bytes,51466405.0,ns,16276
cost_lookup_function,,0,0,bytes,53666114.0,ns,16902
cost_lookup_function,,0,0,bytes,55495714.0,ns,17528
cost_lookup_function,,0,0,bytes,57398928.0,ns,18154
cost_lookup_function,,0,0,bytes,59409875.0,ns,18780
cost_lookup_function,,0,0,bytes,61446354.0,ns,19406
cost_lookup_function,,0,0,bytes,63410811.0,ns,20032
cost_lookup_function,,0,0,bytes,65311937.0,ns,20658
cost_lookup_function,,0,0,bytes,67306657.0,ns,21284
cost_lookup_function,,0,0,bytes,69267789.0,ns,21910
cost_lookup_function,,0,0,bytes,71306559.0,ns,22536
cost_lookup_function,,0,0,bytes,73258989.0,ns,23162
cost_lookup_function,,0,0,bytes,75324766.0,ns,23788
cost_lookup_function,,0,0,bytes,77494239.0,ns,24414
cost_lookup_function,,0,0,bytes,79564055.0,ns,25040
cost_lookup_function,,0,0,bytes,82174935.0,ns,25666
cost_lookup_function,,0,0,bytes,83449838.0,ns,26292
cost_lookup_function,,0,0,bytes,85221553.0,ns,26918
cost_lookup_function,,0,0,bytes,87223380.0,ns,27544
cost_lookup_function,,0,0,bytes,89201934.0,ns,28170
cost_lookup_function,,0,0,bytes,91074543.0,ns,28796
cost_lookup_function,,0,0,bytes,93091832.0,ns,29422
cost_lookup_function,,0,0,bytes,95122370.0,ns,30048
cost_lookup_function,,0,0,bytes,97322659.0,ns,30674
cost_lookup_function,,0,0,bytes,99418284.0,ns,31300
cost_lookup_function,,0,0,bytes,101458436.0,ns,31926
cost_lookup_function,,0,0,bytes,103034024.0,ns,32552
cost_lookup_function,,0,0,bytes,105070098.0,ns,33178
cost_lookup_function,,0,0,bytes,106878305.0,ns,33804
cost_lookup_function,,0,0,bytes,108897681.0,ns,34430
cost_lookup_function,,0,0,bytes,110789026.0,ns,35056
cost_lookup_function,,0,0,bytes,112912043.0,ns,35682
cost_lookup_function,,0,0,bytes,114855353.0,ns,36308
cost_lookup_function,,0,0,bytes,116859608.0,ns,36934
cost_lookup_function,,0,0,bytes,118844815.0,ns,37560
cost_lookup_function,,0,0,bytes,121030212.0,ns,38186
cost_lookup_function,,0,0,bytes,122812030.0,ns,38812
cost_lookup_function,,0,0,bytes,124801938.0,ns,39438
cost_lookup_function,,0,0,bytes,126688290.0,ns,40064
cost_lookup_function,,0,0,bytes,128698636.0,ns,40690
cost_lookup_function,,0,0,bytes,130636546.0,ns,41316
cost_lookup_function,,0,0,bytes,132763226.0,ns,41942
cost_lookup_function,,0,0,bytes,135112669.0,ns,42568
cost_lookup_function,,0,0,bytes,136748061.0,ns,43194
cost_lookup_function,,0,0,bytes,138594647.0,ns,43820
cost_lookup_function,,0,0,bytes,140634787.0,ns,44446
cost_lookup_function,,0,0,bytes,142684815.0,ns,45072
cost_lookup_function,,0,0,bytes,144617411.0,ns,45698
cost_lookup_function,,0,0,bytes,147002800.0,ns,46324
cost_lookup_function,,0,0,bytes,149943377.0,ns,46950
cost_lookup_function,,0,0,bytes,150460080.0,ns,47576
cost_lookup_function,,0,0,bytes,152499370.0,ns,48202
cost_lookup_function,,0,0,bytes,154387006.0,ns,48828
cost_lookup_function,,0,0,bytes,156372533.0,ns,49454
cost_lookup_function,,0,0,bytes,158428963.0,ns,50080
cost_lookup_function,,0,0,bytes,160527442.0,ns,50706
cost_lookup_function,,0,0,bytes,162532310.0,ns,51332
cost_lookup_function,,0,0,bytes,164369301.0,ns,51958
cost_lookup_function,,0,0,bytes,166306874.0,ns,52584
cost_lookup_function,,0,0,bytes,168414737.0,ns,53210
cost_lookup_function,,0,0,bytes,170231045.0,ns,53836
cost_lookup_function,,0,0,bytes,172365837.0,ns,54462
cost_lookup_function,,0,0,bytes,174359020.0,ns,55088
cost_lookup_function,,0,0,bytes,176316018.0,ns,55714
cost_lookup_function,,0,0,bytes,178209295.0,ns,56340
cost_lookup_function,,0,0,bytes,180608176.0,ns,56966
cost_lookup_function,,0,0,bytes,182314639.0,ns,57592
cost_lookup_function,,0,0,bytes,184638420.0,ns,58218
cost_lookup_function,,0,0,bytes,186169336.0,ns,58844
cost_lookup_function,,0,0,bytes,188245666.0,ns,59470
cost_lookup_function,,0,0,bytes,190215974.0,ns,60096
cost_lookup_function,,0,0,bytes,192172077.0,ns,60722
cost_lookup_function,,0,0,bytes,194220759.0,ns,61348
cost_lookup_function,,0,0,bytes,196996950.0,ns,61974
cost_lookup_function,,0,0,bytes,198128816.0,ns,62600
