group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_lookup_function,,0,0,bytes,2085635.0,ns,698
cost_lookup_function,,0,0,bytes,3978876.0,ns,1396
cost_lookup_function,,0,0,bytes,5978886.0,ns,2094
cost_lookup_function,,0,0,bytes,7930628.0,ns,2792
cost_lookup_function,,0,0,bytes,9875380.0,ns,3490
cost_lookup_function,,0,0,bytes,11883614.0,ns,4188
cost_lookup_function,,0,0,bytes,13881314.0,ns,4886
cost_lookup_function,,0,0,bytes,15842695.0,ns,5584
cost_lookup_function,,0,0,bytes,17834042.0,ns,6282
cost_lookup_function,,0,0,bytes,19903913.0,ns,6980
cost_lookup_function,,0,0,bytes,21820216.0,ns,7678
cost_lookup_function,,0,0,bytes,23759405.0,ns,8376
cost_lookup_function,,0,0,bytes,25786514.0,ns,9074
cost_lookup_function,,0,0,bytes,27741937.0,ns,9772
cost_lookup_function,,0,0,bytes,29810761.0,ns,10470
cost_lookup_function,,0,0,bytes,31699413.0,ns,11168
cost_lookup_function,,0,0,bytes,33685511.0,ns,11866
cost_lookup_function,,0,0,bytes,35637433.0,ns,12564
cost_lookup_function,,0,0,bytes,37623286.0,ns,13262
cost_lookup_function,,0,0,bytes,39591344.0,ns,13960
cost_lookup_function,,0,0,bytes,41566750.0,ns,14658
cost_lookup_function,,0,0,bytes,43570559.0,ns,15356
cost_lookup_function,,0,0,bytes,45538089.0,ns,16054
cost_lookup_function,,0,0,bytes,47524916.0,ns,16752
cost_lookup_function,,0,0,bytes,49472985.0,ns,17450
cost_lookup_function,,0,0,bytes,51457194.0,ns,18148
cost_lookup_function,,0,0,bytes,54315666.0,ns,18846
cost_lookup_function,,0,0,bytes,55439779.0,ns,19544
cost_lookup_function,,0,0,bytes,57399083.0,ns,20242
cost_lookup_function,,0,0,bytes,59387821.0,ns,20940
cost_lookup_function,,0,0,bytes,61330151.0,ns,21638
cost_lookup_function,,0,0,bytes,63327407.0,ns,22336
cost_lookup_function,,0,0,bytes,65415422.0,ns,23034
cost_lookup_function,,0,0,bytes,67450378.0,ns,23732
cost_lookup_function,,0,0,bytes,69284612.0,ns,24430
cost_lookup_function,,0,0,bytes,71266486.0,ns,25128
cost_lookup_function,,0,0,bytes,73202216.0,ns,25826
cost_lookup_function,,0,0,bytes,75262714.0,ns,26524
cost_lookup_function,,0,0,bytes,77208536.0,ns,27222
cost_lookup_function,,0,0,bytes,79155407.0,ns,27920
cost_lookup_function,,0,0,bytes,81145573.0,ns,28618
cost_lookup_function,,0,0,bytes,83494969.0,ns,29316
cost_lookup_function,,0,0,bytes,85229873.0,ns,30014
cost_lookup_function,,0,0,bytes,87162468.0,ns,30712
cost_lookup_function,,0,0,bytes,89276319.0,ns,31410
cost_lookup_function,,0,0,bytes,91229203.0,ns,32108
cost_lookup_function,,0,0,bytes,93419891.0,ns,32806
cost_lookup_function,,0,0,bytes,94991945.0,ns,33504
cost_lookup_function,,0,0,bytes,96965114.0,ns,34202
cost_lookup_function,,0,0,bytes,98859365.0,ns,34900
cost_lookup_function,,0,0,bytes,100961014.0,ns,35598
cost_lookup_function,,0,0,bytes,102945114.0,ns,36296
cost_lookup_function,,0,0,bytes,104960849.0,ns,36994
cost_lookup_function,,0,0,bytes,106899519.0,ns,37692
cost_lookup_function,,0,0,bytes,108916740.0,ns,38390
cost_lookup_function,,0,0,bytes,111313828.0,ns,39088
cost_lookup_function,,0,0,bytes,112998548.0,ns,39786
cost_lookup_function,,0,0,bytes,115118755.0,ns,40484
cost_lookup_function,,0,0,bytes,117133565.0,ns,41182
cost_lookup_function,,0,0,bytes,118931852.0,ns,41880
cost_lookup_function,,0,0,bytes,121018115.0,ns,42578
cost_lookup_function,,0,0,bytes,123107901.0,ns,43276
cost_lookup_function,,0,0,bytes,125057593.0,ns,43974
cost_lookup_function,,0,0,bytes,126928152.0,ns,44672
cost_lookup_function,,0,0,bytes,129034904.0,ns,45370
cost_lookup_function,,0,0,bytes,130687858.0,ns,46068
cost_lookup_function,,0,0,bytes,132907591.0,ns,46766
cost_lookup_function,,0,0,bytes,134838804.0,ns,47464
cost_lookup_function,,0,0,bytes,137029506.0,ns,48162
cost_lookup_function,,0,0,bytes,138989938.0,ns,48860
cost_lookup_function,,0,0,bytes,141017945.0,ns,49558
cost_lookup_function,,0,0,bytes,143054264.0,ns,50256
cost_lookup_function,,0,0,bytes,144687669.0,ns,50954
cost_lookup_function,,0,0,bytes,146569208.0,ns,51652
cost_lookup_function,,0,0,bytes,148525924.0,ns,52350
cost_lookup_function,,0,0,bytes,150610361.0,ns,53048
cost_lookup_function,,0,0,bytes,152436256.0,ns,53746
cost_lookup_function,,0,0,bytes,154263815.0,ns,54444
cost_lookup_function,,0,0,bytes,157011627.0,ns,55142
cost_lookup_function,,0,0,bytes,158525103.0,ns,55840
cost_lookup_function,,0,0,bytes,160507232.0,ns,56538
cost_lookup_function,,0,0,bytes,163479966.0,ns,57236
cost_lookup_function,,0,0,bytes,164749403.0,ns,57934
cost_lookup_function,,0,0,bytes,167056706.0,ns,58632
cost_lookup_function,,0,0,bytes,168825195.0,ns,59330
cost_lookup_function,,0,0,bytes,170284392.0,ns,60028
cost_lookup_function,,0,0,bytes,172331360.0,ns,60726
cost_lookup_function,,0,0,bytes,174265291.0,ns,61424
cost_lookup_function,,0,0,bytes,176281181.0,ns,62122
cost_lookup_function,,0,0,bytes,178685510.0,ns,62820
cost_lookup_function,,0,0,bytes,180539475.0,ns,63518
cost_lookup_function,,0,0,bytes,182260199.0,ns,64216
cost_lookup_function,,0,0,bytes,184125389.0,ns,64914
cost_lookup_function,,0,0,bytes,186038790.0,ns,65612
cost_lookup_function,,0,0,bytes,188251510.0,ns,66310
cost_lookup_function,,0,0,bytes,190686895.0,ns,67008
cost_lookup_function,,0,0,bytes,192939748.0,ns,67706
cost_lookup_function,,0,0,bytes,194874388.0,ns,68404
cost_lookup_function,,0,0,bytes,196787412.0,ns,69102
cost_lookup_function,,0,0,bytes,199050418.0,ns,69800
