group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_lookup_variable_depth,,32,32,bytes,2155355.0,ns,163
cost_lookup_variable_depth,,32,32,bytes,3961779.0,ns,326
cost_lookup_variable_depth,,32,32,bytes,5941718.0,ns,489
cost_lookup_variable_depth,,32,32,bytes,7919606.0,ns,652
cost_lookup_variable_depth,,32,32,bytes,9950418.0,ns,815
cost_lookup_variable_depth,,32,32,bytes,11882374.0,ns,978
cost_lookup_variable_depth,,32,32,bytes,13858667.0,ns,1141
cost_lookup_variable_depth,,32,32,bytes,15852316.0,ns,1304
cost_lookup_variable_depth,,32,32,bytes,17829494.0,ns,1467
cost_lookup_variable_depth,,32,32,bytes,19811896.0,ns,1630
cost_lookup_variable_depth,,32,32,bytes,21822841.0,ns,1793
cost_lookup_variable_depth,,32,32,bytes,23765211.0,ns,1956
cost_lookup_variable_depth,,32,32,bytes,25733597.0,ns,2119
cost_lookup_variable_depth,,32,32,bytes,27733245.0,ns,2282
cost_lookup_variable_depth,,32,32,bytes,29700376.0,ns,2445
cost_lookup_variable_depth,,32,32,bytes,31674667.0,ns,2608
cost_lookup_variable_depth,,32,32,bytes,33676570.0,ns,2771
cost_lookup_variable_depth,,32,32,bytes,35638513.0,ns,2934
cost_lookup_variable_depth,,32,32,bytes,37628172.0,ns,3097
cost_lookup_variable_depth,,32,32,bytes,39595442.0,ns,3260
cost_lookup_variable_depth,,32,32,bytes,41576991.0,ns,3423
cost_lookup_variable_depth,,32,32,bytes,43563403.0,ns,3586
cost_lookup_variable_depth,,32,32,bytes,45546245.0,ns,3749
cost_lookup_variable_depth,,32,32,bytes,47526378.0,ns,3912
cost_lookup_variable_depth,,32,32,bytes,49540431.0,ns,4075
cost_lookup_variable_depth,,32,32,bytes,51480433.0,ns,4238
cost_lookup_variable_depth,,32,32,bytes,53464804.0,ns,4401
cost_lookup_variable_depth,,32,32,bytes,55450399.0,ns,4564
cost_lookup_variable_depth,,32,32,bytes,57401680.0,ns,4727
cost_lookup_variable_depth,,32,32,bytes,59639306.0,ns,4890
cost_lookup_variable_depth,,32,32,bytes,61430033.0,ns,5053
cost_lookup_variable_depth,,32,32,bytes,63369267.0,ns,5216
cost_lookup_variable_depth,,32,32,bytes,65359708.0,ns,5379
cost_lookup_variable_depth,,32,32,bytes,67337497.0,ns,5542
cost_lookup_variable_depth,,32,32,bytes,69308377.0,ns,5705
cost_lookup_variable_depth,,32,32,bytes,71324499.0,ns,5868
cost_lookup_variable_depth,,32,32,bytes,73290999.0,ns,6031
cost_lookup_variable_depth,,32,32,bytes,75261671.0,ns,6194
cost_lookup_variable_depth,,32,32,bytes,77209192.0,ns,6357
cost_lookup_variable_depth,,32,32,bytes,79807381.0,ns,6520
cost_lookup_variable_depth,,32,32,bytes,81231004.0,ns,6683
cost_lookup_variable_depth,,32,32,bytes,83162084.0,ns,6846
cost_lookup_variable_depth,,32,32,bytes,85175286.0,ns,7009
cost_lookup_variable_depth,,32,32,bytes,87140039.0,ns,7172
cost_lookup_variable_depth,,32,32,bytes,89105730.0,ns,7335
cost_lookup_variable_depth,,32,32,bytes,91105114.0,ns,7498
cost_lookup_variable_depth,,32,32,bytes,93097504.0,ns,7661
cost_lookup_variable_depth,,32,32,bytes,95049034.0,ns,7824
cost_lookup_variable_depth,,32,32,bytes,97104217.0,ns,7987
cost_lookup_variable_depth,,32,32,bytes,99020109.0,ns,8150
cost_lookup_variable_depth,,32,32,bytes,101241064.0,ns,8313
cost_lookup_variable_depth,,32,32,bytes,103172199.0,ns,8476
cost_lookup_variable_depth,,32,32,bytes,105018959.0,ns,8639
cost_lookup_variable_depth,,32,32,bytes,106952312.0,ns,8802
cost_lookup_variable_depth,,32,32,bytes,108904322.0,ns,8965
cost_lookup_variable_depth,,32,32,bytes,110883354.0,ns,9128
cost_lookup_variable_depth,,32,32,bytes,112842944.0,ns,9291
cost_lookup_variable_depth,,32,32,bytes,114840606.0,ns,9454
cost_lookup_variable_depth,,32,32,bytes,116940268.0,ns,9617
cost_lookup_variable_depth,,32,32,bytes,119715031.0,ns,9780
cost_lookup_variable_depth,,32,32,bytes,120833946.0,ns,9943
cost_lookup_variable_depth,,32,32,bytes,122788878.0,ns,10106
cost_lookup_variable_depth,,32,32,bytes,124749625.0,ns,10269
cost_lookup_variable_depth,,32,32,bytes,126752052.0,ns,10432
cost_lookup_variable_depth,,32,32,bytes,128741113.0,ns,10595
cost_lookup_variable_depth,,32,32,bytes,130690734.0,ns,10758
cost_lookup_variable_depth,,32,32,bytes,132715127.0,ns,10921
cost_lookup_variable_depth,,32,32,bytes,134831182.0,ns,11084
cost_lookup_variable_depth,,32,32,bytes,136771943.0,ns,11247
cost_lookup_variable_depth,,32,32,bytes,138630990.0,ns,11410
cost_lookup_variable_depth,,32,32,bytes,140612998.0,ns,11573
cost_lookup_variable_depth,,32,32,bytes,142511491.0,ns,11736
cost_lookup_variable_depth,,32,32,bytes,144566258.0,ns,11899
cost_lookup_variable_depth,,32,32,bytes,146545856.0,ns,12062
cost_lookup_variable_depth,,32,32,bytes,148834910.0,ns,12225
cost_lookup_variable_depth,,32,32,bytes,150611611.0,ns,12388
cost_lookup_variable_depth,,32,32,bytes,152600408.0,ns,12551
cost_lookup_variable_depth,,32,32,bytes,154465706.0,ns,12714
cost_lookup_variable_depth,,32,32,bytes,156432259.0,ns,12877
cost_lookup_variable_depth,,32,32,bytes,158447649.0,ns,13040
cost_lookup_variable_depth,,32,32,bytes,160458252.0,ns,13203
cost_lookup_variable_depth,,32,32,bytes,163035498.0,ns,13366
cost_lookup_variable_depth,,32,32,bytes,164328177.0,ns,13529
cost_lookup_variable_depth,,32,32,bytes,166361829.0,ns,13692
cost_lookup_variable_depth,,32,32,bytes,168365068.0,ns,13855
cost_lookup_variable_depth,,32,32,bytes,170347543.0,ns,14018
cost_lookup_variable_depth,,32,32,bytes,172336627.0,ns,14181
cost_lookup_variable_depth,,32,32,bytes,174271182.0,ns,14344
cost_lookup_variable_depth,,32,32,bytes,176297406.0,ns,14507
cost_lookup_variable_depth,,32,32,bytes,178264912.0,ns,14670
cost_lookup_variable_depth,,32,32,bytes,180244163.0,ns,14833
cost_lookup_variable_depth,,32,32,bytes,182226501.0,ns,14996
cost_lookup_variable_depth,,32,32,bytes,184631054.0,ns,15159
cost_lookup_variable_depth,,32,32,bytes,186248458.0,ns,15322
cost_lookup_variable_depth,,32,32,bytes,188093658.0,ns,15485
cost_lookup_variable_depth,,32,32,bytes,190107905.0,ns,15648
cost_lookup_variable_depth,,32,32,bytes,192109143.0,ns,15811
cost_lookup_variable_depth,,32,32,bytes,194639286.0,ns,15974
cost_lookup_variable_depth,,32,32,bytes,196302702.0,ns,16137
cost_lookup_variable_depth,,32,32,bytes,197992308.0,ns,16300
