group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_lookup_variable_depth,,64,64,bytes,2004880.0,ns,51
cost_lookup_variable_depth,,64,64,bytes,3974519.0,ns,102
cost_lookup_variable_depth,,64,64,bytes,5948965.0,ns,153
cost_lookup_variable_depth,,64,64,bytes,7960473.0,ns,204
cost_lookup_variable_depth,,64,64,bytes,9951035.0,ns,255
cost_lookup_variable_depth,,64,64,bytes,11927140.0,ns,306
cost_lookup_variable_depth,,64,64,bytes,13884682.0,ns,357
cost_lookup_variable_depth,,64,64,bytes,15905258.0,ns,408
cost_lookup_variable_depth,,64,64,bytes,17882482.0,ns,459
cost_lookup_variable_depth,,64,64,bytes,19921833.0,ns,510
cost_lookup_variable_depth,,64,64,bytes,21862381.0,ns,561
cost_lookup_variable_depth,,64,64,bytes,23887541.0,ns,612
cost_lookup_variable_depth,,64,64,bytes,25866053.0,ns,663
cost_lookup_variable_depth,,64,64,bytes,27815375.0,ns,714
cost_lookup_variable_depth,,64,64,bytes,29802221.0,ns,765
cost_lookup_variable_depth,,64,64,bytes,31767711.0,ns,816
cost_lookup_variable_depth,,64,64,bytes,33737546.0,ns,867
cost_lookup_variable_depth,,64,64,bytes,35769512.0,ns,918
cost_lookup_variable_depth,,64,64,bytes,37714195.0,ns,969
cost_lookup_variable_depth,,64,64,bytes,39705817.0,ns,1020
cost_lookup_variable_depth,,64,64,bytes,41726180.0,ns,1071
cost_lookup_variable_depth,,64,64,bytes,43691312.0,ns,1122
cost_lookup_variable_depth,,64,64,bytes,45676265.0,ns,1173
cost_lookup_variable_depth,,64,64,bytes,47681375.0,ns,1224
cost_lookup_variable_depth,,64,64,bytes,49713250.0,ns,1275
cost_lookup_variable_depth,,64,64,bytes,51655349.0,ns,1326
cost_lookup_variable_depth,,64,64,bytes,53676219.0,ns,1377
cost_lookup_variable_depth,,64,64,bytes,55775172.0,ns,1428
cost_lookup_variable_depth,,64,64,bytes,57812041.0,ns,1479
cost_lookup_variable_depth,,64,64,bytes,59606271.0,ns,1530
cost_lookup_variable_depth,,64,64,bytes,61724161.0,ns,1581
cost_lookup_variable_depth,,64,64,bytes,63545729.0,ns,1632
cost_lookup_variable_depth,,64,64,bytes,65681850.0,ns,1683
cost_lookup_variable_depth,,64,64,bytes,67654847.0,ns,1734
cost_lookup_variable_depth,,64,64,bytes,69504405.0,ns,1785
cost_lookup_variable_depth,,64,64,bytes,71467314.0,ns,1836
cost_lookup_variable_depth,,64,64,bytes,73484880.0,ns,1887
cost_lookup_variable_depth,,64,64,bytes,76978189.0,ns,1938
cost_lookup_variable_depth,,64,64,bytes,77447796.0,ns,1989
cost_lookup_variable_depth,,64,64,bytes,79378660.0,ns,2040
cost_lookup_variable_depth,,64,64,bytes,81731159.0,ns,2091
cost_lookup_variable_depth,,64,64,bytes,83439147.0,ns,2142
cost_lookup_variable_depth,,64,64,bytes,85425068.0,ns,2193
cost_lookup_variable_depth,,64,64,bytes,87364903.0,ns,2244
cost_lookup_variable_depth,,64,64,bytes,89448877.0,ns,2295
cost_lookup_variable_depth,,64,64,bytes,91492628.0,ns,2346
cost_lookup_variable_depth,,64,64,bytes,93436184.0,ns,2397
cost_lookup_variable_depth,,64,64,bytes,95426121.0,ns,2448
cost_lookup_variable_depth,,64,64,bytes,97506213.0,ns,2499
cost_lookup_variable_depth,,64,64,bytes,99363576.0,ns,2550
cost_lookup_variable_depth,,64,64,bytes,101510894.0,ns,2601
cost_lookup_variable_depth,,64,64,bytes,103456665.0,ns,2652
cost_lookup_variable_depth,,64,64,bytes,105504968.0,ns,2703
cost_lookup_variable_depth,,64,64,bytes,107335535.0,ns,2754
cost_lookup_variable_depth,,64,64,bytes,109290207.0,ns,2805
cost_lookup_variable_depth,,64,64,bytes,111596159.0,ns,2856
cost_lookup_variable_depth,,64,64,bytes,113280360.0,ns,2907
cost_lookup_variable_depth,,64,64,bytes,115289815.0,ns,2958
cost_lookup_variable_depth,,64,64,bytes,117401036.0,ns,3009
cost_lookup_variable_depth,,64,64,bytes,119334429.0,ns,3060
cost_lookup_variable_depth,,64,64,bytes,121334197.0,ns,3111
cost_lookup_variable_depth,,64,64,bytes,123136758.0,ns,3162
cost_lookup_variable_depth,,64,64,bytes,125301202.0,ns,3213
cost_lookup_variable_depth,,64,64,bytes,127166309.0,ns,3264
cost_lookup_variable_depth,,64,64,bytes,129067146.0,ns,3315
cost_lookup_variable_depth,,64,64,bytes,131027589.0,ns,3366
cost_lookup_variable_depth,,64,64,bytes,132987373.0,ns,3417
cost_lookup_variable_depth,,64,64,bytes,134992238.0,ns,3468
cost_lookup_variable_depth,,64,64,bytes,136991353.0,ns,3519
cost_lookup_variable_depth,,64,64,bytes,139080794.0,ns,3570
cost_lookup_variable_depth,,64,64,bytes,141181570.0,ns,3621
cost_lookup_variable_depth,,64,64,bytes,143030905.0,ns,3672
cost_lookup_variable_depth,,64,64,bytes,144874027.0,ns,3723
cost_lookup_variable_depth,,64,64,bytes,146942046.0,ns,3774
cost_lookup_variable_depth,,64,64,bytes,148842994.0,ns,3825
cost_lookup_variable_depth,,64,64,bytes,150915803.0,ns,3876
cost_lookup_variable_depth,,64,64,bytes,153052205.0,ns,3927
cost_lookup_variable_depth,,64,64,bytes,154880530.0,ns,3978
cost_lookup_variable_depth,,64,64,bytes,156886291.0,ns,4029
cost_lookup_variable_depth,,64,64,bytes,159010872.0,ns,4080
cost_lookup_variable_depth,,64,64,bytes,160777323.0,ns,4131
cost_lookup_variable_depth,,64,64,bytes,162707029.0,ns,4182
cost_lookup_variable_depth,,64,64,bytes,164720040.0,ns,4233
cost_lookup_variable_depth,,64,64,bytes,167336037.0,ns,4284
cost_lookup_variable_depth,,64,64,bytes,169620300.0,ns,4335
cost_lookup_variable_depth,,64,64,bytes,172649247.0,ns,4386
cost_lookup_variable_depth,,64,64,bytes,173043622.0,ns,4437
cost_lookup_variable_depth,,64,64,bytes,175106166.0,ns,4488
cost_lookup_variable_depth,,64,64,bytes,177061952.0,ns,4539
cost_lookup_variable_depth,,64,64,bytes,178973785.0,ns,4590
cost_lookup_variable_depth,,64,64,bytes,180755699.0,ns,4641
cost_lookup_variable_depth,,64,64,bytes,182682233.0,ns,4692
cost_lookup_variable_depth,,64,64,bytes,184649536.0,ns,4743
cost_lookup_variable_depth,,64,64,bytes,186896994.0,ns,4794
cost_lookup_variable_depth,,64,64,bytes,189122743.0,ns,4845
cost_lookup_variable_depth,,64,64,bytes,190855828.0,ns,4896
cost_lookup_variable_depth,,64,64,bytes,192749712.0,ns,4947
cost_lookup_variable_depth,,64,64,bytes,194780811.0,ns,4998
cost_lookup_variable_depth,,64,64,bytes,196541836.0,ns,5049
cost_lookup_variable_depth,,64,64,bytes,198671961.0,ns,5100
