group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_lookup_variable_size,,2,2,bytes,1985319.0,ns,226
cost_lookup_variable_size,,2,2,bytes,3972563.0,ns,452
cost_lookup_variable_size,,2,2,bytes,5962437.0,ns,678
cost_lookup_variable_size,,2,2,bytes,7951139.0,ns,904
cost_lookup_variable_size,,2,2,bytes,9932397.0,ns,1130
cost_lookup_variable_size,,2,2,bytes,11940271.0,ns,1356
cost_lookup_variable_size,,2,2,bytes,14126278.0,ns,1582
cost_lookup_variable_size,,2,2,bytes,15985605.0,ns,1808
cost_lookup_variable_size,,2,2,bytes,17913496.0,ns,2034
cost_lookup_variable_size,,2,2,bytes,19946725.0,ns,2260
cost_lookup_variable_size,,2,2,bytes,21930913.0,ns,2486
cost_lookup_variable_size,,2,2,bytes,23900704.0,ns,2712
cost_lookup_variable_size,,2,2,bytes,25850205.0,ns,2938
cost_lookup_variable_size,,2,2,bytes,27803526.0,ns,3164
cost_lookup_variable_size,,2,2,bytes,29823559.0,ns,3390
cost_lookup_variable_size,,2,2,bytes,31804543.0,ns,3616
cost_lookup_variable_size,,2,2,bytes,33790774.0,ns,3842
cost_lookup_variable_size,,2,2,bytes,35896167.0,ns,4068
cost_lookup_variable_size,,2,2,bytes,37794160.0,ns,4294
cost_lookup_variable_size,,2,2,bytes,39725339.0,ns,4520
cost_lookup_variable_size,,2,2,bytes,41709234.0,ns,4746
cost_lookup_variable_size,,2,2,bytes,43709296.0,ns,4972
cost_lookup_variable_size,,2,2,bytes,45664317.0,ns,5198
cost_lookup_variable_size,,2,2,bytes,47666472.0,ns,5424
cost_lookup_variable_size,,2,2,bytes,49646877.0,ns,5650
cost_lookup_variable_size,,2,2,bytes,51653766.0,ns,5876
cost_lookup_variable_size,,2,2,bytes,53614149.0,ns,6102
cost_lookup_variable_size,,2,2,bytes,55620424.0,ns,6328
cost_lookup_variable_size,,2,2,bytes,57641224.0,ns,6554
cost_lookup_variable_size,,2,2,bytes,59606575.0,ns,6780
cost_lookup_variable_size,,2,2,bytes,62355055.0,ns,7006
cost_lookup_variable_size,,2,2,bytes,63968492.0,ns,7232
cost_lookup_variable_size,,2,2,bytes,66022892.0,ns,7458
cost_lookup_variable_size,,2,2,bytes,67790533.0,ns,7684
cost_lookup_variable_size,,2,2,bytes,69639253.0,ns,7910
cost_lookup_variable_size,,2,2,bytes,71655660.0,ns,8136
cost_lookup_variable_size,,2,2,bytes,73848738.0,ns,8362
cost_lookup_variable_size,,2,2,bytes,75451946.0,ns,8588
cost_lookup_variable_size,,2,2,bytes,77481679.0,ns,8814
cost_lookup_variable_size,,2,2,bytes,79413874.0,ns,9040
cost_lookup_variable_size,,2,2,bytes,81402042.0,ns,9266
cost_lookup_variable_size,,2,2,bytes,83450929.0,ns,9492
cost_lookup_variable_size,,2,2,bytes,85509323.0,ns,9718
cost_lookup_variable_size,,2,2,bytes,87391868.0,ns,9944
cost_lookup_variable_size,,2,2,bytes,89405966.0,ns,10170
cost_lookup_variable_size,,2,2,bytes,91684634.0,ns,10396
cost_lookup_variable_size,,2,2,bytes,95095285.0,ns,10622
cost_lookup_variable_size,,2,2,bytes,95418103.0,ns,10848
cost_lookup_variable_size,,2,2,bytes,97383978.0,ns,11074
cost_lookup_variable_size,,2,2,bytes,99324453.0,ns,11300
cost_lookup_variable_size,,2,2,bytes,101392584.0,ns,11526
cost_lookup_variable_size,,2,2,bytes,103326934.0,ns,11752
cost_lookup_variable_size,,2,2,bytes,105281376.0,ns,11978
cost_lookup_variable_size,,2,2,bytes,107321962.0,ns,12204
cost_lookup_variable_size,,2,2,bytes,109660064.0,ns,12430
cost_lookup_variable_size,,2,2,bytes,111456192.0,ns,12656
cost_lookup_variable_size,,2,2,bytes,113429677.0,ns,12882
cost_lookup_variable_size,,2,2,bytes,115255036.0,ns,13108
cost_lookup_variable_size,,2,2,bytes,117238670.0,ns,13334
cost_lookup_variable_size,,2,2,bytes,119178934.0,ns,13560
cost_lookup_variable_size,,2,2,bytes,121164517.0,ns,13786
cost_lookup_variable_size,,2,2,bytes,123140826.0,ns,14012
cost_lookup_variable_size,,2,2,bytes,125245321.0,ns,14238
cost_lookup_variable_size,,2,2,bytes,128260065.0,ns,14464
cost_lookup_variable_size,,2,2,bytes,129714386.0,ns,14690
cost_lookup_variable_size,,2,2,bytes,131397215.0,ns,14916
cost_lookup_variable_size,,2,2,bytes,133254221.0,ns,15142
cost_lookup_variable_size,,2,2,bytes,135075305.0,ns,15368
cost_lookup_variable_size,,2,2,bytes,137113146.0,ns,15594
cost_lookup_variable_size,,2,2,bytes,139130940.0,ns,15820
cost_lookup_variable_size,,2,2,bytes,141018205.0,ns,16046
cost_lookup_variable_size,,2,2,bytes,143198721.0,ns,16272
cost_lookup_variable_size,,2,2,bytes,144977948.0,ns,16498
cost_lookup_variable_size,,2,2,bytes,146990090.0,ns,16724
