group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_lookup_variable_size,,64,64,bytes,2151179.0,ns,53
cost_lookup_variable_size,,64,64,bytes,3962405.0,ns,106
cost_lookup_variable_size,,64,64,bytes,5979719.0,ns,159
cost_lookup_variable_size,,64,64,bytes,8022276.0,ns,212
cost_lookup_variable_size,,64,64,bytes,10021822.0,ns,265
cost_lookup_variable_size,,64,64,bytes,12065189.0,ns,318
cost_lookup_variable_size,,64,64,bytes,14042429.0,ns,371
cost_lookup_variable_size,,64,64,bytes,16026302.0,ns,424
cost_lookup_variable_size,,64,64,bytes,18012195.0,ns,477
cost_lookup_variable_size,,64,64,bytes,20008114.0,ns,530
cost_lookup_variable_size,,64,64,bytes,22013879.0,ns,583
cost_lookup_variable_size,,64,64,bytes,24012886.0,ns,636
cost_lookup_variable_size,,64,64,bytes,25993925.0,ns,689
cost_lookup_variable_size,,64,64,bytes,28011661.0,ns,742
cost_lookup_variable_size,,64,64,bytes,30012084.0,ns,795
cost_lookup_variable_size,,64,64,bytes,32007994.0,ns,848
cost_lookup_variable_size,,64,64,bytes,34053381.0,ns,901
cost_lookup_variable_size,,64,64,bytes,36016569.0,ns,954
cost_lookup_variable_size,,64,64,bytes,38024047.0,ns,1007
cost_lookup_variable_size,,64,64,bytes,40011823.0,ns,1060
cost_lookup_variable_size,,64,64,bytes,42009833.0,ns,1113
cost_lookup_variable_size,,64,64,bytes,44005680.0,ns,1166
cost_lookup_variable_size,,64,64,bytes,46045735.0,ns,1219
cost_lookup_variable_size,,64,64,bytes,48029561.0,ns,1272
cost_lookup_variable_size,,64,64,bytes,50025605.0,ns,1325
cost_lookup_variable_size,,64,64,bytes,52018839.0,ns,1378
cost_lookup_variable_size,,64,64,bytes,54023297.0,ns,1431
cost_lookup_variable_size,,64,64,bytes,56014906.0,ns,1484
cost_lookup_variable_size,,64,64,bytes,58020449.0,ns,1537
cost_lookup_variable_size,,64,64,bytes,60020403.0,ns,1590
cost_lookup_variable_size,,64,64,bytes,62036513.0,ns,1643
cost_lookup_variable_size,,64,64,bytes,64512707.0,ns,1696
cost_lookup_variable_size,,64,64,bytes,66035747.0,ns,1749
cost_lookup_variable_size,,64,64,bytes,68197565.0,ns,1802
cost_lookup_variable_size,,64,64,bytes,70027602.0,ns,1855
cost_lookup_variable_size,,64,64,bytes,72027097.0,ns,1908
cost_lookup_variable_size,,64,64,bytes,74035312.0,ns,1961
cost_lookup_variable_size,,64,64,bytes,76022488.0,ns,2014
cost_lookup_variable_size,,64,64,bytes,78019517.0,ns,2067
cost_lookup_variable_size,,64,64,bytes,80035186.0,ns,2120
cost_lookup_variable_size,,64,64,bytes,82030312.0,ns,2173
cost_lookup_variable_size,,64,64,bytes,84026012.0,ns,2226
cost_lookup_variable_size,,64,64,bytes,86033078.0,ns,2279
cost_lookup_variable_size,,64,64,bytes,88177024.0,ns,2332
cost_lookup_variable_size,,64,64,bytes,90523411.0,ns,2385
cost_lookup_variable_size,,64,64,bytes,92018048.0,ns,2438
cost_lookup_variable_size,,64,64,bytes,94026023.0,ns,2491
cost_lookup_variable_size,,64,64,bytes,96023177.0,ns,2544
cost_lookup_variable_size,,64,64,bytes,98035220.0,ns,2597
cost_lookup_variable_size,,64,64,bytes,100021733.0,ns,2650
cost_lookup_variable_size,,64,64,bytes,102041580.0,ns,2703
cost_lookup_variable_size,,64,64,bytes,104042489.0,ns,2756
cost_lookup_variable_size,,64,64,bytes,106047927.0,ns,2809
cost_lookup_variable_size,,64,64,bytes,108044094.0,ns,2862
