group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_match,,1,1,bytes,2042688.0,ns,18
cost_match,,1,1,bytes,4001591.0,ns,36
cost_match,,1,1,bytes,6003426.0,ns,54
cost_match,,1,1,bytes,7970066.0,ns,72
cost_match,,1,1,bytes,9984144.0,ns,90
cost_match,,1,1,bytes,11913320.0,ns,108
cost_match,,1,1,bytes,13867677.0,ns,126
cost_match,,1,1,bytes,15876667.0,ns,144
cost_match,,1,1,bytes,17883376.0,ns,162
cost_match,,1,1,bytes,19796284.0,ns,180
cost_match,,1,1,bytes,21799084.0,ns,198
cost_match,,1,1,bytes,23885377.0,ns,216
cost_match,,1,1,bytes,25859697.0,ns,234
cost_match,,1,1,bytes,27814167.0,ns,252
cost_match,,1,1,bytes,29744947.0,ns,270
cost_match,,1,1,bytes,32022835.0,ns,288
cost_match,,1,1,bytes,33842659.0,ns,306
cost_match,,1,1,bytes,35616270.0,ns,324
cost_match,,1,1,bytes,37784296.0,ns,342
cost_match,,1,1,bytes,39730861.0,ns,360
cost_match,,1,1,bytes,41669213.0,ns,378
cost_match,,1,1,bytes,43809149.0,ns,396
cost_match,,1,1,bytes,45635362.0,ns,414
cost_match,,1,1,bytes,47670939.0,ns,432
cost_match,,1,1,bytes,49749588.0,ns,450
cost_match,,1,1,bytes,51561204.0,ns,468
cost_match,,1,1,bytes,53609110.0,ns,486
cost_match,,1,1,bytes,55657326.0,ns,504
cost_match,,1,1,bytes,57540573.0,ns,522
cost_match,,1,1,bytes,59591020.0,ns,540
cost_match,,1,1,bytes,62070760.0,ns,558
cost_match,,1,1,bytes,64703960.0,ns,576
cost_match,,1,1,bytes,66105097.0,ns,594
cost_match,,1,1,bytes,68370454.0,ns,612
cost_match,,1,1,bytes,70667502.0,ns,630
cost_match,,1,1,bytes,72477522.0,ns,648
cost_match,,1,1,bytes,73833078.0,ns,666
cost_match,,1,1,bytes,75677440.0,ns,684
cost_match,,1,1,bytes,77585945.0,ns,702
cost_match,,1,1,bytes,79683860.0,ns,720
cost_match,,1,1,bytes,81642877.0,ns,738
cost_match,,1,1,bytes,83572162.0,ns,756
cost_match,,1,1,bytes,85384652.0,ns,774
cost_match,,1,1,bytes,87984023.0,ns,792
cost_match,,1,1,bytes,90121814.0,ns,810
cost_match,,1,1,bytes,92029247.0,ns,828
cost_match,,1,1,bytes,93697031.0,ns,846
cost_match,,1,1,bytes,95763133.0,ns,864
cost_match,,1,1,bytes,97764355.0,ns,882
cost_match,,1,1,bytes,99688323.0,ns,900
cost_match,,1,1,bytes,101897733.0,ns,918
cost_match,,1,1,bytes,103590657.0,ns,936
cost_match,,1,1,bytes,106493630.0,ns,954
cost_match,,1,1,bytes,108024111.0,ns,972
cost_match,,1,1,bytes,109975940.0,ns,990
cost_match,,1,1,bytes,112480312.0,ns,1008
cost_match,,1,1,bytes,113402039.0,ns,1026
cost_match,,1,1,bytes,115113142.0,ns,1044
cost_match,,1,1,bytes,117387356.0,ns,1062
cost_match,,1,1,bytes,119194075.0,ns,1080
cost_match,,1,1,bytes,121445329.0,ns,1098
cost_match,,1,1,bytes,123111945.0,ns,1116
cost_match,,1,1,bytes,126847571.0,ns,1134
cost_match,,1,1,bytes,127196953.0,ns,1152
cost_match,,1,1,bytes,129118212.0,ns,1170
cost_match,,1,1,bytes,131514437.0,ns,1188
cost_match,,1,1,bytes,133080085.0,ns,1206
cost_match,,1,1,bytes,134876951.0,ns,1224
cost_match,,1,1,bytes,137088530.0,ns,1242
cost_match,,1,1,bytes,138934920.0,ns,1260
cost_match,,1,1,bytes,140627797.0,ns,1278
cost_match,,1,1,bytes,143266376.0,ns,1296
cost_match,,1,1,bytes,144576721.0,ns,1314
cost_match,,1,1,bytes,146323344.0,ns,1332
cost_match,,1,1,bytes,148431499.0,ns,1350
cost_match,,1,1,bytes,150861294.0,ns,1368
cost_match,,1,1,bytes,153231350.0,ns,1386
cost_match,,1,1,bytes,155430646.0,ns,1404
cost_match,,1,1,bytes,157548942.0,ns,1422
cost_match,,1,1,bytes,163338287.0,ns,1440
cost_match,,1,1,bytes,163493728.0,ns,1458
cost_match,,1,1,bytes,163019826.0,ns,1476
cost_match,,1,1,bytes,165280148.0,ns,1494
cost_match,,1,1,bytes,168000342.0,ns,1512
cost_match,,1,1,bytes,168703575.0,ns,1530
cost_match,,1,1,bytes,170887410.0,ns,1548
cost_match,,1,1,bytes,172817370.0,ns,1566
cost_match,,1,1,bytes,174738811.0,ns,1584
cost_match,,1,1,bytes,177590384.0,ns,1602
cost_match,,1,1,bytes,180843349.0,ns,1620
cost_match,,1,1,bytes,182132466.0,ns,1638
cost_match,,1,1,bytes,183326181.0,ns,1656
cost_match,,1,1,bytes,185404976.0,ns,1674
cost_match,,1,1,bytes,186931087.0,ns,1692
cost_match,,1,1,bytes,189449590.0,ns,1710
cost_match,,1,1,bytes,192655671.0,ns,1728
cost_match,,1,1,bytes,192378516.0,ns,1746
cost_match,,1,1,bytes,194105938.0,ns,1764
cost_match,,1,1,bytes,196049384.0,ns,1782
cost_match,,1,1,bytes,200106936.0,ns,1800
