group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_match,,1,1,bytes,2113781.0,ns,16
cost_match,,1,1,bytes,4087536.0,ns,32
cost_match,,1,1,bytes,6125158.0,ns,48
cost_match,,1,1,bytes,8141322.0,ns,64
cost_match,,1,1,bytes,10220466.0,ns,80
cost_match,,1,1,bytes,12234193.0,ns,96
cost_match,,1,1,bytes,14287888.0,ns,112
cost_match,,1,1,bytes,16331195.0,ns,128
cost_match,,1,1,bytes,18304235.0,ns,144
cost_match,,1,1,bytes,20368980.0,ns,160
cost_match,,1,1,bytes,22391872.0,ns,176
cost_match,,1,1,bytes,24403120.0,ns,192
cost_match,,1,1,bytes,26411136.0,ns,208
cost_match,,1,1,bytes,28536453.0,ns,224
cost_match,,1,1,bytes,30542840.0,ns,240
cost_match,,1,1,bytes,32606726.0,ns,256
cost_match,,1,1,bytes,34653307.0,ns,272
cost_match,,1,1,bytes,36695401.0,ns,288
cost_match,,1,1,bytes,38715051.0,ns,304
cost_match,,1,1,bytes,40633628.0,ns,320
cost_match,,1,1,bytes,42661760.0,ns,336
cost_match,,1,1,bytes,44780397.0,ns,352
cost_match,,1,1,bytes,46904126.0,ns,368
cost_match,,1,1,bytes,48861701.0,ns,384
cost_match,,1,1,bytes,50818626.0,ns,400
cost_match,,1,1,bytes,53786954.0,ns,416
cost_match,,1,1,bytes,55418003.0,ns,432
cost_match,,1,1,bytes,57328217.0,ns,448
cost_match,,1,1,bytes,59212989.0,ns,464
cost_match,,1,1,bytes,61415073.0,ns,480
cost_match,,1,1,bytes,63126157.0,ns,496
cost_match,,1,1,bytes,65185369.0,ns,512
cost_match,,1,1,bytes,67183819.0,ns,528
cost_match,,1,1,bytes,69178032.0,ns,544
cost_match,,1,1,bytes,71908236.0,ns,560
cost_match,,1,1,bytes,73320981.0,ns,576
cost_match,,1,1,bytes,75502690.0,ns,592
cost_match,,1,1,bytes,78650599.0,ns,608
cost_match,,1,1,bytes,81876586.0,ns,624
cost_match,,1,1,bytes,81857071.0,ns,640
cost_match,,1,1,bytes,83532876.0,ns,656
cost_match,,1,1,bytes,86403720.0,ns,672
cost_match,,1,1,bytes,87813203.0,ns,688
cost_match,,1,1,bytes,89760197.0,ns,704
cost_match,,1,1,bytes,92010839.0,ns,720
cost_match,,1,1,bytes,93849328.0,ns,736
cost_match,,1,1,bytes,95676194.0,ns,752
cost_match,,1,1,bytes,97804242.0,ns,768
cost_match,,1,1,bytes,100513030.0,ns,784
cost_match,,1,1,bytes,102431940.0,ns,800
cost_match,,1,1,bytes,103795111.0,ns,816
cost_match,,1,1,bytes,105838167.0,ns,832
cost_match,,1,1,bytes,109259889.0,ns,848
cost_match,,1,1,bytes,109992122.0,ns,864
cost_match,,1,1,bytes,113061128.0,ns,880
cost_match,,1,1,bytes,114604023.0,ns,896
cost_match,,1,1,bytes,116239506.0,ns,912
cost_match,,1,1,bytes,118610369.0,ns,928
cost_match,,1,1,bytes,121678716.0,ns,944
cost_match,,1,1,bytes,123527264.0,ns,960
cost_match,,1,1,bytes,124104190.0,ns,976
cost_match,,1,1,bytes,126214436.0,ns,992
cost_match,,1,1,bytes,128806687.0,ns,1008
cost_match,,1,1,bytes,131129651.0,ns,1024
cost_match,,1,1,bytes,133298410.0,ns,1040
cost_match,,1,1,bytes,136024768.0,ns,1056
cost_match,,1,1,bytes,138006773.0,ns,1072
cost_match,,1,1,bytes,140711443.0,ns,1088
cost_match,,1,1,bytes,141509117.0,ns,1104
cost_match,,1,1,bytes,143848548.0,ns,1120
cost_match,,1,1,bytes,145118642.0,ns,1136
cost_match,,1,1,bytes,146620696.0,ns,1152
cost_match,,1,1,bytes,149484281.0,ns,1168
cost_match,,1,1,bytes,151551039.0,ns,1184
cost_match,,1,1,bytes,152837705.0,ns,1200
cost_match,,1,1,bytes,155429559.0,ns,1216
cost_match,,1,1,bytes,156550462.0,ns,1232
cost_match,,1,1,bytes,158863515.0,ns,1248
cost_match,,1,1,bytes,160869443.0,ns,1264
cost_match,,1,1,bytes,163742646.0,ns,1280
cost_match,,1,1,bytes,165658707.0,ns,1296
cost_match,,1,1,bytes,167450066.0,ns,1312
cost_match,,1,1,bytes,168980180.0,ns,1328
cost_match,,1,1,bytes,170832702.0,ns,1344
cost_match,,1,1,bytes,172947376.0,ns,1360
cost_match,,1,1,bytes,174968577.0,ns,1376
cost_match,,1,1,bytes,176935186.0,ns,1392
cost_match,,1,1,bytes,179086975.0,ns,1408
cost_match,,1,1,bytes,181330735.0,ns,1424
cost_match,,1,1,bytes,183291783.0,ns,1440
cost_match,,1,1,bytes,185298797.0,ns,1456
cost_match,,1,1,bytes,189062490.0,ns,1472
cost_match,,1,1,bytes,191239996.0,ns,1488
cost_match,,1,1,bytes,191733086.0,ns,1504
cost_match,,1,1,bytes,193585314.0,ns,1520
cost_match,,1,1,bytes,195453520.0,ns,1536
cost_match,,1,1,bytes,198686659.0,ns,1552
cost_match,,1,1,bytes,199950043.0,ns,1568
cost_match,,1,1,bytes,202030633.0,ns,1584
cost_match,,1,1,bytes,204146391.0,ns,1600
