group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_mod,,2,2,bytes,2089647.0,ns,33
cost_mod,,2,2,bytes,3913212.0,ns,66
cost_mod,,2,2,bytes,5838017.0,ns,99
cost_mod,,2,2,bytes,7799558.0,ns,132
cost_mod,,2,2,bytes,9738009.0,ns,165
cost_mod,,2,2,bytes,11679828.0,ns,198
cost_mod,,2,2,bytes,13647853.0,ns,231
cost_mod,,2,2,bytes,17097497.0,ns,264
cost_mod,,2,2,bytes,17573745.0,ns,297
cost_mod,,2,2,bytes,19498453.0,ns,330
cost_mod,,2,2,bytes,21432352.0,ns,363
cost_mod,,2,2,bytes,23344478.0,ns,396
cost_mod,,2,2,bytes,25300285.0,ns,429
cost_mod,,2,2,bytes,27235956.0,ns,462
cost_mod,,2,2,bytes,29251422.0,ns,495
cost_mod,,2,2,bytes,31160191.0,ns,528
cost_mod,,2,2,bytes,33090194.0,ns,561
cost_mod,,2,2,bytes,35047665.0,ns,594
cost_mod,,2,2,bytes,37081852.0,ns,627
cost_mod,,2,2,bytes,38921726.0,ns,660
cost_mod,,2,2,bytes,40878728.0,ns,693
cost_mod,,2,2,bytes,42830208.0,ns,726
cost_mod,,2,2,bytes,45278100.0,ns,759
cost_mod,,2,2,bytes,46850326.0,ns,792
cost_mod,,2,2,bytes,48809951.0,ns,825
cost_mod,,2,2,bytes,50818356.0,ns,858
cost_mod,,2,2,bytes,52858111.0,ns,891
cost_mod,,2,2,bytes,54573675.0,ns,924
cost_mod,,2,2,bytes,56519412.0,ns,957
cost_mod,,2,2,bytes,58460154.0,ns,990
cost_mod,,2,2,bytes,60454966.0,ns,1023
cost_mod,,2,2,bytes,62282114.0,ns,1056
cost_mod,,2,2,bytes,64187499.0,ns,1089
cost_mod,,2,2,bytes,66130277.0,ns,1122
cost_mod,,2,2,bytes,68204102.0,ns,1155
cost_mod,,2,2,bytes,70157512.0,ns,1188
cost_mod,,2,2,bytes,72326802.0,ns,1221
cost_mod,,2,2,bytes,74809772.0,ns,1254
cost_mod,,2,2,bytes,76007854.0,ns,1287
cost_mod,,2,2,bytes,78122554.0,ns,1320
cost_mod,,2,2,bytes,80490278.0,ns,1353
cost_mod,,2,2,bytes,81992048.0,ns,1386
cost_mod,,2,2,bytes,83669566.0,ns,1419
cost_mod,,2,2,bytes,85600205.0,ns,1452
cost_mod,,2,2,bytes,87576251.0,ns,1485
cost_mod,,2,2,bytes,89460395.0,ns,1518
cost_mod,,2,2,bytes,91404167.0,ns,1551
cost_mod,,2,2,bytes,93341089.0,ns,1584
cost_mod,,2,2,bytes,95568681.0,ns,1617
cost_mod,,2,2,bytes,97267163.0,ns,1650
cost_mod,,2,2,bytes,99480138.0,ns,1683
cost_mod,,2,2,bytes,101562441.0,ns,1716
cost_mod,,2,2,bytes,104082959.0,ns,1749
cost_mod,,2,2,bytes,104990298.0,ns,1782
cost_mod,,2,2,bytes,107014902.0,ns,1815
cost_mod,,2,2,bytes,108958201.0,ns,1848
cost_mod,,2,2,bytes,110891684.0,ns,1881
cost_mod,,2,2,bytes,112875323.0,ns,1914
cost_mod,,2,2,bytes,114797135.0,ns,1947
cost_mod,,2,2,bytes,116766679.0,ns,1980
cost_mod,,2,2,bytes,118659136.0,ns,2013
cost_mod,,2,2,bytes,120651304.0,ns,2046
cost_mod,,2,2,bytes,122610278.0,ns,2079
cost_mod,,2,2,bytes,124987403.0,ns,2112
cost_mod,,2,2,bytes,127622672.0,ns,2145
cost_mod,,2,2,bytes,128544564.0,ns,2178
cost_mod,,2,2,bytes,130496747.0,ns,2211
cost_mod,,2,2,bytes,132792278.0,ns,2244
cost_mod,,2,2,bytes,134641211.0,ns,2277
cost_mod,,2,2,bytes,136487356.0,ns,2310
cost_mod,,2,2,bytes,138184385.0,ns,2343
cost_mod,,2,2,bytes,140153288.0,ns,2376
cost_mod,,2,2,bytes,142034695.0,ns,2409
cost_mod,,2,2,bytes,143968791.0,ns,2442
cost_mod,,2,2,bytes,145932938.0,ns,2475
cost_mod,,2,2,bytes,148266225.0,ns,2508
cost_mod,,2,2,bytes,149978012.0,ns,2541
cost_mod,,2,2,bytes,151890768.0,ns,2574
cost_mod,,2,2,bytes,154068520.0,ns,2607
cost_mod,,2,2,bytes,155822119.0,ns,2640
cost_mod,,2,2,bytes,157521989.0,ns,2673
cost_mod,,2,2,bytes,159962156.0,ns,2706
cost_mod,,2,2,bytes,161950933.0,ns,2739
cost_mod,,2,2,bytes,163513340.0,ns,2772
cost_mod,,2,2,bytes,165458068.0,ns,2805
cost_mod,,2,2,bytes,167447761.0,ns,2838
cost_mod,,2,2,bytes,170275073.0,ns,2871
cost_mod,,2,2,bytes,172110082.0,ns,2904
cost_mod,,2,2,bytes,173822573.0,ns,2937
cost_mod,,2,2,bytes,174999329.0,ns,2970
cost_mod,,2,2,bytes,177268811.0,ns,3003
cost_mod,,2,2,bytes,178935713.0,ns,3036
cost_mod,,2,2,bytes,181062484.0,ns,3069
cost_mod,,2,2,bytes,183531813.0,ns,3102
cost_mod,,2,2,bytes,186181658.0,ns,3135
cost_mod,,2,2,bytes,187205674.0,ns,3168
cost_mod,,2,2,bytes,188753599.0,ns,3201
cost_mod,,2,2,bytes,191118871.0,ns,3234
cost_mod,,2,2,bytes,192576201.0,ns,3267
cost_mod,,2,2,bytes,195151056.0,ns,3300
