group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_mul,,4,4,bytes,2158424.0,ns,29
cost_mul,,4,4,bytes,4056261.0,ns,58
cost_mul,,4,4,bytes,6071396.0,ns,87
cost_mul,,4,4,bytes,8105118.0,ns,116
cost_mul,,4,4,bytes,10096647.0,ns,145
cost_mul,,4,4,bytes,12129253.0,ns,174
cost_mul,,4,4,bytes,14160732.0,ns,203
cost_mul,,4,4,bytes,16185488.0,ns,232
cost_mul,,4,4,bytes,18181088.0,ns,261
cost_mul,,4,4,bytes,20209153.0,ns,290
cost_mul,,4,4,bytes,22262991.0,ns,319
cost_mul,,4,4,bytes,24234140.0,ns,348
cost_mul,,4,4,bytes,26248294.0,ns,377
cost_mul,,4,4,bytes,28241609.0,ns,406
cost_mul,,4,4,bytes,30297588.0,ns,435
cost_mul,,4,4,bytes,32290214.0,ns,464
cost_mul,,4,4,bytes,34311208.0,ns,493
cost_mul,,4,4,bytes,36394345.0,ns,522
cost_mul,,4,4,bytes,38225255.0,ns,551
cost_mul,,4,4,bytes,39561521.0,ns,580
cost_mul,,4,4,bytes,41430429.0,ns,609
cost_mul,,4,4,bytes,43403263.0,ns,638
cost_mul,,4,4,bytes,45379506.0,ns,667
cost_mul,,4,4,bytes,47419581.0,ns,696
cost_mul,,4,4,bytes,50133351.0,ns,725
cost_mul,,4,4,bytes,52482415.0,ns,754
cost_mul,,4,4,bytes,54518090.0,ns,783
cost_mul,,4,4,bytes,56508117.0,ns,812
cost_mul,,4,4,bytes,58570468.0,ns,841
cost_mul,,4,4,bytes,60559067.0,ns,870
cost_mul,,4,4,bytes,61242702.0,ns,899
cost_mul,,4,4,bytes,63185199.0,ns,928
cost_mul,,4,4,bytes,65847207.0,ns,957
cost_mul,,4,4,bytes,67761096.0,ns,986
cost_mul,,4,4,bytes,70847853.0,ns,1015
cost_mul,,4,4,bytes,73376122.0,ns,1044
cost_mul,,4,4,bytes,75106450.0,ns,1073
cost_mul,,4,4,bytes,76941576.0,ns,1102
cost_mul,,4,4,bytes,79222566.0,ns,1131
cost_mul,,4,4,bytes,79292554.0,ns,1160
cost_mul,,4,4,bytes,81439185.0,ns,1189
cost_mul,,4,4,bytes,83385089.0,ns,1218
cost_mul,,4,4,bytes,85179164.0,ns,1247
cost_mul,,4,4,bytes,87345990.0,ns,1276
cost_mul,,4,4,bytes,89029831.0,ns,1305
cost_mul,,4,4,bytes,92000041.0,ns,1334
cost_mul,,4,4,bytes,95305742.0,ns,1363
cost_mul,,4,4,bytes,97925469.0,ns,1392
cost_mul,,4,4,bytes,99873442.0,ns,1421
cost_mul,,4,4,bytes,101608872.0,ns,1450
cost_mul,,4,4,bytes,103960938.0,ns,1479
cost_mul,,4,4,bytes,105928871.0,ns,1508
cost_mul,,4,4,bytes,107859957.0,ns,1537
cost_mul,,4,4,bytes,109331954.0,ns,1566
cost_mul,,4,4,bytes,109732480.0,ns,1595
cost_mul,,4,4,bytes,113364425.0,ns,1624
cost_mul,,4,4,bytes,115723251.0,ns,1653
cost_mul,,4,4,bytes,116821741.0,ns,1682
cost_mul,,4,4,bytes,119151652.0,ns,1711
cost_mul,,4,4,bytes,121171292.0,ns,1740
cost_mul,,4,4,bytes,123181045.0,ns,1769
cost_mul,,4,4,bytes,123996964.0,ns,1798
cost_mul,,4,4,bytes,125627271.0,ns,1827
cost_mul,,4,4,bytes,130113127.0,ns,1856
cost_mul,,4,4,bytes,131445035.0,ns,1885
cost_mul,,4,4,bytes,130952226.0,ns,1914
cost_mul,,4,4,bytes,132269773.0,ns,1943
cost_mul,,4,4,bytes,136253965.0,ns,1972
cost_mul,,4,4,bytes,136635699.0,ns,2001
cost_mul,,4,4,bytes,138124882.0,ns,2030
cost_mul,,4,4,bytes,141493423.0,ns,2059
cost_mul,,4,4,bytes,144529807.0,ns,2088
cost_mul,,4,4,bytes,146267268.0,ns,2117
cost_mul,,4,4,bytes,150119136.0,ns,2146
cost_mul,,4,4,bytes,152393649.0,ns,2175
cost_mul,,4,4,bytes,154650095.0,ns,2204
cost_mul,,4,4,bytes,157044895.0,ns,2233
cost_mul,,4,4,bytes,157859242.0,ns,2262
cost_mul,,4,4,bytes,158767844.0,ns,2291
cost_mul,,4,4,bytes,163109939.0,ns,2320
cost_mul,,4,4,bytes,163497578.0,ns,2349
cost_mul,,4,4,bytes,165536837.0,ns,2378
cost_mul,,4,4,bytes,167565425.0,ns,2407
cost_mul,,4,4,bytes,166463264.0,ns,2436
cost_mul,,4,4,bytes,172328831.0,ns,2465
cost_mul,,4,4,bytes,174110170.0,ns,2494
cost_mul,,4,4,bytes,176359209.0,ns,2523
cost_mul,,4,4,bytes,178536724.0,ns,2552
cost_mul,,4,4,bytes,180635712.0,ns,2581
cost_mul,,4,4,bytes,182016406.0,ns,2610
cost_mul,,4,4,bytes,184050985.0,ns,2639
cost_mul,,4,4,bytes,187357592.0,ns,2668
cost_mul,,4,4,bytes,188894052.0,ns,2697
cost_mul,,4,4,bytes,189860132.0,ns,2726
cost_mul,,4,4,bytes,191989437.0,ns,2755
cost_mul,,4,4,bytes,193774801.0,ns,2784
cost_mul,,4,4,bytes,195193840.0,ns,2813
cost_mul,,4,4,bytes,197744996.0,ns,2842
cost_mul,,4,4,bytes,199939249.0,ns,2871
cost_mul,,4,4,bytes,199526142.0,ns,2900
