group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_mul,,4,4,bytes,2085521.0,ns,29
cost_mul,,4,4,bytes,4006803.0,ns,58
cost_mul,,4,4,bytes,5994814.0,ns,87
cost_mul,,4,4,bytes,7988041.0,ns,116
cost_mul,,4,4,bytes,10003000.0,ns,145
cost_mul,,4,4,bytes,12007829.0,ns,174
cost_mul,,4,4,bytes,13993512.0,ns,203
cost_mul,,4,4,bytes,15991360.0,ns,232
cost_mul,,4,4,bytes,18016476.0,ns,261
cost_mul,,4,4,bytes,19986484.0,ns,290
cost_mul,,4,4,bytes,21988187.0,ns,319
cost_mul,,4,4,bytes,23982851.0,ns,348
cost_mul,,4,4,bytes,25998802.0,ns,377
cost_mul,,4,4,bytes,27959198.0,ns,406
cost_mul,,4,4,bytes,29960248.0,ns,435
cost_mul,,4,4,bytes,31960804.0,ns,464
cost_mul,,4,4,bytes,33960035.0,ns,493
cost_mul,,4,4,bytes,35963058.0,ns,522
cost_mul,,4,4,bytes,37969553.0,ns,551
cost_mul,,4,4,bytes,40059407.0,ns,580
cost_mul,,4,4,bytes,42073695.0,ns,609
cost_mul,,4,4,bytes,43994946.0,ns,638
cost_mul,,4,4,bytes,45972903.0,ns,667
cost_mul,,4,4,bytes,47945852.0,ns,696
cost_mul,,4,4,bytes,49970415.0,ns,725
cost_mul,,4,4,bytes,53229523.0,ns,754
cost_mul,,4,4,bytes,54885332.0,ns,783
cost_mul,,4,4,bytes,57480163.0,ns,812
cost_mul,,4,4,bytes,58920331.0,ns,841
cost_mul,,4,4,bytes,61615680.0,ns,870
cost_mul,,4,4,bytes,62548721.0,ns,899
cost_mul,,4,4,bytes,64565984.0,ns,928
cost_mul,,4,4,bytes,66545607.0,ns,957
cost_mul,,4,4,bytes,68001905.0,ns,986
cost_mul,,4,4,bytes,70047203.0,ns,1015
cost_mul,,4,4,bytes,71940589.0,ns,1044
cost_mul,,4,4,bytes,73953765.0,ns,1073
cost_mul,,4,4,bytes,75989805.0,ns,1102
cost_mul,,4,4,bytes,77945082.0,ns,1131
cost_mul,,4,4,bytes,79937345.0,ns,1160
cost_mul,,4,4,bytes,81947468.0,ns,1189
cost_mul,,4,4,bytes,83940093.0,ns,1218
cost_mul,,4,4,bytes,85967827.0,ns,1247
cost_mul,,4,4,bytes,87984738.0,ns,1276
cost_mul,,4,4,bytes,90969222.0,ns,1305
cost_mul,,4,4,bytes,92975708.0,ns,1334
cost_mul,,4,4,bytes,94144393.0,ns,1363
cost_mul,,4,4,bytes,96293215.0,ns,1392
cost_mul,,4,4,bytes,98096403.0,ns,1421
cost_mul,,4,4,bytes,99984165.0,ns,1450
cost_mul,,4,4,bytes,102161053.0,ns,1479
cost_mul,,4,4,bytes,103969854.0,ns,1508
cost_mul,,4,4,bytes,106881964.0,ns,1537
cost_mul,,4,4,bytes,109040396.0,ns,1566
cost_mul,,4,4,bytes,111276290.0,ns,1595
cost_mul,,4,4,bytes,112816196.0,ns,1624
cost_mul,,4,4,bytes,115305944.0,ns,1653
cost_mul,,4,4,bytes,116096036.0,ns,1682
cost_mul,,4,4,bytes,117995553.0,ns,1711
cost_mul,,4,4,bytes,120031517.0,ns,1740
cost_mul,,4,4,bytes,121987877.0,ns,1769
cost_mul,,4,4,bytes,123998329.0,ns,1798
cost_mul,,4,4,bytes,126022117.0,ns,1827
cost_mul,,4,4,bytes,128703743.0,ns,1856
cost_mul,,4,4,bytes,130223055.0,ns,1885
cost_mul,,4,4,bytes,132896174.0,ns,1914
cost_mul,,4,4,bytes,133967010.0,ns,1943
cost_mul,,4,4,bytes,135958317.0,ns,1972
cost_mul,,4,4,bytes,137988637.0,ns,2001
cost_mul,,4,4,bytes,139918531.0,ns,2030
cost_mul,,4,4,bytes,142474528.0,ns,2059
cost_mul,,4,4,bytes,143901478.0,ns,2088
cost_mul,,4,4,bytes,145926377.0,ns,2117
cost_mul,,4,4,bytes,147949904.0,ns,2146
cost_mul,,4,4,bytes,150129684.0,ns,2175
cost_mul,,4,4,bytes,151896334.0,ns,2204
cost_mul,,4,4,bytes,155838536.0,ns,2233
cost_mul,,4,4,bytes,157179115.0,ns,2262
cost_mul,,4,4,bytes,158057131.0,ns,2291
cost_mul,,4,4,bytes,160015748.0,ns,2320
cost_mul,,4,4,bytes,161878727.0,ns,2349
cost_mul,,4,4,bytes,163959470.0,ns,2378
cost_mul,,4,4,bytes,167555199.0,ns,2407
cost_mul,,4,4,bytes,169605663.0,ns,2436
cost_mul,,4,4,bytes,170195709.0,ns,2465
cost_mul,,4,4,bytes,172050203.0,ns,2494
cost_mul,,4,4,bytes,173967342.0,ns,2523
cost_mul,,4,4,bytes,175925907.0,ns,2552
cost_mul,,4,4,bytes,178115991.0,ns,2581
cost_mul,,4,4,bytes,180588444.0,ns,2610
cost_mul,,4,4,bytes,182507307.0,ns,2639
cost_mul,,4,4,bytes,184335559.0,ns,2668
cost_mul,,4,4,bytes,186204786.0,ns,2697
cost_mul,,4,4,bytes,188045117.0,ns,2726
cost_mul,,4,4,bytes,191515085.0,ns,2755
cost_mul,,4,4,bytes,192224396.0,ns,2784
cost_mul,,4,4,bytes,193973758.0,ns,2813
cost_mul,,4,4,bytes,195949360.0,ns,2842
cost_mul,,4,4,bytes,197901110.0,ns,2871
cost_mul,,4,4,bytes,200977530.0,ns,2900
