group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_nft_burn,,1,1,bytes,2535305.0,ns,3
cost_nft_burn,,1,1,bytes,4973045.0,ns,6
cost_nft_burn,,1,1,bytes,7504503.0,ns,9
cost_nft_burn,,1,1,bytes,9956259.0,ns,12
cost_nft_burn,,1,1,bytes,12590515.0,ns,15
cost_nft_burn,,1,1,bytes,14898303.0,ns,18
cost_nft_burn,,1,1,bytes,17394368.0,ns,21
cost_nft_burn,,1,1,bytes,19994450.0,ns,24
cost_nft_burn,,1,1,bytes,22444547.0,ns,27
cost_nft_burn,,1,1,bytes,24911487.0,ns,30
cost_nft_burn,,1,1,bytes,27462680.0,ns,33
cost_nft_burn,,1,1,bytes,29932005.0,ns,36
cost_nft_burn,,1,1,bytes,33069520.0,ns,39
cost_nft_burn,,1,1,bytes,34689726.0,ns,42
cost_nft_burn,,1,1,bytes,38580561.0,ns,45
cost_nft_burn,,1,1,bytes,40408247.0,ns,48
cost_nft_burn,,1,1,bytes,42317372.0,ns,51
cost_nft_burn,,1,1,bytes,45257287.0,ns,54
cost_nft_burn,,1,1,bytes,47576959.0,ns,57
cost_nft_burn,,1,1,bytes,49921382.0,ns,60
cost_nft_burn,,1,1,bytes,52347504.0,ns,63
cost_nft_burn,,1,1,bytes,54959646.0,ns,66
cost_nft_burn,,1,1,bytes,57181337.0,ns,69
cost_nft_burn,,1,1,bytes,59664571.0,ns,72
cost_nft_burn,,1,1,bytes,63478359.0,ns,75
cost_nft_burn,,1,1,bytes,64960445.0,ns,78
cost_nft_burn,,1,1,bytes,67314777.0,ns,81
cost_nft_burn,,1,1,bytes,69651913.0,ns,84
cost_nft_burn,,1,1,bytes,73087866.0,ns,87
cost_nft_burn,,1,1,bytes,74693203.0,ns,90
cost_nft_burn,,1,1,bytes,77720994.0,ns,93
cost_nft_burn,,1,1,bytes,81817383.0,ns,96
cost_nft_burn,,1,1,bytes,82696772.0,ns,99
cost_nft_burn,,1,1,bytes,84314594.0,ns,102
cost_nft_burn,,1,1,bytes,86743956.0,ns,105
cost_nft_burn,,1,1,bytes,89207681.0,ns,108
cost_nft_burn,,1,1,bytes,91621347.0,ns,111
cost_nft_burn,,1,1,bytes,93900963.0,ns,114
cost_nft_burn,,1,1,bytes,96335266.0,ns,117
cost_nft_burn,,1,1,bytes,99109970.0,ns,120
cost_nft_burn,,1,1,bytes,101208470.0,ns,123
