group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_nft_mint,,64,64,bytes,2596935.0,ns,2
cost_nft_mint,,64,64,bytes,4699392.0,ns,4
cost_nft_mint,,64,64,bytes,7056664.0,ns,6
cost_nft_mint,,64,64,bytes,9419589.0,ns,8
cost_nft_mint,,64,64,bytes,11719781.0,ns,10
cost_nft_mint,,64,64,bytes,14038017.0,ns,12
cost_nft_mint,,64,64,bytes,16442875.0,ns,14
cost_nft_mint,,64,64,bytes,18768365.0,ns,16
cost_nft_mint,,64,64,bytes,21150708.0,ns,18
cost_nft_mint,,64,64,bytes,23470544.0,ns,20
cost_nft_mint,,64,64,bytes,25837327.0,ns,22
cost_nft_mint,,64,64,bytes,28185448.0,ns,24
cost_nft_mint,,64,64,bytes,30491959.0,ns,26
cost_nft_mint,,64,64,bytes,32825157.0,ns,28
cost_nft_mint,,64,64,bytes,35192762.0,ns,30
cost_nft_mint,,64,64,bytes,37543828.0,ns,32
cost_nft_mint,,64,64,bytes,39893556.0,ns,34
cost_nft_mint,,64,64,bytes,43561500.0,ns,36
cost_nft_mint,,64,64,bytes,47982041.0,ns,38
cost_nft_mint,,64,64,bytes,48214187.0,ns,40
cost_nft_mint,,64,64,bytes,49293045.0,ns,42
cost_nft_mint,,64,64,bytes,51603212.0,ns,44
cost_nft_mint,,64,64,bytes,53801332.0,ns,46
cost_nft_mint,,64,64,bytes,56192027.0,ns,48
cost_nft_mint,,64,64,bytes,58653522.0,ns,50
cost_nft_mint,,64,64,bytes,61201373.0,ns,52
cost_nft_mint,,64,64,bytes,63586790.0,ns,54
cost_nft_mint,,64,64,bytes,65055453.0,ns,56
cost_nft_mint,,64,64,bytes,67346199.0,ns,58
cost_nft_mint,,64,64,bytes,69698193.0,ns,60
cost_nft_mint,,64,64,bytes,72214882.0,ns,62
cost_nft_mint,,64,64,bytes,74455966.0,ns,64
cost_nft_mint,,64,64,bytes,78354277.0,ns,66
cost_nft_mint,,64,64,bytes,81543693.0,ns,68
cost_nft_mint,,64,64,bytes,82733381.0,ns,70
cost_nft_mint,,64,64,bytes,85225460.0,ns,72
cost_nft_mint,,64,64,bytes,87253214.0,ns,74
cost_nft_mint,,64,64,bytes,89705498.0,ns,76
cost_nft_mint,,64,64,bytes,91954415.0,ns,78
cost_nft_mint,,64,64,bytes,95226310.0,ns,80
cost_nft_mint,,64,64,bytes,96333531.0,ns,82
cost_nft_mint,,64,64,bytes,98590925.0,ns,84
cost_nft_mint,,64,64,bytes,101146375.0,ns,86
cost_nft_mint,,64,64,bytes,103266389.0,ns,88
cost_nft_mint,,64,64,bytes,105836937.0,ns,90
cost_nft_mint,,64,64,bytes,107551687.0,ns,92
cost_nft_mint,,64,64,bytes,109822535.0,ns,94
cost_nft_mint,,64,64,bytes,113563863.0,ns,96
cost_nft_mint,,64,64,bytes,114977423.0,ns,98
cost_nft_mint,,64,64,bytes,117517713.0,ns,100
cost_nft_mint,,64,64,bytes,119960589.0,ns,102
cost_nft_mint,,64,64,bytes,122854778.0,ns,104
cost_nft_mint,,64,64,bytes,125242610.0,ns,106
cost_nft_mint,,64,64,bytes,127403659.0,ns,108
cost_nft_mint,,64,64,bytes,129005348.0,ns,110
cost_nft_mint,,64,64,bytes,131383516.0,ns,112
cost_nft_mint,,64,64,bytes,133778744.0,ns,114
cost_nft_mint,,64,64,bytes,136568654.0,ns,116
