group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_nft_owner,,16,16,bytes,2372946.0,ns,3
cost_nft_owner,,16,16,bytes,4665719.0,ns,6
cost_nft_owner,,16,16,bytes,6990259.0,ns,9
cost_nft_owner,,16,16,bytes,9315238.0,ns,12
cost_nft_owner,,16,16,bytes,11662423.0,ns,15
cost_nft_owner,,16,16,bytes,14006398.0,ns,18
cost_nft_owner,,16,16,bytes,16346434.0,ns,21
cost_nft_owner,,16,16,bytes,18673871.0,ns,24
cost_nft_owner,,16,16,bytes,20971860.0,ns,27
cost_nft_owner,,16,16,bytes,23341387.0,ns,30
cost_nft_owner,,16,16,bytes,25656801.0,ns,33
cost_nft_owner,,16,16,bytes,27985208.0,ns,36
cost_nft_owner,,16,16,bytes,30267332.0,ns,39
cost_nft_owner,,16,16,bytes,34036646.0,ns,42
cost_nft_owner,,16,16,bytes,34995070.0,ns,45
cost_nft_owner,,16,16,bytes,37374261.0,ns,48
cost_nft_owner,,16,16,bytes,43986576.0,ns,51
cost_nft_owner,,16,16,bytes,49901260.0,ns,54
cost_nft_owner,,16,16,bytes,47806865.0,ns,57
cost_nft_owner,,16,16,bytes,46673699.0,ns,60
cost_nft_owner,,16,16,bytes,49032596.0,ns,63
cost_nft_owner,,16,16,bytes,51276421.0,ns,66
cost_nft_owner,,16,16,bytes,53583899.0,ns,69
cost_nft_owner,,16,16,bytes,55896788.0,ns,72
cost_nft_owner,,16,16,bytes,58195154.0,ns,75
cost_nft_owner,,16,16,bytes,60561820.0,ns,78
cost_nft_owner,,16,16,bytes,62848791.0,ns,81
cost_nft_owner,,16,16,bytes,65266465.0,ns,84
cost_nft_owner,,16,16,bytes,67599913.0,ns,87
cost_nft_owner,,16,16,bytes,69747360.0,ns,90
cost_nft_owner,,16,16,bytes,72164129.0,ns,93
cost_nft_owner,,16,16,bytes,74542898.0,ns,96
cost_nft_owner,,16,16,bytes,76834073.0,ns,99
cost_nft_owner,,16,16,bytes,79139924.0,ns,102
