group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_nft_owner,,64,64,bytes,2096019.0,ns,2
cost_nft_owner,,64,64,bytes,4204209.0,ns,4
cost_nft_owner,,64,64,bytes,6296385.0,ns,6
cost_nft_owner,,64,64,bytes,8409372.0,ns,8
cost_nft_owner,,64,64,bytes,10498231.0,ns,10
cost_nft_owner,,64,64,bytes,12625092.0,ns,12
cost_nft_owner,,64,64,bytes,14740458.0,ns,14
cost_nft_owner,,64,64,bytes,16817738.0,ns,16
cost_nft_owner,,64,64,bytes,18964509.0,ns,18
cost_nft_owner,,64,64,bytes,21118013.0,ns,20
cost_nft_owner,,64,64,bytes,23109611.0,ns,22
cost_nft_owner,,64,64,bytes,25234790.0,ns,24
cost_nft_owner,,64,64,bytes,27407720.0,ns,26
cost_nft_owner,,64,64,bytes,29452182.0,ns,28
cost_nft_owner,,64,64,bytes,31540315.0,ns,30
cost_nft_owner,,64,64,bytes,33621680.0,ns,32
cost_nft_owner,,64,64,bytes,35791618.0,ns,34
cost_nft_owner,,64,64,bytes,37826256.0,ns,36
cost_nft_owner,,64,64,bytes,39995925.0,ns,38
cost_nft_owner,,64,64,bytes,42151916.0,ns,40
cost_nft_owner,,64,64,bytes,44165708.0,ns,42
cost_nft_owner,,64,64,bytes,46232439.0,ns,44
cost_nft_owner,,64,64,bytes,48388028.0,ns,46
cost_nft_owner,,64,64,bytes,50662098.0,ns,48
cost_nft_owner,,64,64,bytes,52596663.0,ns,50
cost_nft_owner,,64,64,bytes,54746128.0,ns,52
cost_nft_owner,,64,64,bytes,56844431.0,ns,54
cost_nft_owner,,64,64,bytes,59578043.0,ns,56
cost_nft_owner,,64,64,bytes,61337709.0,ns,58
cost_nft_owner,,64,64,bytes,63447677.0,ns,60
cost_nft_owner,,64,64,bytes,65406002.0,ns,62
cost_nft_owner,,64,64,bytes,67686222.0,ns,64
cost_nft_owner,,64,64,bytes,69961387.0,ns,66
cost_nft_owner,,64,64,bytes,71610782.0,ns,68
cost_nft_owner,,64,64,bytes,73817351.0,ns,70
cost_nft_owner,,64,64,bytes,75871548.0,ns,72
cost_nft_owner,,64,64,bytes,78111022.0,ns,74
cost_nft_owner,,64,64,bytes,80223159.0,ns,76
cost_nft_owner,,64,64,bytes,82101527.0,ns,78
cost_nft_owner,,64,64,bytes,84391637.0,ns,80
cost_nft_owner,,64,64,bytes,86391128.0,ns,82
cost_nft_owner,,64,64,bytes,88974792.0,ns,84
cost_nft_owner,,64,64,bytes,90928221.0,ns,86
cost_nft_owner,,64,64,bytes,92844268.0,ns,88
cost_nft_owner,,64,64,bytes,94878812.0,ns,90
cost_nft_owner,,64,64,bytes,97070305.0,ns,92
cost_nft_owner,,64,64,bytes,98959548.0,ns,94
