group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_nft_transfer,,16,16,bytes,2365798.0,ns,3
cost_nft_transfer,,16,16,bytes,4696964.0,ns,6
cost_nft_transfer,,16,16,bytes,7116298.0,ns,9
cost_nft_transfer,,16,16,bytes,9475103.0,ns,12
cost_nft_transfer,,16,16,bytes,11761488.0,ns,15
cost_nft_transfer,,16,16,bytes,14122623.0,ns,18
cost_nft_transfer,,16,16,bytes,16503854.0,ns,21
cost_nft_transfer,,16,16,bytes,18903908.0,ns,24
cost_nft_transfer,,16,16,bytes,21237518.0,ns,27
cost_nft_transfer,,16,16,bytes,23534470.0,ns,30
cost_nft_transfer,,16,16,bytes,25944082.0,ns,33
cost_nft_transfer,,16,16,bytes,28367386.0,ns,36
cost_nft_transfer,,16,16,bytes,30785172.0,ns,39
cost_nft_transfer,,16,16,bytes,33024600.0,ns,42
cost_nft_transfer,,16,16,bytes,35501067.0,ns,45
cost_nft_transfer,,16,16,bytes,37764343.0,ns,48
cost_nft_transfer,,16,16,bytes,40083024.0,ns,51
cost_nft_transfer,,16,16,bytes,42988572.0,ns,54
cost_nft_transfer,,16,16,bytes,45287216.0,ns,57
cost_nft_transfer,,16,16,bytes,47634207.0,ns,60
cost_nft_transfer,,16,16,bytes,50017793.0,ns,63
cost_nft_transfer,,16,16,bytes,53466664.0,ns,66
cost_nft_transfer,,16,16,bytes,65797968.0,ns,69
cost_nft_transfer,,16,16,bytes,59639605.0,ns,72
cost_nft_transfer,,16,16,bytes,58901057.0,ns,75
cost_nft_transfer,,16,16,bytes,61282783.0,ns,78
cost_nft_transfer,,16,16,bytes,63661592.0,ns,81
cost_nft_transfer,,16,16,bytes,66087559.0,ns,84
cost_nft_transfer,,16,16,bytes,68595206.0,ns,87
cost_nft_transfer,,16,16,bytes,70987524.0,ns,90
cost_nft_transfer,,16,16,bytes,73205388.0,ns,93
cost_nft_transfer,,16,16,bytes,75493220.0,ns,96
cost_nft_transfer,,16,16,bytes,77819269.0,ns,99
cost_nft_transfer,,16,16,bytes,79860263.0,ns,102
cost_nft_transfer,,16,16,bytes,82245023.0,ns,105
cost_nft_transfer,,16,16,bytes,84720527.0,ns,108
cost_nft_transfer,,16,16,bytes,87039323.0,ns,111
cost_nft_transfer,,16,16,bytes,90261692.0,ns,114
cost_nft_transfer,,16,16,bytes,92917065.0,ns,117
cost_nft_transfer,,16,16,bytes,94815015.0,ns,120
cost_nft_transfer,,16,16,bytes,97585155.0,ns,123
cost_nft_transfer,,16,16,bytes,99761475.0,ns,126
cost_nft_transfer,,16,16,bytes,101883974.0,ns,129
cost_nft_transfer,,16,16,bytes,104552457.0,ns,132
cost_nft_transfer,,16,16,bytes,106812592.0,ns,135
cost_nft_transfer,,16,16,bytes,109273375.0,ns,138
cost_nft_transfer,,16,16,bytes,111344890.0,ns,141
cost_nft_transfer,,16,16,bytes,120362554.0,ns,144
cost_nft_transfer,,16,16,bytes,127287021.0,ns,147
cost_nft_transfer,,16,16,bytes,117639180.0,ns,150
cost_nft_transfer,,16,16,bytes,120612188.0,ns,153
cost_nft_transfer,,16,16,bytes,122987621.0,ns,156
cost_nft_transfer,,16,16,bytes,125198835.0,ns,159
