group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_nft_transfer,,64,64,bytes,2894074.0,ns,3
cost_nft_transfer,,64,64,bytes,5537758.0,ns,6
cost_nft_transfer,,64,64,bytes,8366424.0,ns,9
cost_nft_transfer,,64,64,bytes,11143604.0,ns,12
cost_nft_transfer,,64,64,bytes,13925482.0,ns,15
cost_nft_transfer,,64,64,bytes,16657048.0,ns,18
cost_nft_transfer,,64,64,bytes,19424510.0,ns,21
cost_nft_transfer,,64,64,bytes,22437453.0,ns,24
cost_nft_transfer,,64,64,bytes,25027802.0,ns,27
cost_nft_transfer,,64,64,bytes,27578325.0,ns,30
cost_nft_transfer,,64,64,bytes,30405470.0,ns,33
cost_nft_transfer,,64,64,bytes,33184114.0,ns,36
cost_nft_transfer,,64,64,bytes,35894911.0,ns,39
cost_nft_transfer,,64,64,bytes,38557054.0,ns,42
cost_nft_transfer,,64,64,bytes,41363015.0,ns,45
cost_nft_transfer,,64,64,bytes,44278447.0,ns,48
cost_nft_transfer,,64,64,bytes,47179934.0,ns,51
cost_nft_transfer,,64,64,bytes,49597268.0,ns,54
cost_nft_transfer,,64,64,bytes,52275744.0,ns,57
cost_nft_transfer,,64,64,bytes,55086971.0,ns,60
cost_nft_transfer,,64,64,bytes,57862441.0,ns,63
cost_nft_transfer,,64,64,bytes,60724850.0,ns,66
cost_nft_transfer,,64,64,bytes,63465685.0,ns,69
cost_nft_transfer,,64,64,bytes,66112797.0,ns,72
cost_nft_transfer,,64,64,bytes,69238369.0,ns,75
cost_nft_transfer,,64,64,bytes,72287763.0,ns,78
cost_nft_transfer,,64,64,bytes,74744001.0,ns,81
cost_nft_transfer,,64,64,bytes,77222705.0,ns,84
cost_nft_transfer,,64,64,bytes,80240409.0,ns,87
cost_nft_transfer,,64,64,bytes,82998466.0,ns,90
cost_nft_transfer,,64,64,bytes,85542720.0,ns,93
cost_nft_transfer,,64,64,bytes,88328078.0,ns,96
cost_nft_transfer,,64,64,bytes,91111703.0,ns,99
cost_nft_transfer,,64,64,bytes,93685343.0,ns,102
cost_nft_transfer,,64,64,bytes,96726657.0,ns,105
cost_nft_transfer,,64,64,bytes,99024839.0,ns,108
cost_nft_transfer,,64,64,bytes,101949106.0,ns,111
cost_nft_transfer,,64,64,bytes,104692034.0,ns,114
cost_nft_transfer,,64,64,bytes,107845885.0,ns,117
cost_nft_transfer,,64,64,bytes,110303978.0,ns,120
cost_nft_transfer,,64,64,bytes,122659171.0,ns,123
cost_nft_transfer,,64,64,bytes,115507325.0,ns,126
cost_nft_transfer,,64,64,bytes,118402689.0,ns,129
cost_nft_transfer,,64,64,bytes,121502692.0,ns,132
cost_nft_transfer,,64,64,bytes,124054885.0,ns,135
cost_nft_transfer,,64,64,bytes,126824501.0,ns,138
cost_nft_transfer,,64,64,bytes,129498375.0,ns,141
cost_nft_transfer,,64,64,bytes,132783667.0,ns,144
cost_nft_transfer,,64,64,bytes,135259388.0,ns,147
cost_nft_transfer,,64,64,bytes,138577761.0,ns,150
cost_nft_transfer,,64,64,bytes,141972069.0,ns,153
cost_nft_transfer,,64,64,bytes,143831874.0,ns,156
cost_nft_transfer,,64,64,bytes,152637707.0,ns,159
cost_nft_transfer,,64,64,bytes,157324029.0,ns,162
cost_nft_transfer,,64,64,bytes,152307654.0,ns,165
cost_nft_transfer,,64,64,bytes,154067723.0,ns,168
cost_nft_transfer,,64,64,bytes,157070921.0,ns,171
cost_nft_transfer,,64,64,bytes,159756859.0,ns,174
cost_nft_transfer,,64,64,bytes,162063182.0,ns,177
cost_nft_transfer,,64,64,bytes,164506763.0,ns,180
cost_nft_transfer,,64,64,bytes,167805993.0,ns,183
cost_nft_transfer,,64,64,bytes,170445340.0,ns,186
cost_nft_transfer,,64,64,bytes,173052737.0,ns,189
cost_nft_transfer,,64,64,bytes,175873553.0,ns,192
cost_nft_transfer,,64,64,bytes,185279296.0,ns,195
cost_nft_transfer,,64,64,bytes,182520989.0,ns,198
cost_nft_transfer,,64,64,bytes,184862797.0,ns,201
cost_nft_transfer,,64,64,bytes,187658747.0,ns,204
cost_nft_transfer,,64,64,bytes,190212910.0,ns,207
cost_nft_transfer,,64,64,bytes,195844982.0,ns,210
cost_nft_transfer,,64,64,bytes,202811207.0,ns,213
cost_nft_transfer,,64,64,bytes,199068341.0,ns,216
cost_nft_transfer,,64,64,bytes,201261224.0,ns,219
cost_nft_transfer,,64,64,bytes,204900954.0,ns,222
cost_nft_transfer,,64,64,bytes,206842060.0,ns,225
cost_nft_transfer,,64,64,bytes,209584106.0,ns,228
cost_nft_transfer,,64,64,bytes,212779615.0,ns,231
cost_nft_transfer,,64,64,bytes,215360174.0,ns,234
cost_nft_transfer,,64,64,bytes,217886060.0,ns,237
cost_nft_transfer,,64,64,bytes,228979982.0,ns,240
cost_nft_transfer,,64,64,bytes,224420905.0,ns,243
cost_nft_transfer,,64,64,bytes,227859021.0,ns,246
cost_nft_transfer,,64,64,bytes,234975615.0,ns,249
cost_nft_transfer,,64,64,bytes,233930686.0,ns,252
cost_nft_transfer,,64,64,bytes,237106551.0,ns,255
cost_nft_transfer,,64,64,bytes,236662874.0,ns,258
cost_nft_transfer,,64,64,bytes,239776498.0,ns,261
cost_nft_transfer,,64,64,bytes,244002886.0,ns,264
cost_nft_transfer,,64,64,bytes,244982471.0,ns,267
cost_nft_transfer,,64,64,bytes,247912857.0,ns,270
cost_nft_transfer,,64,64,bytes,250971683.0,ns,273
cost_nft_transfer,,64,64,bytes,253254555.0,ns,276
cost_nft_transfer,,64,64,bytes,280664921.0,ns,279
cost_nft_transfer,,64,64,bytes,259044935.0,ns,282
cost_nft_transfer,,64,64,bytes,261885544.0,ns,285
cost_nft_transfer,,64,64,bytes,263825110.0,ns,288
cost_nft_transfer,,64,64,bytes,267069766.0,ns,291
cost_nft_transfer,,64,64,bytes,270334365.0,ns,294
cost_nft_transfer,,64,64,bytes,273266279.0,ns,297
cost_nft_transfer,,64,64,bytes,284417167.0,ns,300
