group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_not,,1,1,bytes,2158572.0,ns,49
cost_not,,1,1,bytes,3979132.0,ns,98
cost_not,,1,1,bytes,5970090.0,ns,147
cost_not,,1,1,bytes,7946453.0,ns,196
cost_not,,1,1,bytes,9946560.0,ns,245
cost_not,,1,1,bytes,12010798.0,ns,294
cost_not,,1,1,bytes,13980791.0,ns,343
cost_not,,1,1,bytes,15932709.0,ns,392
cost_not,,1,1,bytes,17914223.0,ns,441
cost_not,,1,1,bytes,19900744.0,ns,490
cost_not,,1,1,bytes,21861241.0,ns,539
cost_not,,1,1,bytes,23842030.0,ns,588
cost_not,,1,1,bytes,25828699.0,ns,637
cost_not,,1,1,bytes,27877039.0,ns,686
cost_not,,1,1,bytes,29803789.0,ns,735
cost_not,,1,1,bytes,31811241.0,ns,784
cost_not,,1,1,bytes,33772076.0,ns,833
cost_not,,1,1,bytes,35810924.0,ns,882
cost_not,,1,1,bytes,37784036.0,ns,931
cost_not,,1,1,bytes,39802475.0,ns,980
cost_not,,1,1,bytes,41713961.0,ns,1029
cost_not,,1,1,bytes,43720457.0,ns,1078
cost_not,,1,1,bytes,45687331.0,ns,1127
cost_not,,1,1,bytes,47660198.0,ns,1176
cost_not,,1,1,bytes,49695286.0,ns,1225
cost_not,,1,1,bytes,51681397.0,ns,1274
cost_not,,1,1,bytes,53684207.0,ns,1323
cost_not,,1,1,bytes,56153066.0,ns,1372
cost_not,,1,1,bytes,57697243.0,ns,1421
cost_not,,1,1,bytes,59623985.0,ns,1470
cost_not,,1,1,bytes,61584462.0,ns,1519
cost_not,,1,1,bytes,63913632.0,ns,1568
cost_not,,1,1,bytes,65577009.0,ns,1617
cost_not,,1,1,bytes,67584495.0,ns,1666
cost_not,,1,1,bytes,69564636.0,ns,1715
cost_not,,1,1,bytes,71527090.0,ns,1764
cost_not,,1,1,bytes,73504992.0,ns,1813
cost_not,,1,1,bytes,75496806.0,ns,1862
cost_not,,1,1,bytes,77478546.0,ns,1911
cost_not,,1,1,bytes,79490129.0,ns,1960
cost_not,,1,1,bytes,81464967.0,ns,2009
cost_not,,1,1,bytes,83546956.0,ns,2058
cost_not,,1,1,bytes,85498875.0,ns,2107
cost_not,,1,1,bytes,87384719.0,ns,2156
cost_not,,1,1,bytes,89465864.0,ns,2205
cost_not,,1,1,bytes,91412343.0,ns,2254
cost_not,,1,1,bytes,93376955.0,ns,2303
cost_not,,1,1,bytes,95388008.0,ns,2352
cost_not,,1,1,bytes,97317556.0,ns,2401
cost_not,,1,1,bytes,99309502.0,ns,2450
cost_not,,1,1,bytes,101261453.0,ns,2499
cost_not,,1,1,bytes,103291799.0,ns,2548
cost_not,,1,1,bytes,105666446.0,ns,2597
cost_not,,1,1,bytes,107310712.0,ns,2646
cost_not,,1,1,bytes,109692616.0,ns,2695
cost_not,,1,1,bytes,111388347.0,ns,2744
cost_not,,1,1,bytes,113291055.0,ns,2793
cost_not,,1,1,bytes,115176826.0,ns,2842
cost_not,,1,1,bytes,117418512.0,ns,2891
cost_not,,1,1,bytes,119173119.0,ns,2940
cost_not,,1,1,bytes,121183953.0,ns,2989
cost_not,,1,1,bytes,123199745.0,ns,3038
cost_not,,1,1,bytes,125220447.0,ns,3087
cost_not,,1,1,bytes,127700935.0,ns,3136
cost_not,,1,1,bytes,129126542.0,ns,3185
cost_not,,1,1,bytes,131104019.0,ns,3234
cost_not,,1,1,bytes,133095888.0,ns,3283
cost_not,,1,1,bytes,135086170.0,ns,3332
cost_not,,1,1,bytes,137277848.0,ns,3381
cost_not,,1,1,bytes,139132626.0,ns,3430
cost_not,,1,1,bytes,141295566.0,ns,3479
cost_not,,1,1,bytes,143066159.0,ns,3528
cost_not,,1,1,bytes,145025234.0,ns,3577
cost_not,,1,1,bytes,146963575.0,ns,3626
cost_not,,1,1,bytes,149045881.0,ns,3675
cost_not,,1,1,bytes,151287354.0,ns,3724
cost_not,,1,1,bytes,152985964.0,ns,3773
cost_not,,1,1,bytes,154956452.0,ns,3822
cost_not,,1,1,bytes,157271399.0,ns,3871
cost_not,,1,1,bytes,159224289.0,ns,3920
cost_not,,1,1,bytes,160874066.0,ns,3969
cost_not,,1,1,bytes,162858222.0,ns,4018
cost_not,,1,1,bytes,165654744.0,ns,4067
cost_not,,1,1,bytes,167079530.0,ns,4116
cost_not,,1,1,bytes,168815042.0,ns,4165
cost_not,,1,1,bytes,170882927.0,ns,4214
cost_not,,1,1,bytes,172811444.0,ns,4263
cost_not,,1,1,bytes,174815191.0,ns,4312
cost_not,,1,1,bytes,177078010.0,ns,4361
cost_not,,1,1,bytes,178948477.0,ns,4410
cost_not,,1,1,bytes,180901285.0,ns,4459
cost_not,,1,1,bytes,182779222.0,ns,4508
cost_not,,1,1,bytes,184741508.0,ns,4557
cost_not,,1,1,bytes,186973724.0,ns,4606
cost_not,,1,1,bytes,189196628.0,ns,4655
cost_not,,1,1,bytes,190879434.0,ns,4704
cost_not,,1,1,bytes,192757809.0,ns,4753
cost_not,,1,1,bytes,194777641.0,ns,4802
cost_not,,1,1,bytes,196754917.0,ns,4851
cost_not,,1,1,bytes,198979017.0,ns,4900
