group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_not,,1,1,bytes,1808502.0,ns,31
cost_not,,1,1,bytes,3509599.0,ns,62
cost_not,,1,1,bytes,5229877.0,ns,93
cost_not,,1,1,bytes,6957702.0,ns,124
cost_not,,1,1,bytes,8694946.0,ns,155
cost_not,,1,1,bytes,10425725.0,ns,186
cost_not,,1,1,bytes,12173181.0,ns,217
cost_not,,1,1,bytes,13915718.0,ns,248
cost_not,,1,1,bytes,15907616.0,ns,279
cost_not,,1,1,bytes,17497610.0,ns,310
cost_not,,1,1,bytes,19302437.0,ns,341
cost_not,,1,1,bytes,20953753.0,ns,372
cost_not,,1,1,bytes,22721536.0,ns,403
cost_not,,1,1,bytes,24539232.0,ns,434
cost_not,,1,1,bytes,26337692.0,ns,465
cost_not,,1,1,bytes,28028813.0,ns,496
cost_not,,1,1,bytes,29888727.0,ns,527
cost_not,,1,1,bytes,31607334.0,ns,558
cost_not,,1,1,bytes,33637838.0,ns,589
cost_not,,1,1,bytes,35293135.0,ns,620
cost_not,,1,1,bytes,36949044.0,ns,651
cost_not,,1,1,bytes,38454075.0,ns,682
cost_not,,1,1,bytes,40041982.0,ns,713
cost_not,,1,1,bytes,42160960.0,ns,744
cost_not,,1,1,bytes,43575240.0,ns,775
cost_not,,1,1,bytes,45288455.0,ns,806
cost_not,,1,1,bytes,47270086.0,ns,837
cost_not,,1,1,bytes,49279685.0,ns,868
cost_not,,1,1,bytes,50815792.0,ns,899
cost_not,,1,1,bytes,52754974.0,ns,930
cost_not,,1,1,bytes,54995137.0,ns,961
cost_not,,1,1,bytes,55997950.0,ns,992
cost_not,,1,1,bytes,57603526.0,ns,1023
cost_not,,1,1,bytes,59420693.0,ns,1054
cost_not,,1,1,bytes,61430925.0,ns,1085
cost_not,,1,1,bytes,63116091.0,ns,1116
cost_not,,1,1,bytes,64412389.0,ns,1147
cost_not,,1,1,bytes,66288054.0,ns,1178
cost_not,,1,1,bytes,68702629.0,ns,1209
cost_not,,1,1,bytes,71560281.0,ns,1240
cost_not,,1,1,bytes,71600079.0,ns,1271
cost_not,,1,1,bytes,73752879.0,ns,1302
cost_not,,1,1,bytes,75860288.0,ns,1333
cost_not,,1,1,bytes,76886075.0,ns,1364
cost_not,,1,1,bytes,78879503.0,ns,1395
cost_not,,1,1,bytes,80336172.0,ns,1426
cost_not,,1,1,bytes,82445935.0,ns,1457
cost_not,,1,1,bytes,84066766.0,ns,1488
cost_not,,1,1,bytes,85196532.0,ns,1519
cost_not,,1,1,bytes,87244270.0,ns,1550
cost_not,,1,1,bytes,89740869.0,ns,1581
cost_not,,1,1,bytes,91399639.0,ns,1612
cost_not,,1,1,bytes,92553006.0,ns,1643
cost_not,,1,1,bytes,94846093.0,ns,1674
cost_not,,1,1,bytes,95889687.0,ns,1705
cost_not,,1,1,bytes,98321189.0,ns,1736
cost_not,,1,1,bytes,99701292.0,ns,1767
cost_not,,1,1,bytes,101333259.0,ns,1798
cost_not,,1,1,bytes,103598582.0,ns,1829
cost_not,,1,1,bytes,104766080.0,ns,1860
cost_not,,1,1,bytes,106343893.0,ns,1891
cost_not,,1,1,bytes,109026293.0,ns,1922
cost_not,,1,1,bytes,109972003.0,ns,1953
cost_not,,1,1,bytes,112188737.0,ns,1984
cost_not,,1,1,bytes,113426125.0,ns,2015
cost_not,,1,1,bytes,115346341.0,ns,2046
cost_not,,1,1,bytes,117109103.0,ns,2077
cost_not,,1,1,bytes,119611284.0,ns,2108
cost_not,,1,1,bytes,120550026.0,ns,2139
cost_not,,1,1,bytes,122732600.0,ns,2170
cost_not,,1,1,bytes,125007333.0,ns,2201
cost_not,,1,1,bytes,125449001.0,ns,2232
cost_not,,1,1,bytes,127338188.0,ns,2263
cost_not,,1,1,bytes,130886019.0,ns,2294
cost_not,,1,1,bytes,131672387.0,ns,2325
cost_not,,1,1,bytes,132411531.0,ns,2356
cost_not,,1,1,bytes,135654402.0,ns,2387
cost_not,,1,1,bytes,136998931.0,ns,2418
cost_not,,1,1,bytes,138407528.0,ns,2449
cost_not,,1,1,bytes,139248841.0,ns,2480
cost_not,,1,1,bytes,141461892.0,ns,2511
cost_not,,1,1,bytes,142953029.0,ns,2542
cost_not,,1,1,bytes,145238328.0,ns,2573
cost_not,,1,1,bytes,146493592.0,ns,2604
cost_not,,1,1,bytes,149805005.0,ns,2635
cost_not,,1,1,bytes,151508187.0,ns,2666
cost_not,,1,1,bytes,153584643.0,ns,2697
cost_not,,1,1,bytes,153528987.0,ns,2728
cost_not,,1,1,bytes,155786490.0,ns,2759
cost_not,,1,1,bytes,157893428.0,ns,2790
cost_not,,1,1,bytes,159798079.0,ns,2821
cost_not,,1,1,bytes,161090219.0,ns,2852
cost_not,,1,1,bytes,162455230.0,ns,2883
cost_not,,1,1,bytes,163736006.0,ns,2914
cost_not,,1,1,bytes,165713908.0,ns,2945
cost_not,,1,1,bytes,167493662.0,ns,2976
cost_not,,1,1,bytes,170270303.0,ns,3007
cost_not,,1,1,bytes,171670966.0,ns,3038
cost_not,,1,1,bytes,172377514.0,ns,3069
cost_not,,1,1,bytes,174389957.0,ns,3100
