group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_ok_cons,,22,22,bytes,2147506.0,ns,40
cost_ok_cons,,22,22,bytes,3990001.0,ns,80
cost_ok_cons,,22,22,bytes,5984012.0,ns,120
cost_ok_cons,,22,22,bytes,7975411.0,ns,160
cost_ok_cons,,22,22,bytes,9987751.0,ns,200
cost_ok_cons,,22,22,bytes,12010029.0,ns,240
cost_ok_cons,,22,22,bytes,13961711.0,ns,280
cost_ok_cons,,22,22,bytes,15981785.0,ns,320
cost_ok_cons,,22,22,bytes,17971769.0,ns,360
cost_ok_cons,,22,22,bytes,19950197.0,ns,400
cost_ok_cons,,22,22,bytes,21956052.0,ns,440
cost_ok_cons,,22,22,bytes,24020340.0,ns,480
cost_ok_cons,,22,22,bytes,25996923.0,ns,520
cost_ok_cons,,22,22,bytes,27943743.0,ns,560
cost_ok_cons,,22,22,bytes,29970459.0,ns,600
cost_ok_cons,,22,22,bytes,32271772.0,ns,640
cost_ok_cons,,22,22,bytes,33954308.0,ns,680
cost_ok_cons,,22,22,bytes,35967778.0,ns,720
cost_ok_cons,,22,22,bytes,37955799.0,ns,760
cost_ok_cons,,22,22,bytes,40334159.0,ns,800
cost_ok_cons,,22,22,bytes,42036713.0,ns,840
cost_ok_cons,,22,22,bytes,43925723.0,ns,880
cost_ok_cons,,22,22,bytes,45958153.0,ns,920
cost_ok_cons,,22,22,bytes,47944671.0,ns,960
cost_ok_cons,,22,22,bytes,49966858.0,ns,1000
cost_ok_cons,,22,22,bytes,52253090.0,ns,1040
cost_ok_cons,,22,22,bytes,54124197.0,ns,1080
cost_ok_cons,,22,22,bytes,55998180.0,ns,1120
cost_ok_cons,,22,22,bytes,57987475.0,ns,1160
cost_ok_cons,,22,22,bytes,59908578.0,ns,1200
cost_ok_cons,,22,22,bytes,62003458.0,ns,1240
cost_ok_cons,,22,22,bytes,63976404.0,ns,1280
cost_ok_cons,,22,22,bytes,65915581.0,ns,1320
cost_ok_cons,,22,22,bytes,67974145.0,ns,1360
cost_ok_cons,,22,22,bytes,69907763.0,ns,1400
cost_ok_cons,,22,22,bytes,71911639.0,ns,1440
cost_ok_cons,,22,22,bytes,74494915.0,ns,1480
cost_ok_cons,,22,22,bytes,75839594.0,ns,1520
cost_ok_cons,,22,22,bytes,77954335.0,ns,1560
cost_ok_cons,,22,22,bytes,79887388.0,ns,1600
cost_ok_cons,,22,22,bytes,81932934.0,ns,1640
cost_ok_cons,,22,22,bytes,84122187.0,ns,1680
cost_ok_cons,,22,22,bytes,85794682.0,ns,1720
cost_ok_cons,,22,22,bytes,87950904.0,ns,1760
cost_ok_cons,,22,22,bytes,89879258.0,ns,1800
cost_ok_cons,,22,22,bytes,91847126.0,ns,1840
cost_ok_cons,,22,22,bytes,93985360.0,ns,1880
cost_ok_cons,,22,22,bytes,95829963.0,ns,1920
cost_ok_cons,,22,22,bytes,98046550.0,ns,1960
cost_ok_cons,,22,22,bytes,99881048.0,ns,2000
cost_ok_cons,,22,22,bytes,101992982.0,ns,2040
cost_ok_cons,,22,22,bytes,103862852.0,ns,2080
cost_ok_cons,,22,22,bytes,105935846.0,ns,2120
cost_ok_cons,,22,22,bytes,107961226.0,ns,2160
cost_ok_cons,,22,22,bytes,110339207.0,ns,2200
cost_ok_cons,,22,22,bytes,111867359.0,ns,2240
cost_ok_cons,,22,22,bytes,113818246.0,ns,2280
cost_ok_cons,,22,22,bytes,115879537.0,ns,2320
cost_ok_cons,,22,22,bytes,117856756.0,ns,2360
cost_ok_cons,,22,22,bytes,120421913.0,ns,2400
cost_ok_cons,,22,22,bytes,121934181.0,ns,2440
cost_ok_cons,,22,22,bytes,124145949.0,ns,2480
cost_ok_cons,,22,22,bytes,125967347.0,ns,2520
cost_ok_cons,,22,22,bytes,127822842.0,ns,2560
cost_ok_cons,,22,22,bytes,129878518.0,ns,2600
cost_ok_cons,,22,22,bytes,131800677.0,ns,2640
cost_ok_cons,,22,22,bytes,133827068.0,ns,2680
cost_ok_cons,,22,22,bytes,136006093.0,ns,2720
cost_ok_cons,,22,22,bytes,138119461.0,ns,2760
cost_ok_cons,,22,22,bytes,140350851.0,ns,2800
cost_ok_cons,,22,22,bytes,141858165.0,ns,2840
cost_ok_cons,,22,22,bytes,143734707.0,ns,2880
cost_ok_cons,,22,22,bytes,145698085.0,ns,2920
cost_ok_cons,,22,22,bytes,147715392.0,ns,2960
cost_ok_cons,,22,22,bytes,149762399.0,ns,3000
cost_ok_cons,,22,22,bytes,152215465.0,ns,3040
cost_ok_cons,,22,22,bytes,153887155.0,ns,3080
cost_ok_cons,,22,22,bytes,155856863.0,ns,3120
cost_ok_cons,,22,22,bytes,158688476.0,ns,3160
cost_ok_cons,,22,22,bytes,159742942.0,ns,3200
cost_ok_cons,,22,22,bytes,161823567.0,ns,3240
cost_ok_cons,,22,22,bytes,163731236.0,ns,3280
cost_ok_cons,,22,22,bytes,165705418.0,ns,3320
cost_ok_cons,,22,22,bytes,167855990.0,ns,3360
cost_ok_cons,,22,22,bytes,169687313.0,ns,3400
cost_ok_cons,,22,22,bytes,171733018.0,ns,3440
cost_ok_cons,,22,22,bytes,173753078.0,ns,3480
cost_ok_cons,,22,22,bytes,175973322.0,ns,3520
cost_ok_cons,,22,22,bytes,177804087.0,ns,3560
cost_ok_cons,,22,22,bytes,179789241.0,ns,3600
cost_ok_cons,,22,22,bytes,181792239.0,ns,3640
cost_ok_cons,,22,22,bytes,183711008.0,ns,3680
cost_ok_cons,,22,22,bytes,185758663.0,ns,3720
cost_ok_cons,,22,22,bytes,187786340.0,ns,3760
cost_ok_cons,,22,22,bytes,189995717.0,ns,3800
cost_ok_cons,,22,22,bytes,191948138.0,ns,3840
cost_ok_cons,,22,22,bytes,193802503.0,ns,3880
cost_ok_cons,,22,22,bytes,196055208.0,ns,3920
cost_ok_cons,,22,22,bytes,198140171.0,ns,3960
cost_ok_cons,,22,22,bytes,200034898.0,ns,4000
