group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_ok_cons,,22,22,bytes,2038093.0,ns,25
cost_ok_cons,,22,22,bytes,3973033.0,ns,50
cost_ok_cons,,22,22,bytes,5966928.0,ns,75
cost_ok_cons,,22,22,bytes,7947517.0,ns,100
cost_ok_cons,,22,22,bytes,9967338.0,ns,125
cost_ok_cons,,22,22,bytes,11922871.0,ns,150
cost_ok_cons,,22,22,bytes,13921632.0,ns,175
cost_ok_cons,,22,22,bytes,15899449.0,ns,200
cost_ok_cons,,22,22,bytes,17908707.0,ns,225
cost_ok_cons,,22,22,bytes,19926141.0,ns,250
cost_ok_cons,,22,22,bytes,21880727.0,ns,275
cost_ok_cons,,22,22,bytes,23884853.0,ns,300
cost_ok_cons,,22,22,bytes,26585020.0,ns,325
cost_ok_cons,,22,22,bytes,28205799.0,ns,350
cost_ok_cons,,22,22,bytes,30080640.0,ns,375
cost_ok_cons,,22,22,bytes,32151100.0,ns,400
cost_ok_cons,,22,22,bytes,34281081.0,ns,425
cost_ok_cons,,22,22,bytes,35915531.0,ns,450
cost_ok_cons,,22,22,bytes,37738551.0,ns,475
cost_ok_cons,,22,22,bytes,39700478.0,ns,500
cost_ok_cons,,22,22,bytes,41593776.0,ns,525
cost_ok_cons,,22,22,bytes,43706827.0,ns,550
cost_ok_cons,,22,22,bytes,45680555.0,ns,575
cost_ok_cons,,22,22,bytes,47628238.0,ns,600
cost_ok_cons,,22,22,bytes,49661283.0,ns,625
cost_ok_cons,,22,22,bytes,51703650.0,ns,650
cost_ok_cons,,22,22,bytes,53637512.0,ns,675
cost_ok_cons,,22,22,bytes,55738001.0,ns,700
cost_ok_cons,,22,22,bytes,57641498.0,ns,725
cost_ok_cons,,22,22,bytes,61066741.0,ns,750
cost_ok_cons,,22,22,bytes,61632457.0,ns,775
cost_ok_cons,,22,22,bytes,63600510.0,ns,800
cost_ok_cons,,22,22,bytes,65615979.0,ns,825
cost_ok_cons,,22,22,bytes,67683572.0,ns,850
cost_ok_cons,,22,22,bytes,69450136.0,ns,875
cost_ok_cons,,22,22,bytes,71821835.0,ns,900
cost_ok_cons,,22,22,bytes,73577080.0,ns,925
cost_ok_cons,,22,22,bytes,75628689.0,ns,950
cost_ok_cons,,22,22,bytes,77598121.0,ns,975
cost_ok_cons,,22,22,bytes,79607945.0,ns,1000
cost_ok_cons,,22,22,bytes,81693015.0,ns,1025
cost_ok_cons,,22,22,bytes,83456186.0,ns,1050
cost_ok_cons,,22,22,bytes,85535546.0,ns,1075
cost_ok_cons,,22,22,bytes,87500793.0,ns,1100
cost_ok_cons,,22,22,bytes,89505690.0,ns,1125
cost_ok_cons,,22,22,bytes,91480807.0,ns,1150
cost_ok_cons,,22,22,bytes,93480475.0,ns,1175
cost_ok_cons,,22,22,bytes,96113146.0,ns,1200
cost_ok_cons,,22,22,bytes,97328704.0,ns,1225
cost_ok_cons,,22,22,bytes,99329782.0,ns,1250
cost_ok_cons,,22,22,bytes,101078730.0,ns,1275
cost_ok_cons,,22,22,bytes,103255499.0,ns,1300
cost_ok_cons,,22,22,bytes,105345315.0,ns,1325
cost_ok_cons,,22,22,bytes,107374468.0,ns,1350
cost_ok_cons,,22,22,bytes,109242899.0,ns,1375
cost_ok_cons,,22,22,bytes,111153868.0,ns,1400
cost_ok_cons,,22,22,bytes,113391449.0,ns,1425
cost_ok_cons,,22,22,bytes,115775494.0,ns,1450
cost_ok_cons,,22,22,bytes,117156444.0,ns,1475
cost_ok_cons,,22,22,bytes,119385619.0,ns,1500
cost_ok_cons,,22,22,bytes,126446064.0,ns,1525
cost_ok_cons,,22,22,bytes,123465615.0,ns,1550
cost_ok_cons,,22,22,bytes,125320130.0,ns,1575
cost_ok_cons,,22,22,bytes,127553629.0,ns,1600
cost_ok_cons,,22,22,bytes,129229499.0,ns,1625
cost_ok_cons,,22,22,bytes,131896074.0,ns,1650
cost_ok_cons,,22,22,bytes,133620442.0,ns,1675
cost_ok_cons,,22,22,bytes,135863550.0,ns,1700
cost_ok_cons,,22,22,bytes,137228156.0,ns,1725
cost_ok_cons,,22,22,bytes,139696087.0,ns,1750
cost_ok_cons,,22,22,bytes,141193423.0,ns,1775
cost_ok_cons,,22,22,bytes,143311365.0,ns,1800
cost_ok_cons,,22,22,bytes,146202799.0,ns,1825
cost_ok_cons,,22,22,bytes,147876474.0,ns,1850
cost_ok_cons,,22,22,bytes,149923843.0,ns,1875
cost_ok_cons,,22,22,bytes,151559366.0,ns,1900
cost_ok_cons,,22,22,bytes,153263594.0,ns,1925
cost_ok_cons,,22,22,bytes,154911783.0,ns,1950
cost_ok_cons,,22,22,bytes,157473783.0,ns,1975
cost_ok_cons,,22,22,bytes,159399806.0,ns,2000
cost_ok_cons,,22,22,bytes,161214390.0,ns,2025
cost_ok_cons,,22,22,bytes,163143607.0,ns,2050
cost_ok_cons,,22,22,bytes,165079663.0,ns,2075
cost_ok_cons,,22,22,bytes,167102571.0,ns,2100
cost_ok_cons,,22,22,bytes,169533172.0,ns,2125
cost_ok_cons,,22,22,bytes,172391685.0,ns,2150
cost_ok_cons,,22,22,bytes,172956240.0,ns,2175
cost_ok_cons,,22,22,bytes,174897110.0,ns,2200
cost_ok_cons,,22,22,bytes,176889841.0,ns,2225
cost_ok_cons,,22,22,bytes,178853102.0,ns,2250
cost_ok_cons,,22,22,bytes,181228335.0,ns,2275
cost_ok_cons,,22,22,bytes,182637429.0,ns,2300
cost_ok_cons,,22,22,bytes,184690309.0,ns,2325
cost_ok_cons,,22,22,bytes,186870752.0,ns,2350
cost_ok_cons,,22,22,bytes,189486261.0,ns,2375
cost_ok_cons,,22,22,bytes,191262310.0,ns,2400
cost_ok_cons,,22,22,bytes,193812799.0,ns,2425
cost_ok_cons,,22,22,bytes,194928042.0,ns,2450
cost_ok_cons,,22,22,bytes,197166265.0,ns,2475
cost_ok_cons,,22,22,bytes,198860852.0,ns,2500
