group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_or,,128,128,bytes,2135191.0,ns,5
cost_or,,128,128,bytes,4049982.0,ns,10
cost_or,,128,128,bytes,6086125.0,ns,15
cost_or,,128,128,bytes,8073836.0,ns,20
cost_or,,128,128,bytes,10183157.0,ns,25
cost_or,,128,128,bytes,12134683.0,ns,30
cost_or,,128,128,bytes,14179594.0,ns,35
cost_or,,128,128,bytes,16234486.0,ns,40
cost_or,,128,128,bytes,18365371.0,ns,45
cost_or,,128,128,bytes,20211802.0,ns,50
cost_or,,128,128,bytes,22241411.0,ns,55
cost_or,,128,128,bytes,24310812.0,ns,60
cost_or,,128,128,bytes,26322445.0,ns,65
cost_or,,128,128,bytes,28370205.0,ns,70
cost_or,,128,128,bytes,30332438.0,ns,75
cost_or,,128,128,bytes,32444873.0,ns,80
cost_or,,128,128,bytes,34482709.0,ns,85
cost_or,,128,128,bytes,36468559.0,ns,90
cost_or,,128,128,bytes,38476862.0,ns,95
cost_or,,128,128,bytes,40471423.0,ns,100
cost_or,,128,128,bytes,42601832.0,ns,105
cost_or,,128,128,bytes,44553465.0,ns,110
cost_or,,128,128,bytes,46537769.0,ns,115
cost_or,,128,128,bytes,49108768.0,ns,120
cost_or,,128,128,bytes,50678228.0,ns,125
cost_or,,128,128,bytes,53305451.0,ns,130
cost_or,,128,128,bytes,54691964.0,ns,135
cost_or,,128,128,bytes,56661006.0,ns,140
cost_or,,128,128,bytes,58767472.0,ns,145
cost_or,,128,128,bytes,60648167.0,ns,150
cost_or,,128,128,bytes,62672386.0,ns,155
cost_or,,128,128,bytes,64669738.0,ns,160
cost_or,,128,128,bytes,66635224.0,ns,165
cost_or,,128,128,bytes,68794042.0,ns,170
cost_or,,128,128,bytes,70724406.0,ns,175
cost_or,,128,128,bytes,73279236.0,ns,180
cost_or,,128,128,bytes,75293123.0,ns,185
cost_or,,128,128,bytes,77152703.0,ns,190
cost_or,,128,128,bytes,79211061.0,ns,195
cost_or,,128,128,bytes,81347979.0,ns,200
cost_or,,128,128,bytes,83268724.0,ns,205
cost_or,,128,128,bytes,85389636.0,ns,210
cost_or,,128,128,bytes,87401811.0,ns,215
cost_or,,128,128,bytes,89146687.0,ns,220
cost_or,,128,128,bytes,91286082.0,ns,225
cost_or,,128,128,bytes,93141153.0,ns,230
cost_or,,128,128,bytes,95191566.0,ns,235
cost_or,,128,128,bytes,97176313.0,ns,240
cost_or,,128,128,bytes,99136188.0,ns,245
cost_or,,128,128,bytes,101593028.0,ns,250
cost_or,,128,128,bytes,103277371.0,ns,255
cost_or,,128,128,bytes,104727874.0,ns,260
cost_or,,128,128,bytes,106747279.0,ns,265
cost_or,,128,128,bytes,109184270.0,ns,270
cost_or,,128,128,bytes,111311840.0,ns,275
cost_or,,128,128,bytes,113220755.0,ns,280
cost_or,,128,128,bytes,114816808.0,ns,285
cost_or,,128,128,bytes,116948049.0,ns,290
cost_or,,128,128,bytes,118862734.0,ns,295
cost_or,,128,128,bytes,122055845.0,ns,300
cost_or,,128,128,bytes,123221883.0,ns,305
cost_or,,128,128,bytes,125548720.0,ns,310
cost_or,,128,128,bytes,127139133.0,ns,315
cost_or,,128,128,bytes,129288754.0,ns,320
cost_or,,128,128,bytes,131366545.0,ns,325
cost_or,,128,128,bytes,133330520.0,ns,330
cost_or,,128,128,bytes,135800329.0,ns,335
cost_or,,128,128,bytes,138348724.0,ns,340
cost_or,,128,128,bytes,138884704.0,ns,345
cost_or,,128,128,bytes,141626233.0,ns,350
cost_or,,128,128,bytes,143293351.0,ns,355
cost_or,,128,128,bytes,145033448.0,ns,360
cost_or,,128,128,bytes,147275043.0,ns,365
cost_or,,128,128,bytes,149648710.0,ns,370
cost_or,,128,128,bytes,153540827.0,ns,375
cost_or,,128,128,bytes,154160204.0,ns,380
cost_or,,128,128,bytes,155642201.0,ns,385
cost_or,,128,128,bytes,157042922.0,ns,390
cost_or,,128,128,bytes,159123227.0,ns,395
cost_or,,128,128,bytes,161195664.0,ns,400
cost_or,,128,128,bytes,164834283.0,ns,405
cost_or,,128,128,bytes,165753902.0,ns,410
cost_or,,128,128,bytes,167334855.0,ns,415
cost_or,,128,128,bytes,169551529.0,ns,420
cost_or,,128,128,bytes,174206480.0,ns,425
cost_or,,128,128,bytes,175419624.0,ns,430
cost_or,,128,128,bytes,177119273.0,ns,435
cost_or,,128,128,bytes,177393509.0,ns,440
cost_or,,128,128,bytes,179143669.0,ns,445
cost_or,,128,128,bytes,180999154.0,ns,450
cost_or,,128,128,bytes,183036347.0,ns,455
cost_or,,128,128,bytes,185703849.0,ns,460
cost_or,,128,128,bytes,188293205.0,ns,465
cost_or,,128,128,bytes,189591279.0,ns,470
cost_or,,128,128,bytes,191586817.0,ns,475
cost_or,,128,128,bytes,192876189.0,ns,480
cost_or,,128,128,bytes,195423479.0,ns,485
cost_or,,128,128,bytes,197653998.0,ns,490
cost_or,,128,128,bytes,200196069.0,ns,495
cost_or,,128,128,bytes,202041867.0,ns,500
