group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_or,,8,8,bytes,2141445.0,ns,35
cost_or,,8,8,bytes,4163226.0,ns,70
cost_or,,8,8,bytes,6286101.0,ns,105
cost_or,,8,8,bytes,8062012.0,ns,140
cost_or,,8,8,bytes,10179121.0,ns,175
cost_or,,8,8,bytes,12335702.0,ns,210
cost_or,,8,8,bytes,14227240.0,ns,245
cost_or,,8,8,bytes,16431578.0,ns,280
cost_or,,8,8,bytes,18207110.0,ns,315
cost_or,,8,8,bytes,20316815.0,ns,350
cost_or,,8,8,bytes,22628764.0,ns,385
cost_or,,8,8,bytes,24487171.0,ns,420
cost_or,,8,8,bytes,26262511.0,ns,455
cost_or,,8,8,bytes,28433342.0,ns,490
cost_or,,8,8,bytes,30449910.0,ns,525
cost_or,,8,8,bytes,32380692.0,ns,560
cost_or,,8,8,bytes,34399758.0,ns,595
cost_or,,8,8,bytes,36244040.0,ns,630
cost_or,,8,8,bytes,38279029.0,ns,665
cost_or,,8,8,bytes,40307134.0,ns,700
cost_or,,8,8,bytes,42497309.0,ns,735
cost_or,,8,8,bytes,44326614.0,ns,770
cost_or,,8,8,bytes,46504672.0,ns,805
cost_or,,8,8,bytes,48323044.0,ns,840
cost_or,,8,8,bytes,50538834.0,ns,875
cost_or,,8,8,bytes,52482662.0,ns,910
cost_or,,8,8,bytes,54374631.0,ns,945
cost_or,,8,8,bytes,56385779.0,ns,980
cost_or,,8,8,bytes,58402785.0,ns,1015
cost_or,,8,8,bytes,60453295.0,ns,1050
cost_or,,8,8,bytes,62442406.0,ns,1085
cost_or,,8,8,bytes,64446670.0,ns,1120
cost_or,,8,8,bytes,66464421.0,ns,1155
cost_or,,8,8,bytes,68452372.0,ns,1190
cost_or,,8,8,bytes,70478526.0,ns,1225
cost_or,,8,8,bytes,72497313.0,ns,1260
cost_or,,8,8,bytes,74515903.0,ns,1295
cost_or,,8,8,bytes,76603771.0,ns,1330
cost_or,,8,8,bytes,78571286.0,ns,1365
cost_or,,8,8,bytes,80546421.0,ns,1400
cost_or,,8,8,bytes,82721080.0,ns,1435
cost_or,,8,8,bytes,84602463.0,ns,1470
cost_or,,8,8,bytes,86583578.0,ns,1505
cost_or,,8,8,bytes,88651958.0,ns,1540
cost_or,,8,8,bytes,90610306.0,ns,1575
cost_or,,8,8,bytes,92634822.0,ns,1610
cost_or,,8,8,bytes,94654356.0,ns,1645
cost_or,,8,8,bytes,96651389.0,ns,1680
cost_or,,8,8,bytes,98699811.0,ns,1715
cost_or,,8,8,bytes,101186155.0,ns,1750
cost_or,,8,8,bytes,102918207.0,ns,1785
cost_or,,8,8,bytes,104844556.0,ns,1820
cost_or,,8,8,bytes,106769991.0,ns,1855
cost_or,,8,8,bytes,108778756.0,ns,1890
cost_or,,8,8,bytes,110769482.0,ns,1925
cost_or,,8,8,bytes,112763168.0,ns,1960
cost_or,,8,8,bytes,114776989.0,ns,1995
cost_or,,8,8,bytes,116917988.0,ns,2030
cost_or,,8,8,bytes,118888080.0,ns,2065
cost_or,,8,8,bytes,121104914.0,ns,2100
cost_or,,8,8,bytes,123205461.0,ns,2135
cost_or,,8,8,bytes,124846050.0,ns,2170
cost_or,,8,8,bytes,126932928.0,ns,2205
cost_or,,8,8,bytes,128865632.0,ns,2240
cost_or,,8,8,bytes,130881178.0,ns,2275
cost_or,,8,8,bytes,132910477.0,ns,2310
cost_or,,8,8,bytes,135153303.0,ns,2345
cost_or,,8,8,bytes,137086658.0,ns,2380
cost_or,,8,8,bytes,139119969.0,ns,2415
cost_or,,8,8,bytes,141102039.0,ns,2450
cost_or,,8,8,bytes,143561197.0,ns,2485
cost_or,,8,8,bytes,146128895.0,ns,2520
cost_or,,8,8,bytes,147017750.0,ns,2555
cost_or,,8,8,bytes,149061398.0,ns,2590
cost_or,,8,8,bytes,151018629.0,ns,2625
cost_or,,8,8,bytes,153323253.0,ns,2660
cost_or,,8,8,bytes,155094567.0,ns,2695
cost_or,,8,8,bytes,157056977.0,ns,2730
cost_or,,8,8,bytes,159165911.0,ns,2765
cost_or,,8,8,bytes,161360111.0,ns,2800
cost_or,,8,8,bytes,163295580.0,ns,2835
cost_or,,8,8,bytes,165118570.0,ns,2870
cost_or,,8,8,bytes,167124839.0,ns,2905
cost_or,,8,8,bytes,169173788.0,ns,2940
cost_or,,8,8,bytes,171178979.0,ns,2975
cost_or,,8,8,bytes,173205151.0,ns,3010
cost_or,,8,8,bytes,175894647.0,ns,3045
cost_or,,8,8,bytes,177229320.0,ns,3080
cost_or,,8,8,bytes,179277274.0,ns,3115
cost_or,,8,8,bytes,181242611.0,ns,3150
cost_or,,8,8,bytes,183366637.0,ns,3185
cost_or,,8,8,bytes,186001308.0,ns,3220
cost_or,,8,8,bytes,187666862.0,ns,3255
cost_or,,8,8,bytes,189283123.0,ns,3290
cost_or,,8,8,bytes,191354998.0,ns,3325
cost_or,,8,8,bytes,193343033.0,ns,3360
cost_or,,8,8,bytes,195785155.0,ns,3395
cost_or,,8,8,bytes,197687480.0,ns,3430
cost_or,,8,8,bytes,199410896.0,ns,3465
cost_or,,8,8,bytes,201480163.0,ns,3500
