group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_pow,,2,2,bytes,2108611.0,ns,43
cost_pow,,2,2,bytes,3966738.0,ns,86
cost_pow,,2,2,bytes,5950671.0,ns,129
cost_pow,,2,2,bytes,7939610.0,ns,172
cost_pow,,2,2,bytes,9911004.0,ns,215
cost_pow,,2,2,bytes,11915566.0,ns,258
cost_pow,,2,2,bytes,13884188.0,ns,301
cost_pow,,2,2,bytes,16200757.0,ns,344
cost_pow,,2,2,bytes,17932878.0,ns,387
cost_pow,,2,2,bytes,20078778.0,ns,430
cost_pow,,2,2,bytes,21939239.0,ns,473
cost_pow,,2,2,bytes,24190057.0,ns,516
cost_pow,,2,2,bytes,25980020.0,ns,559
cost_pow,,2,2,bytes,27784681.0,ns,602
cost_pow,,2,2,bytes,30220928.0,ns,645
cost_pow,,2,2,bytes,31849560.0,ns,688
cost_pow,,2,2,bytes,33850754.0,ns,731
cost_pow,,2,2,bytes,36006252.0,ns,774
cost_pow,,2,2,bytes,37757290.0,ns,817
cost_pow,,2,2,bytes,39812813.0,ns,860
cost_pow,,2,2,bytes,41801441.0,ns,903
cost_pow,,2,2,bytes,43721914.0,ns,946
cost_pow,,2,2,bytes,45633756.0,ns,989
cost_pow,,2,2,bytes,47772806.0,ns,1032
cost_pow,,2,2,bytes,49601355.0,ns,1075
cost_pow,,2,2,bytes,51655372.0,ns,1118
cost_pow,,2,2,bytes,53624755.0,ns,1161
cost_pow,,2,2,bytes,55571355.0,ns,1204
cost_pow,,2,2,bytes,57574608.0,ns,1247
cost_pow,,2,2,bytes,59677875.0,ns,1290
cost_pow,,2,2,bytes,61547316.0,ns,1333
cost_pow,,2,2,bytes,63506728.0,ns,1376
cost_pow,,2,2,bytes,66062974.0,ns,1419
cost_pow,,2,2,bytes,67459748.0,ns,1462
cost_pow,,2,2,bytes,70441950.0,ns,1505
cost_pow,,2,2,bytes,72742195.0,ns,1548
cost_pow,,2,2,bytes,73561453.0,ns,1591
cost_pow,,2,2,bytes,75490198.0,ns,1634
cost_pow,,2,2,bytes,77521799.0,ns,1677
cost_pow,,2,2,bytes,79496464.0,ns,1720
cost_pow,,2,2,bytes,81476959.0,ns,1763
cost_pow,,2,2,bytes,83359257.0,ns,1806
cost_pow,,2,2,bytes,85346768.0,ns,1849
cost_pow,,2,2,bytes,87432187.0,ns,1892
cost_pow,,2,2,bytes,89343827.0,ns,1935
cost_pow,,2,2,bytes,91387254.0,ns,1978
cost_pow,,2,2,bytes,93272463.0,ns,2021
cost_pow,,2,2,bytes,95778150.0,ns,2064
cost_pow,,2,2,bytes,97680286.0,ns,2107
cost_pow,,2,2,bytes,99423489.0,ns,2150
cost_pow,,2,2,bytes,101469977.0,ns,2193
cost_pow,,2,2,bytes,103256733.0,ns,2236
cost_pow,,2,2,bytes,105201554.0,ns,2279
cost_pow,,2,2,bytes,107293494.0,ns,2322
cost_pow,,2,2,bytes,109159792.0,ns,2365
cost_pow,,2,2,bytes,111500840.0,ns,2408
cost_pow,,2,2,bytes,114153286.0,ns,2451
cost_pow,,2,2,bytes,116181777.0,ns,2494
cost_pow,,2,2,bytes,117350388.0,ns,2537
cost_pow,,2,2,bytes,119342188.0,ns,2580
cost_pow,,2,2,bytes,121123489.0,ns,2623
cost_pow,,2,2,bytes,123010987.0,ns,2666
cost_pow,,2,2,bytes,125259277.0,ns,2709
cost_pow,,2,2,bytes,127820183.0,ns,2752
cost_pow,,2,2,bytes,129443054.0,ns,2795
cost_pow,,2,2,bytes,131582061.0,ns,2838
cost_pow,,2,2,bytes,133791537.0,ns,2881
cost_pow,,2,2,bytes,135341840.0,ns,2924
cost_pow,,2,2,bytes,136940179.0,ns,2967
cost_pow,,2,2,bytes,138951796.0,ns,3010
cost_pow,,2,2,bytes,140851863.0,ns,3053
cost_pow,,2,2,bytes,142913822.0,ns,3096
cost_pow,,2,2,bytes,145626281.0,ns,3139
cost_pow,,2,2,bytes,147461670.0,ns,3182
cost_pow,,2,2,bytes,149783550.0,ns,3225
cost_pow,,2,2,bytes,150913156.0,ns,3268
cost_pow,,2,2,bytes,153070195.0,ns,3311
cost_pow,,2,2,bytes,154863899.0,ns,3354
cost_pow,,2,2,bytes,156986020.0,ns,3397
cost_pow,,2,2,bytes,159458297.0,ns,3440
cost_pow,,2,2,bytes,161348405.0,ns,3483
cost_pow,,2,2,bytes,163328874.0,ns,3526
cost_pow,,2,2,bytes,164877278.0,ns,3569
cost_pow,,2,2,bytes,166849744.0,ns,3612
cost_pow,,2,2,bytes,168783035.0,ns,3655
cost_pow,,2,2,bytes,171136438.0,ns,3698
cost_pow,,2,2,bytes,172932110.0,ns,3741
cost_pow,,2,2,bytes,175209622.0,ns,3784
cost_pow,,2,2,bytes,177017753.0,ns,3827
cost_pow,,2,2,bytes,178880563.0,ns,3870
cost_pow,,2,2,bytes,181357217.0,ns,3913
cost_pow,,2,2,bytes,182918281.0,ns,3956
cost_pow,,2,2,bytes,184775050.0,ns,3999
cost_pow,,2,2,bytes,187084823.0,ns,4042
cost_pow,,2,2,bytes,188996463.0,ns,4085
cost_pow,,2,2,bytes,190935244.0,ns,4128
cost_pow,,2,2,bytes,192539204.0,ns,4171
cost_pow,,2,2,bytes,194805382.0,ns,4214
cost_pow,,2,2,bytes,196568677.0,ns,4257
cost_pow,,2,2,bytes,198641059.0,ns,4300
