group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_principal_construct,,1,1,bytes,2108790.0,ns,12
cost_principal_construct,,1,1,bytes,4231207.0,ns,24
cost_principal_construct,,1,1,bytes,6280033.0,ns,36
cost_principal_construct,,1,1,bytes,8576643.0,ns,48
cost_principal_construct,,1,1,bytes,10553871.0,ns,60
cost_principal_construct,,1,1,bytes,12629661.0,ns,72
cost_principal_construct,,1,1,bytes,14754250.0,ns,84
cost_principal_construct,,1,1,bytes,16844556.0,ns,96
cost_principal_construct,,1,1,bytes,18870986.0,ns,108
cost_principal_construct,,1,1,bytes,20958907.0,ns,120
cost_principal_construct,,1,1,bytes,23103823.0,ns,132
cost_principal_construct,,1,1,bytes,25489023.0,ns,144
cost_principal_construct,,1,1,bytes,27543680.0,ns,156
cost_principal_construct,,1,1,bytes,29720854.0,ns,168
cost_principal_construct,,1,1,bytes,31795374.0,ns,180
cost_principal_construct,,1,1,bytes,33942408.0,ns,192
cost_principal_construct,,1,1,bytes,35764829.0,ns,204
cost_principal_construct,,1,1,bytes,37974992.0,ns,216
cost_principal_construct,,1,1,bytes,39888666.0,ns,228
cost_principal_construct,,1,1,bytes,42036858.0,ns,240
cost_principal_construct,,1,1,bytes,44908358.0,ns,252
cost_principal_construct,,1,1,bytes,46330470.0,ns,264
cost_principal_construct,,1,1,bytes,48195062.0,ns,276
cost_principal_construct,,1,1,bytes,50569035.0,ns,288
cost_principal_construct,,1,1,bytes,52674405.0,ns,300
cost_principal_construct,,1,1,bytes,54664852.0,ns,312
cost_principal_construct,,1,1,bytes,56600492.0,ns,324
cost_principal_construct,,1,1,bytes,58700698.0,ns,336
cost_principal_construct,,1,1,bytes,60812086.0,ns,348
cost_principal_construct,,1,1,bytes,63230117.0,ns,360
cost_principal_construct,,1,1,bytes,65404060.0,ns,372
cost_principal_construct,,1,1,bytes,67418586.0,ns,384
cost_principal_construct,,1,1,bytes,69281398.0,ns,396
cost_principal_construct,,1,1,bytes,71338809.0,ns,408
cost_principal_construct,,1,1,bytes,74072368.0,ns,420
cost_principal_construct,,1,1,bytes,75723280.0,ns,432
cost_principal_construct,,1,1,bytes,78403983.0,ns,444
cost_principal_construct,,1,1,bytes,79670735.0,ns,456
cost_principal_construct,,1,1,bytes,83555845.0,ns,468
cost_principal_construct,,1,1,bytes,84483722.0,ns,480
cost_principal_construct,,1,1,bytes,85903173.0,ns,492
cost_principal_construct,,1,1,bytes,87985831.0,ns,504
cost_principal_construct,,1,1,bytes,90062775.0,ns,516
cost_principal_construct,,1,1,bytes,92792935.0,ns,528
cost_principal_construct,,1,1,bytes,95187428.0,ns,540
cost_principal_construct,,1,1,bytes,96793018.0,ns,552
cost_principal_construct,,1,1,bytes,98561870.0,ns,564
cost_principal_construct,,1,1,bytes,100562536.0,ns,576
cost_principal_construct,,1,1,bytes,102641542.0,ns,588
