group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_principal_construct,,1,1,bytes,2124411.0,ns,20
cost_principal_construct,,1,1,bytes,4014029.0,ns,40
cost_principal_construct,,1,1,bytes,5994228.0,ns,60
cost_principal_construct,,1,1,bytes,9750313.0,ns,80
cost_principal_construct,,1,1,bytes,9975445.0,ns,100
cost_principal_construct,,1,1,bytes,12025172.0,ns,120
cost_principal_construct,,1,1,bytes,13998003.0,ns,140
cost_principal_construct,,1,1,bytes,15974663.0,ns,160
cost_principal_construct,,1,1,bytes,18054431.0,ns,180
cost_principal_construct,,1,1,bytes,19950390.0,ns,200
cost_principal_construct,,1,1,bytes,21933703.0,ns,220
cost_principal_construct,,1,1,bytes,23897019.0,ns,240
cost_principal_construct,,1,1,bytes,26048566.0,ns,260
cost_principal_construct,,1,1,bytes,27969622.0,ns,280
cost_principal_construct,,1,1,bytes,29903160.0,ns,300
cost_principal_construct,,1,1,bytes,31966980.0,ns,320
cost_principal_construct,,1,1,bytes,33919737.0,ns,340
cost_principal_construct,,1,1,bytes,35869902.0,ns,360
cost_principal_construct,,1,1,bytes,37951297.0,ns,380
cost_principal_construct,,1,1,bytes,39852427.0,ns,400
cost_principal_construct,,1,1,bytes,41894404.0,ns,420
cost_principal_construct,,1,1,bytes,43896664.0,ns,440
cost_principal_construct,,1,1,bytes,45918766.0,ns,460
cost_principal_construct,,1,1,bytes,47805154.0,ns,480
cost_principal_construct,,1,1,bytes,49807357.0,ns,500
cost_principal_construct,,1,1,bytes,52117855.0,ns,520
cost_principal_construct,,1,1,bytes,53957987.0,ns,540
cost_principal_construct,,1,1,bytes,56295374.0,ns,560
cost_principal_construct,,1,1,bytes,57934398.0,ns,580
cost_principal_construct,,1,1,bytes,59904222.0,ns,600
cost_principal_construct,,1,1,bytes,61858342.0,ns,620
cost_principal_construct,,1,1,bytes,63785404.0,ns,640
cost_principal_construct,,1,1,bytes,65817786.0,ns,660
cost_principal_construct,,1,1,bytes,67730867.0,ns,680
cost_principal_construct,,1,1,bytes,69710123.0,ns,700
cost_principal_construct,,1,1,bytes,71819954.0,ns,720
cost_principal_construct,,1,1,bytes,73721184.0,ns,740
cost_principal_construct,,1,1,bytes,75670686.0,ns,760
cost_principal_construct,,1,1,bytes,77811215.0,ns,780
cost_principal_construct,,1,1,bytes,80215627.0,ns,800
cost_principal_construct,,1,1,bytes,81906959.0,ns,820
cost_principal_construct,,1,1,bytes,83671379.0,ns,840
cost_principal_construct,,1,1,bytes,85787977.0,ns,860
cost_principal_construct,,1,1,bytes,87722425.0,ns,880
cost_principal_construct,,1,1,bytes,89629964.0,ns,900
cost_principal_construct,,1,1,bytes,91780550.0,ns,920
cost_principal_construct,,1,1,bytes,93627270.0,ns,940
