group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_principal_destruct,,1,1,bytes,2054167.0,ns,23
cost_principal_destruct,,1,1,bytes,4114943.0,ns,46
cost_principal_destruct,,1,1,bytes,6174078.0,ns,69
cost_principal_destruct,,1,1,bytes,8212685.0,ns,92
cost_principal_destruct,,1,1,bytes,10266302.0,ns,115
cost_principal_destruct,,1,1,bytes,12323084.0,ns,138
cost_principal_destruct,,1,1,bytes,14400224.0,ns,161
cost_principal_destruct,,1,1,bytes,16434786.0,ns,184
cost_principal_destruct,,1,1,bytes,18499359.0,ns,207
cost_principal_destruct,,1,1,bytes,20604806.0,ns,230
cost_principal_destruct,,1,1,bytes,22609578.0,ns,253
cost_principal_destruct,,1,1,bytes,24665184.0,ns,276
cost_principal_destruct,,1,1,bytes,26905867.0,ns,299
cost_principal_destruct,,1,1,bytes,29292387.0,ns,322
cost_principal_destruct,,1,1,bytes,30834433.0,ns,345
cost_principal_destruct,,1,1,bytes,32885199.0,ns,368
cost_principal_destruct,,1,1,bytes,35351992.0,ns,391
cost_principal_destruct,,1,1,bytes,37038622.0,ns,414
cost_principal_destruct,,1,1,bytes,39048675.0,ns,437
cost_principal_destruct,,1,1,bytes,41341808.0,ns,460
cost_principal_destruct,,1,1,bytes,43235002.0,ns,483
cost_principal_destruct,,1,1,bytes,45370483.0,ns,506
cost_principal_destruct,,1,1,bytes,47320449.0,ns,529
cost_principal_destruct,,1,1,bytes,49461909.0,ns,552
cost_principal_destruct,,1,1,bytes,51409419.0,ns,575
cost_principal_destruct,,1,1,bytes,53482588.0,ns,598
cost_principal_destruct,,1,1,bytes,55509438.0,ns,621
cost_principal_destruct,,1,1,bytes,57562119.0,ns,644
cost_principal_destruct,,1,1,bytes,59605266.0,ns,667
cost_principal_destruct,,1,1,bytes,61811574.0,ns,690
cost_principal_destruct,,1,1,bytes,63738914.0,ns,713
cost_principal_destruct,,1,1,bytes,65819941.0,ns,736
cost_principal_destruct,,1,1,bytes,67944835.0,ns,759
cost_principal_destruct,,1,1,bytes,69865714.0,ns,782
cost_principal_destruct,,1,1,bytes,71962277.0,ns,805
cost_principal_destruct,,1,1,bytes,74592409.0,ns,828
cost_principal_destruct,,1,1,bytes,76077635.0,ns,851
cost_principal_destruct,,1,1,bytes,78110826.0,ns,874
cost_principal_destruct,,1,1,bytes,80197895.0,ns,897
cost_principal_destruct,,1,1,bytes,82234475.0,ns,920
cost_principal_destruct,,1,1,bytes,84250545.0,ns,943
cost_principal_destruct,,1,1,bytes,86311846.0,ns,966
cost_principal_destruct,,1,1,bytes,88388990.0,ns,989
cost_principal_destruct,,1,1,bytes,90421345.0,ns,1012
cost_principal_destruct,,1,1,bytes,92455765.0,ns,1035
cost_principal_destruct,,1,1,bytes,94562968.0,ns,1058
cost_principal_destruct,,1,1,bytes,96573398.0,ns,1081
cost_principal_destruct,,1,1,bytes,98868603.0,ns,1104
cost_principal_destruct,,1,1,bytes,100634603.0,ns,1127
cost_principal_destruct,,1,1,bytes,102893098.0,ns,1150
cost_principal_destruct,,1,1,bytes,104800273.0,ns,1173
cost_principal_destruct,,1,1,bytes,106945368.0,ns,1196
cost_principal_destruct,,1,1,bytes,108961124.0,ns,1219
cost_principal_destruct,,1,1,bytes,111053051.0,ns,1242
cost_principal_destruct,,1,1,bytes,112992992.0,ns,1265
cost_principal_destruct,,1,1,bytes,116032748.0,ns,1288
cost_principal_destruct,,1,1,bytes,117983360.0,ns,1311
cost_principal_destruct,,1,1,bytes,119712351.0,ns,1334
cost_principal_destruct,,1,1,bytes,121462685.0,ns,1357
cost_principal_destruct,,1,1,bytes,123411216.0,ns,1380
cost_principal_destruct,,1,1,bytes,125425560.0,ns,1403
cost_principal_destruct,,1,1,bytes,127477226.0,ns,1426
cost_principal_destruct,,1,1,bytes,129546605.0,ns,1449
cost_principal_destruct,,1,1,bytes,132187470.0,ns,1472
cost_principal_destruct,,1,1,bytes,134334108.0,ns,1495
cost_principal_destruct,,1,1,bytes,136401299.0,ns,1518
cost_principal_destruct,,1,1,bytes,137918653.0,ns,1541
cost_principal_destruct,,1,1,bytes,139818589.0,ns,1564
cost_principal_destruct,,1,1,bytes,141944668.0,ns,1587
cost_principal_destruct,,1,1,bytes,144028516.0,ns,1610
cost_principal_destruct,,1,1,bytes,147293418.0,ns,1633
cost_principal_destruct,,1,1,bytes,148077255.0,ns,1656
cost_principal_destruct,,1,1,bytes,150008459.0,ns,1679
cost_principal_destruct,,1,1,bytes,152163815.0,ns,1702
cost_principal_destruct,,1,1,bytes,154317620.0,ns,1725
cost_principal_destruct,,1,1,bytes,156381678.0,ns,1748
cost_principal_destruct,,1,1,bytes,158504531.0,ns,1771
cost_principal_destruct,,1,1,bytes,160523006.0,ns,1794
cost_principal_destruct,,1,1,bytes,163373268.0,ns,1817
cost_principal_destruct,,1,1,bytes,165161841.0,ns,1840
cost_principal_destruct,,1,1,bytes,166641053.0,ns,1863
cost_principal_destruct,,1,1,bytes,168696000.0,ns,1886
cost_principal_destruct,,1,1,bytes,170664053.0,ns,1909
cost_principal_destruct,,1,1,bytes,172940021.0,ns,1932
cost_principal_destruct,,1,1,bytes,175436176.0,ns,1955
cost_principal_destruct,,1,1,bytes,177212919.0,ns,1978
cost_principal_destruct,,1,1,bytes,178918692.0,ns,2001
cost_principal_destruct,,1,1,bytes,181051894.0,ns,2024
cost_principal_destruct,,1,1,bytes,183073131.0,ns,2047
cost_principal_destruct,,1,1,bytes,185149989.0,ns,2070
