group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_principal_destruct,,1,1,bytes,2079167.0,ns,14
cost_principal_destruct,,1,1,bytes,4085310.0,ns,28
cost_principal_destruct,,1,1,bytes,6134129.0,ns,42
cost_principal_destruct,,1,1,bytes,8163509.0,ns,56
cost_principal_destruct,,1,1,bytes,10284619.0,ns,70
cost_principal_destruct,,1,1,bytes,12280593.0,ns,84
cost_principal_destruct,,1,1,bytes,14269759.0,ns,98
cost_principal_destruct,,1,1,bytes,16298392.0,ns,112
cost_principal_destruct,,1,1,bytes,18302411.0,ns,126
cost_principal_destruct,,1,1,bytes,20321065.0,ns,140
cost_principal_destruct,,1,1,bytes,22336650.0,ns,154
cost_principal_destruct,,1,1,bytes,24282121.0,ns,168
cost_principal_destruct,,1,1,bytes,26242959.0,ns,182
cost_principal_destruct,,1,1,bytes,28144437.0,ns,196
cost_principal_destruct,,1,1,bytes,30165982.0,ns,210
cost_principal_destruct,,1,1,bytes,32401682.0,ns,224
cost_principal_destruct,,1,1,bytes,34541311.0,ns,238
cost_principal_destruct,,1,1,bytes,36357037.0,ns,252
cost_principal_destruct,,1,1,bytes,38761692.0,ns,266
cost_principal_destruct,,1,1,bytes,40573411.0,ns,280
cost_principal_destruct,,1,1,bytes,42205720.0,ns,294
cost_principal_destruct,,1,1,bytes,44511663.0,ns,308
cost_principal_destruct,,1,1,bytes,47206408.0,ns,322
cost_principal_destruct,,1,1,bytes,49128066.0,ns,336
cost_principal_destruct,,1,1,bytes,50956922.0,ns,350
cost_principal_destruct,,1,1,bytes,52911001.0,ns,364
cost_principal_destruct,,1,1,bytes,54820512.0,ns,378
cost_principal_destruct,,1,1,bytes,56832424.0,ns,392
cost_principal_destruct,,1,1,bytes,58873796.0,ns,406
cost_principal_destruct,,1,1,bytes,60877111.0,ns,420
cost_principal_destruct,,1,1,bytes,62916615.0,ns,434
cost_principal_destruct,,1,1,bytes,64670547.0,ns,448
cost_principal_destruct,,1,1,bytes,66922855.0,ns,462
cost_principal_destruct,,1,1,bytes,69199436.0,ns,476
cost_principal_destruct,,1,1,bytes,71057336.0,ns,490
cost_principal_destruct,,1,1,bytes,72847528.0,ns,504
cost_principal_destruct,,1,1,bytes,74894618.0,ns,518
cost_principal_destruct,,1,1,bytes,76448704.0,ns,532
cost_principal_destruct,,1,1,bytes,78923799.0,ns,546
cost_principal_destruct,,1,1,bytes,81850592.0,ns,560
cost_principal_destruct,,1,1,bytes,85531851.0,ns,574
cost_principal_destruct,,1,1,bytes,85148568.0,ns,588
cost_principal_destruct,,1,1,bytes,88195401.0,ns,602
cost_principal_destruct,,1,1,bytes,90505297.0,ns,616
cost_principal_destruct,,1,1,bytes,92498083.0,ns,630
cost_principal_destruct,,1,1,bytes,93461587.0,ns,644
cost_principal_destruct,,1,1,bytes,95339708.0,ns,658
cost_principal_destruct,,1,1,bytes,96835648.0,ns,672
cost_principal_destruct,,1,1,bytes,98511735.0,ns,686
cost_principal_destruct,,1,1,bytes,101167141.0,ns,700
cost_principal_destruct,,1,1,bytes,104166398.0,ns,714
cost_principal_destruct,,1,1,bytes,106589363.0,ns,728
cost_principal_destruct,,1,1,bytes,107991409.0,ns,742
cost_principal_destruct,,1,1,bytes,109714716.0,ns,756
cost_principal_destruct,,1,1,bytes,111995795.0,ns,770
cost_principal_destruct,,1,1,bytes,113204723.0,ns,784
cost_principal_destruct,,1,1,bytes,115438821.0,ns,798
cost_principal_destruct,,1,1,bytes,117350143.0,ns,812
cost_principal_destruct,,1,1,bytes,119273066.0,ns,826
cost_principal_destruct,,1,1,bytes,120727796.0,ns,840
cost_principal_destruct,,1,1,bytes,123194919.0,ns,854
cost_principal_destruct,,1,1,bytes,124684018.0,ns,868
cost_principal_destruct,,1,1,bytes,126647984.0,ns,882
cost_principal_destruct,,1,1,bytes,128939730.0,ns,896
cost_principal_destruct,,1,1,bytes,131520029.0,ns,910
cost_principal_destruct,,1,1,bytes,133226309.0,ns,924
cost_principal_destruct,,1,1,bytes,134950226.0,ns,938
cost_principal_destruct,,1,1,bytes,136919328.0,ns,952
cost_principal_destruct,,1,1,bytes,139122093.0,ns,966
cost_principal_destruct,,1,1,bytes,141132535.0,ns,980
cost_principal_destruct,,1,1,bytes,143068441.0,ns,994
cost_principal_destruct,,1,1,bytes,145057655.0,ns,1008
cost_principal_destruct,,1,1,bytes,147062479.0,ns,1022
cost_principal_destruct,,1,1,bytes,151413781.0,ns,1036
cost_principal_destruct,,1,1,bytes,152917879.0,ns,1050
cost_principal_destruct,,1,1,bytes,153698079.0,ns,1064
cost_principal_destruct,,1,1,bytes,155157011.0,ns,1078
cost_principal_destruct,,1,1,bytes,157162896.0,ns,1092
cost_principal_destruct,,1,1,bytes,159119275.0,ns,1106
cost_principal_destruct,,1,1,bytes,161899947.0,ns,1120
cost_principal_destruct,,1,1,bytes,164729802.0,ns,1134
cost_principal_destruct,,1,1,bytes,164778015.0,ns,1148
cost_principal_destruct,,1,1,bytes,167669369.0,ns,1162
cost_principal_destruct,,1,1,bytes,169443380.0,ns,1176
cost_principal_destruct,,1,1,bytes,170959577.0,ns,1190
cost_principal_destruct,,1,1,bytes,173802425.0,ns,1204
cost_principal_destruct,,1,1,bytes,176617751.0,ns,1218
cost_principal_destruct,,1,1,bytes,178997010.0,ns,1232
cost_principal_destruct,,1,1,bytes,181083490.0,ns,1246
cost_principal_destruct,,1,1,bytes,181657486.0,ns,1260
cost_principal_destruct,,1,1,bytes,183693070.0,ns,1274
cost_principal_destruct,,1,1,bytes,184905215.0,ns,1288
cost_principal_destruct,,1,1,bytes,186928520.0,ns,1302
cost_principal_destruct,,1,1,bytes,189609047.0,ns,1316
cost_principal_destruct,,1,1,bytes,191602351.0,ns,1330
cost_principal_destruct,,1,1,bytes,193511194.0,ns,1344
cost_principal_destruct,,1,1,bytes,196649490.0,ns,1358
cost_principal_destruct,,1,1,bytes,197886408.0,ns,1372
cost_principal_destruct,,1,1,bytes,199350196.0,ns,1386
cost_principal_destruct,,1,1,bytes,202557160.0,ns,1400
