group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_principal_of,,0,0,bytes,2338984.0,ns,6
cost_principal_of,,0,0,bytes,4650590.0,ns,12
cost_principal_of,,0,0,bytes,6959094.0,ns,18
cost_principal_of,,0,0,bytes,9309264.0,ns,24
cost_principal_of,,0,0,bytes,11617917.0,ns,30
cost_principal_of,,0,0,bytes,13934465.0,ns,36
cost_principal_of,,0,0,bytes,16258216.0,ns,42
cost_principal_of,,0,0,bytes,18599696.0,ns,48
cost_principal_of,,0,0,bytes,20922564.0,ns,54
cost_principal_of,,0,0,bytes,23240516.0,ns,60
cost_principal_of,,0,0,bytes,25548216.0,ns,66
cost_principal_of,,0,0,bytes,27866875.0,ns,72
cost_principal_of,,0,0,bytes,30184213.0,ns,78
cost_principal_of,,0,0,bytes,32517891.0,ns,84
cost_principal_of,,0,0,bytes,34828354.0,ns,90
cost_principal_of,,0,0,bytes,37175292.0,ns,96
cost_principal_of,,0,0,bytes,39781820.0,ns,102
cost_principal_of,,0,0,bytes,41929438.0,ns,108
cost_principal_of,,0,0,bytes,44396254.0,ns,114
cost_principal_of,,0,0,bytes,46656259.0,ns,120
cost_principal_of,,0,0,bytes,48832690.0,ns,126
cost_principal_of,,0,0,bytes,51135552.0,ns,132
cost_principal_of,,0,0,bytes,53485297.0,ns,138
cost_principal_of,,0,0,bytes,55733572.0,ns,144
cost_principal_of,,0,0,bytes,58059864.0,ns,150
cost_principal_of,,0,0,bytes,60403146.0,ns,156
cost_principal_of,,0,0,bytes,62743217.0,ns,162
cost_principal_of,,0,0,bytes,65037373.0,ns,168
cost_principal_of,,0,0,bytes,67341403.0,ns,174
cost_principal_of,,0,0,bytes,69736736.0,ns,180
cost_principal_of,,0,0,bytes,72002312.0,ns,186
cost_principal_of,,0,0,bytes,74336704.0,ns,192
cost_principal_of,,0,0,bytes,76987929.0,ns,198
cost_principal_of,,0,0,bytes,79076739.0,ns,204
cost_principal_of,,0,0,bytes,81300422.0,ns,210
cost_principal_of,,0,0,bytes,84067517.0,ns,216
cost_principal_of,,0,0,bytes,86098671.0,ns,222
cost_principal_of,,0,0,bytes,88723474.0,ns,228
cost_principal_of,,0,0,bytes,91179582.0,ns,234
cost_principal_of,,0,0,bytes,93359613.0,ns,240
cost_principal_of,,0,0,bytes,95388545.0,ns,246
cost_principal_of,,0,0,bytes,97697005.0,ns,252
cost_principal_of,,0,0,bytes,100072646.0,ns,258
cost_principal_of,,0,0,bytes,102276444.0,ns,264
cost_principal_of,,0,0,bytes,104703181.0,ns,270
cost_principal_of,,0,0,bytes,107573439.0,ns,276
cost_principal_of,,0,0,bytes,109616225.0,ns,282
cost_principal_of,,0,0,bytes,111573927.0,ns,288
cost_principal_of,,0,0,bytes,113916187.0,ns,294
cost_principal_of,,0,0,bytes,116519378.0,ns,300
cost_principal_of,,0,0,bytes,118815480.0,ns,306
cost_principal_of,,0,0,bytes,120829152.0,ns,312
cost_principal_of,,0,0,bytes,123080904.0,ns,318
cost_principal_of,,0,0,bytes,125866936.0,ns,324
cost_principal_of,,0,0,bytes,128322184.0,ns,330
cost_principal_of,,0,0,bytes,130536867.0,ns,336
cost_principal_of,,0,0,bytes,132577084.0,ns,342
cost_principal_of,,0,0,bytes,135328344.0,ns,348
cost_principal_of,,0,0,bytes,137575890.0,ns,354
cost_principal_of,,0,0,bytes,139749310.0,ns,360
cost_principal_of,,0,0,bytes,142143014.0,ns,366
cost_principal_of,,0,0,bytes,144273798.0,ns,372
cost_principal_of,,0,0,bytes,146515680.0,ns,378
cost_principal_of,,0,0,bytes,148798830.0,ns,384
cost_principal_of,,0,0,bytes,151050925.0,ns,390
cost_principal_of,,0,0,bytes,153572065.0,ns,396
cost_principal_of,,0,0,bytes,155712604.0,ns,402
cost_principal_of,,0,0,bytes,159156468.0,ns,408
cost_principal_of,,0,0,bytes,160550137.0,ns,414
cost_principal_of,,0,0,bytes,162713708.0,ns,420
cost_principal_of,,0,0,bytes,164971456.0,ns,426
cost_principal_of,,0,0,bytes,167340040.0,ns,432
cost_principal_of,,0,0,bytes,169646375.0,ns,438
cost_principal_of,,0,0,bytes,171860434.0,ns,444
cost_principal_of,,0,0,bytes,174247302.0,ns,450
