group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_principal_of,,0,0,bytes,2452775.0,ns,6
cost_principal_of,,0,0,bytes,4654085.0,ns,12
cost_principal_of,,0,0,bytes,6974679.0,ns,18
cost_principal_of,,0,0,bytes,9299795.0,ns,24
cost_principal_of,,0,0,bytes,11619437.0,ns,30
cost_principal_of,,0,0,bytes,13948689.0,ns,36
cost_principal_of,,0,0,bytes,16289128.0,ns,42
cost_principal_of,,0,0,bytes,18637979.0,ns,48
cost_principal_of,,0,0,bytes,20949132.0,ns,54
cost_principal_of,,0,0,bytes,23331945.0,ns,60
cost_principal_of,,0,0,bytes,25610376.0,ns,66
cost_principal_of,,0,0,bytes,27898481.0,ns,72
cost_principal_of,,0,0,bytes,30231160.0,ns,78
cost_principal_of,,0,0,bytes,32666518.0,ns,84
cost_principal_of,,0,0,bytes,34901270.0,ns,90
cost_principal_of,,0,0,bytes,37169484.0,ns,96
cost_principal_of,,0,0,bytes,39570416.0,ns,102
cost_principal_of,,0,0,bytes,41868094.0,ns,108
cost_principal_of,,0,0,bytes,44133205.0,ns,114
cost_principal_of,,0,0,bytes,46497931.0,ns,120
cost_principal_of,,0,0,bytes,48777197.0,ns,126
cost_principal_of,,0,0,bytes,51188222.0,ns,132
cost_principal_of,,0,0,bytes,53497487.0,ns,138
cost_principal_of,,0,0,bytes,55770328.0,ns,144
cost_principal_of,,0,0,bytes,58147345.0,ns,150
cost_principal_of,,0,0,bytes,60489141.0,ns,156
cost_principal_of,,0,0,bytes,62753752.0,ns,162
cost_principal_of,,0,0,bytes,65060168.0,ns,168
cost_principal_of,,0,0,bytes,67725401.0,ns,174
cost_principal_of,,0,0,bytes,69723197.0,ns,180
cost_principal_of,,0,0,bytes,72255511.0,ns,186
cost_principal_of,,0,0,bytes,74511971.0,ns,192
cost_principal_of,,0,0,bytes,76776159.0,ns,198
cost_principal_of,,0,0,bytes,79182630.0,ns,204
cost_principal_of,,0,0,bytes,81452834.0,ns,210
cost_principal_of,,0,0,bytes,83852653.0,ns,216
cost_principal_of,,0,0,bytes,86179816.0,ns,222
cost_principal_of,,0,0,bytes,88473481.0,ns,228
cost_principal_of,,0,0,bytes,90749348.0,ns,234
cost_principal_of,,0,0,bytes,93186226.0,ns,240
cost_principal_of,,0,0,bytes,95679109.0,ns,246
cost_principal_of,,0,0,bytes,97765709.0,ns,252
cost_principal_of,,0,0,bytes,99972704.0,ns,258
cost_principal_of,,0,0,bytes,102307142.0,ns,264
cost_principal_of,,0,0,bytes,104569727.0,ns,270
cost_principal_of,,0,0,bytes,107076610.0,ns,276
cost_principal_of,,0,0,bytes,110150748.0,ns,282
cost_principal_of,,0,0,bytes,111689090.0,ns,288
cost_principal_of,,0,0,bytes,113967184.0,ns,294
cost_principal_of,,0,0,bytes,116391457.0,ns,300
cost_principal_of,,0,0,bytes,118554773.0,ns,306
cost_principal_of,,0,0,bytes,120877072.0,ns,312
cost_principal_of,,0,0,bytes,123101812.0,ns,318
cost_principal_of,,0,0,bytes,125532858.0,ns,324
cost_principal_of,,0,0,bytes,127760515.0,ns,330
cost_principal_of,,0,0,bytes,130032670.0,ns,336
cost_principal_of,,0,0,bytes,132390543.0,ns,342
cost_principal_of,,0,0,bytes,134933380.0,ns,348
cost_principal_of,,0,0,bytes,137073577.0,ns,354
cost_principal_of,,0,0,bytes,139419007.0,ns,360
