group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_read_only,,163,163,bytes,1037686.0,ns,15
cost_read_only,,163,163,bytes,2099934.0,ns,30
cost_read_only,,163,163,bytes,3096107.0,ns,45
cost_read_only,,163,163,bytes,4154690.0,ns,60
cost_read_only,,163,163,bytes,5240210.0,ns,75
cost_read_only,,163,163,bytes,6256729.0,ns,90
cost_read_only,,163,163,bytes,7266687.0,ns,105
cost_read_only,,163,163,bytes,8264869.0,ns,120
cost_read_only,,163,163,bytes,9399488.0,ns,135
cost_read_only,,163,163,bytes,10401421.0,ns,150
cost_read_only,,163,163,bytes,11429383.0,ns,165
cost_read_only,,163,163,bytes,12476993.0,ns,180
cost_read_only,,163,163,bytes,13526505.0,ns,195
cost_read_only,,163,163,bytes,14552393.0,ns,210
cost_read_only,,163,163,bytes,15618152.0,ns,225
cost_read_only,,163,163,bytes,16629678.0,ns,240
cost_read_only,,163,163,bytes,17688378.0,ns,255
cost_read_only,,163,163,bytes,18704733.0,ns,270
cost_read_only,,163,163,bytes,19766494.0,ns,285
cost_read_only,,163,163,bytes,20861010.0,ns,300
cost_read_only,,163,163,bytes,21726141.0,ns,315
cost_read_only,,163,163,bytes,22868958.0,ns,330
cost_read_only,,163,163,bytes,23911436.0,ns,345
cost_read_only,,163,163,bytes,24897440.0,ns,360
cost_read_only,,163,163,bytes,26153140.0,ns,375
cost_read_only,,163,163,bytes,27144935.0,ns,390
cost_read_only,,163,163,bytes,28261305.0,ns,405
cost_read_only,,163,163,bytes,29126364.0,ns,420
cost_read_only,,163,163,bytes,30284403.0,ns,435
cost_read_only,,163,163,bytes,31238654.0,ns,450
cost_read_only,,163,163,bytes,32276023.0,ns,465
cost_read_only,,163,163,bytes,33327949.0,ns,480
cost_read_only,,163,163,bytes,34215430.0,ns,495
cost_read_only,,163,163,bytes,35339908.0,ns,510
cost_read_only,,163,163,bytes,36431834.0,ns,525
cost_read_only,,163,163,bytes,37530819.0,ns,540
cost_read_only,,163,163,bytes,38508730.0,ns,555
cost_read_only,,163,163,bytes,39424877.0,ns,570
cost_read_only,,163,163,bytes,40600513.0,ns,585
cost_read_only,,163,163,bytes,41528443.0,ns,600
cost_read_only,,163,163,bytes,42573709.0,ns,615
cost_read_only,,163,163,bytes,43723773.0,ns,630
cost_read_only,,163,163,bytes,44768930.0,ns,645
cost_read_only,,163,163,bytes,45878489.0,ns,660
cost_read_only,,163,163,bytes,46792956.0,ns,675
cost_read_only,,163,163,bytes,47913267.0,ns,690
cost_read_only,,163,163,bytes,48911467.0,ns,705
cost_read_only,,163,163,bytes,49860806.0,ns,720
cost_read_only,,163,163,bytes,51335146.0,ns,735
cost_read_only,,163,163,bytes,52061734.0,ns,750
cost_read_only,,163,163,bytes,53225020.0,ns,765
cost_read_only,,163,163,bytes,54042654.0,ns,780
cost_read_only,,163,163,bytes,55146189.0,ns,795
cost_read_only,,163,163,bytes,56095559.0,ns,810
cost_read_only,,163,163,bytes,57127482.0,ns,825
cost_read_only,,163,163,bytes,58063203.0,ns,840
cost_read_only,,163,163,bytes,59188144.0,ns,855
cost_read_only,,163,163,bytes,60282096.0,ns,870
cost_read_only,,163,163,bytes,61494973.0,ns,885
cost_read_only,,163,163,bytes,62320224.0,ns,900
cost_read_only,,163,163,bytes,63413263.0,ns,915
cost_read_only,,163,163,bytes,64441972.0,ns,930
cost_read_only,,163,163,bytes,65479785.0,ns,945
cost_read_only,,163,163,bytes,66648389.0,ns,960
cost_read_only,,163,163,bytes,67539338.0,ns,975
cost_read_only,,163,163,bytes,68554754.0,ns,990
cost_read_only,,163,163,bytes,69789187.0,ns,1005
cost_read_only,,163,163,bytes,70874770.0,ns,1020
cost_read_only,,163,163,bytes,71759149.0,ns,1035
cost_read_only,,163,163,bytes,72841033.0,ns,1050
cost_read_only,,163,163,bytes,73857543.0,ns,1065
cost_read_only,,163,163,bytes,74834702.0,ns,1080
cost_read_only,,163,163,bytes,75783154.0,ns,1095
cost_read_only,,163,163,bytes,77050811.0,ns,1110
cost_read_only,,163,163,bytes,77987976.0,ns,1125
cost_read_only,,163,163,bytes,78908441.0,ns,1140
cost_read_only,,163,163,bytes,80003174.0,ns,1155
cost_read_only,,163,163,bytes,81200196.0,ns,1170
cost_read_only,,163,163,bytes,82238141.0,ns,1185
cost_read_only,,163,163,bytes,83104680.0,ns,1200
cost_read_only,,163,163,bytes,84513626.0,ns,1215
cost_read_only,,163,163,bytes,85792941.0,ns,1230
cost_read_only,,163,163,bytes,86528327.0,ns,1245
cost_read_only,,163,163,bytes,87287569.0,ns,1260
cost_read_only,,163,163,bytes,88498083.0,ns,1275
cost_read_only,,163,163,bytes,89537800.0,ns,1290
cost_read_only,,163,163,bytes,90697143.0,ns,1305
cost_read_only,,163,163,bytes,91952661.0,ns,1320
cost_read_only,,163,163,bytes,92732209.0,ns,1335
cost_read_only,,163,163,bytes,93909691.0,ns,1350
cost_read_only,,163,163,bytes,94635124.0,ns,1365
cost_read_only,,163,163,bytes,96036384.0,ns,1380
cost_read_only,,163,163,bytes,96812822.0,ns,1395
cost_read_only,,163,163,bytes,97983329.0,ns,1410
cost_read_only,,163,163,bytes,98764388.0,ns,1425
cost_read_only,,163,163,bytes,99798113.0,ns,1440
cost_read_only,,163,163,bytes,101068311.0,ns,1455
cost_read_only,,163,163,bytes,101908873.0,ns,1470
cost_read_only,,163,163,bytes,102924428.0,ns,1485
cost_read_only,,163,163,bytes,103868462.0,ns,1500
