group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_read_only,,76,76,bytes,1008349.0,ns,33
cost_read_only,,76,76,bytes,1989971.0,ns,66
cost_read_only,,76,76,bytes,2990322.0,ns,99
cost_read_only,,76,76,bytes,3980347.0,ns,132
cost_read_only,,76,76,bytes,4999883.0,ns,165
cost_read_only,,76,76,bytes,5966131.0,ns,198
cost_read_only,,76,76,bytes,6975495.0,ns,231
cost_read_only,,76,76,bytes,7961067.0,ns,264
cost_read_only,,76,76,bytes,8946881.0,ns,297
cost_read_only,,76,76,bytes,9938380.0,ns,330
cost_read_only,,76,76,bytes,10949258.0,ns,363
cost_read_only,,76,76,bytes,11943772.0,ns,396
cost_read_only,,76,76,bytes,12935928.0,ns,429
cost_read_only,,76,76,bytes,13946741.0,ns,462
cost_read_only,,76,76,bytes,14926274.0,ns,495
cost_read_only,,76,76,bytes,15933466.0,ns,528
cost_read_only,,76,76,bytes,16898868.0,ns,561
cost_read_only,,76,76,bytes,17902796.0,ns,594
cost_read_only,,76,76,bytes,18921473.0,ns,627
cost_read_only,,76,76,bytes,19887310.0,ns,660
cost_read_only,,76,76,bytes,20909918.0,ns,693
cost_read_only,,76,76,bytes,21883822.0,ns,726
cost_read_only,,76,76,bytes,22907573.0,ns,759
cost_read_only,,76,76,bytes,23865037.0,ns,792
cost_read_only,,76,76,bytes,24862770.0,ns,825
cost_read_only,,76,76,bytes,25923577.0,ns,858
cost_read_only,,76,76,bytes,26883480.0,ns,891
cost_read_only,,76,76,bytes,27838125.0,ns,924
cost_read_only,,76,76,bytes,28847999.0,ns,957
cost_read_only,,76,76,bytes,29839335.0,ns,990
cost_read_only,,76,76,bytes,30858284.0,ns,1023
cost_read_only,,76,76,bytes,31826391.0,ns,1056
cost_read_only,,76,76,bytes,32831071.0,ns,1089
cost_read_only,,76,76,bytes,34000983.0,ns,1122
cost_read_only,,76,76,bytes,34794604.0,ns,1155
cost_read_only,,76,76,bytes,35816812.0,ns,1188
cost_read_only,,76,76,bytes,36802288.0,ns,1221
cost_read_only,,76,76,bytes,37774441.0,ns,1254
cost_read_only,,76,76,bytes,38794571.0,ns,1287
cost_read_only,,76,76,bytes,39829650.0,ns,1320
cost_read_only,,76,76,bytes,40802412.0,ns,1353
cost_read_only,,76,76,bytes,41789294.0,ns,1386
cost_read_only,,76,76,bytes,42769435.0,ns,1419
cost_read_only,,76,76,bytes,43753941.0,ns,1452
cost_read_only,,76,76,bytes,44722671.0,ns,1485
cost_read_only,,76,76,bytes,45814217.0,ns,1518
cost_read_only,,76,76,bytes,46731307.0,ns,1551
cost_read_only,,76,76,bytes,47728586.0,ns,1584
cost_read_only,,76,76,bytes,48755433.0,ns,1617
cost_read_only,,76,76,bytes,49699845.0,ns,1650
cost_read_only,,76,76,bytes,50703409.0,ns,1683
cost_read_only,,76,76,bytes,51701080.0,ns,1716
cost_read_only,,76,76,bytes,52761703.0,ns,1749
cost_read_only,,76,76,bytes,53678118.0,ns,1782
cost_read_only,,76,76,bytes,54676913.0,ns,1815
cost_read_only,,76,76,bytes,55723720.0,ns,1848
cost_read_only,,76,76,bytes,56678395.0,ns,1881
cost_read_only,,76,76,bytes,57638247.0,ns,1914
cost_read_only,,76,76,bytes,58674818.0,ns,1947
cost_read_only,,76,76,bytes,59684145.0,ns,1980
cost_read_only,,76,76,bytes,60775090.0,ns,2013
cost_read_only,,76,76,bytes,61678411.0,ns,2046
cost_read_only,,76,76,bytes,62669576.0,ns,2079
cost_read_only,,76,76,bytes,63638956.0,ns,2112
cost_read_only,,76,76,bytes,64627836.0,ns,2145
cost_read_only,,76,76,bytes,65764610.0,ns,2178
cost_read_only,,76,76,bytes,66595527.0,ns,2211
cost_read_only,,76,76,bytes,67575597.0,ns,2244
cost_read_only,,76,76,bytes,68605233.0,ns,2277
cost_read_only,,76,76,bytes,69603329.0,ns,2310
cost_read_only,,76,76,bytes,70634303.0,ns,2343
cost_read_only,,76,76,bytes,71857108.0,ns,2376
cost_read_only,,76,76,bytes,72780674.0,ns,2409
cost_read_only,,76,76,bytes,73696331.0,ns,2442
cost_read_only,,76,76,bytes,75544535.0,ns,2475
cost_read_only,,76,76,bytes,75612616.0,ns,2508
cost_read_only,,76,76,bytes,76588911.0,ns,2541
cost_read_only,,76,76,bytes,77675546.0,ns,2574
cost_read_only,,76,76,bytes,78555351.0,ns,2607
cost_read_only,,76,76,bytes,79556048.0,ns,2640
cost_read_only,,76,76,bytes,80561211.0,ns,2673
cost_read_only,,76,76,bytes,81485413.0,ns,2706
