group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_replace_at,,333,333,bytes,2248611.0,ns,9
cost_replace_at,,333,333,bytes,4500396.0,ns,18
cost_replace_at,,333,333,bytes,6795696.0,ns,27
cost_replace_at,,333,333,bytes,9002275.0,ns,36
cost_replace_at,,333,333,bytes,11232607.0,ns,45
cost_replace_at,,333,333,bytes,13559543.0,ns,54
cost_replace_at,,333,333,bytes,15693586.0,ns,63
cost_replace_at,,333,333,bytes,17871503.0,ns,72
cost_replace_at,,333,333,bytes,20128180.0,ns,81
cost_replace_at,,333,333,bytes,22467323.0,ns,90
cost_replace_at,,333,333,bytes,24686217.0,ns,99
cost_replace_at,,333,333,bytes,26912900.0,ns,108
cost_replace_at,,333,333,bytes,29099037.0,ns,117
cost_replace_at,,333,333,bytes,31369461.0,ns,126
cost_replace_at,,333,333,bytes,33624643.0,ns,135
cost_replace_at,,333,333,bytes,35871069.0,ns,144
cost_replace_at,,333,333,bytes,38435853.0,ns,153
cost_replace_at,,333,333,bytes,40225491.0,ns,162
cost_replace_at,,333,333,bytes,42492469.0,ns,171
cost_replace_at,,333,333,bytes,44761960.0,ns,180
cost_replace_at,,333,333,bytes,47020286.0,ns,189
cost_replace_at,,333,333,bytes,49269658.0,ns,198
cost_replace_at,,333,333,bytes,51630796.0,ns,207
cost_replace_at,,333,333,bytes,53682593.0,ns,216
cost_replace_at,,333,333,bytes,55916126.0,ns,225
cost_replace_at,,333,333,bytes,58131789.0,ns,234
cost_replace_at,,333,333,bytes,60446709.0,ns,243
cost_replace_at,,333,333,bytes,62690695.0,ns,252
cost_replace_at,,333,333,bytes,64917159.0,ns,261
cost_replace_at,,333,333,bytes,67293462.0,ns,270
cost_replace_at,,333,333,bytes,70457445.0,ns,279
cost_replace_at,,333,333,bytes,72801958.0,ns,288
cost_replace_at,,333,333,bytes,73750827.0,ns,297
cost_replace_at,,333,333,bytes,76104640.0,ns,306
cost_replace_at,,333,333,bytes,78360591.0,ns,315
cost_replace_at,,333,333,bytes,82545251.0,ns,324
cost_replace_at,,333,333,bytes,83810100.0,ns,333
cost_replace_at,,333,333,bytes,85477521.0,ns,342
cost_replace_at,,333,333,bytes,87401126.0,ns,351
cost_replace_at,,333,333,bytes,89455762.0,ns,360
cost_replace_at,,333,333,bytes,91854339.0,ns,369
cost_replace_at,,333,333,bytes,93864080.0,ns,378
cost_replace_at,,333,333,bytes,96433162.0,ns,387
cost_replace_at,,333,333,bytes,98575790.0,ns,396
cost_replace_at,,333,333,bytes,101266589.0,ns,405
cost_replace_at,,333,333,bytes,103111092.0,ns,414
cost_replace_at,,333,333,bytes,105133999.0,ns,423
cost_replace_at,,333,333,bytes,107358880.0,ns,432
cost_replace_at,,333,333,bytes,110494600.0,ns,441
cost_replace_at,,333,333,bytes,112293847.0,ns,450
cost_replace_at,,333,333,bytes,114747164.0,ns,459
cost_replace_at,,333,333,bytes,116583557.0,ns,468
cost_replace_at,,333,333,bytes,118721828.0,ns,477
cost_replace_at,,333,333,bytes,120841631.0,ns,486
cost_replace_at,,333,333,bytes,123204715.0,ns,495
cost_replace_at,,333,333,bytes,125646122.0,ns,504
cost_replace_at,,333,333,bytes,128724502.0,ns,513
cost_replace_at,,333,333,bytes,130035322.0,ns,522
cost_replace_at,,333,333,bytes,133487760.0,ns,531
cost_replace_at,,333,333,bytes,134772985.0,ns,540
cost_replace_at,,333,333,bytes,136671538.0,ns,549
cost_replace_at,,333,333,bytes,139849025.0,ns,558
cost_replace_at,,333,333,bytes,140923981.0,ns,567
cost_replace_at,,333,333,bytes,143404393.0,ns,576
cost_replace_at,,333,333,bytes,145698824.0,ns,585
cost_replace_at,,333,333,bytes,147822260.0,ns,594
cost_replace_at,,333,333,bytes,149918123.0,ns,603
cost_replace_at,,333,333,bytes,152377469.0,ns,612
cost_replace_at,,333,333,bytes,154782841.0,ns,621
cost_replace_at,,333,333,bytes,156701916.0,ns,630
cost_replace_at,,333,333,bytes,159432751.0,ns,639
cost_replace_at,,333,333,bytes,163064736.0,ns,648
cost_replace_at,,333,333,bytes,164120377.0,ns,657
cost_replace_at,,333,333,bytes,165732248.0,ns,666
cost_replace_at,,333,333,bytes,168101211.0,ns,675
cost_replace_at,,333,333,bytes,170096848.0,ns,684
cost_replace_at,,333,333,bytes,172875876.0,ns,693
cost_replace_at,,333,333,bytes,174955920.0,ns,702
cost_replace_at,,333,333,bytes,177041860.0,ns,711
cost_replace_at,,333,333,bytes,178861645.0,ns,720
cost_replace_at,,333,333,bytes,181119643.0,ns,729
cost_replace_at,,333,333,bytes,183923871.0,ns,738
cost_replace_at,,333,333,bytes,188014862.0,ns,747
cost_replace_at,,333,333,bytes,188142516.0,ns,756
cost_replace_at,,333,333,bytes,190437546.0,ns,765
cost_replace_at,,333,333,bytes,193532226.0,ns,774
cost_replace_at,,333,333,bytes,194775955.0,ns,783
cost_replace_at,,333,333,bytes,197772544.0,ns,792
cost_replace_at,,333,333,bytes,199511800.0,ns,801
cost_replace_at,,333,333,bytes,201657723.0,ns,810
cost_replace_at,,333,333,bytes,204171223.0,ns,819
cost_replace_at,,333,333,bytes,205627082.0,ns,828
cost_replace_at,,333,333,bytes,208889066.0,ns,837
cost_replace_at,,333,333,bytes,210176282.0,ns,846
cost_replace_at,,333,333,bytes,212440735.0,ns,855
cost_replace_at,,333,333,bytes,214907030.0,ns,864
cost_replace_at,,333,333,bytes,217585881.0,ns,873
cost_replace_at,,333,333,bytes,221593606.0,ns,882
cost_replace_at,,333,333,bytes,222882991.0,ns,891
cost_replace_at,,333,333,bytes,224832026.0,ns,900
