group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_replace_at,,451,451,bytes,2127628.0,ns,8
cost_replace_at,,451,451,bytes,4086520.0,ns,16
cost_replace_at,,451,451,bytes,6126337.0,ns,24
cost_replace_at,,451,451,bytes,8165965.0,ns,32
cost_replace_at,,451,451,bytes,10153247.0,ns,40
cost_replace_at,,451,451,bytes,12195343.0,ns,48
cost_replace_at,,451,451,bytes,14209490.0,ns,56
cost_replace_at,,451,451,bytes,16240021.0,ns,64
cost_replace_at,,451,451,bytes,18268597.0,ns,72
cost_replace_at,,451,451,bytes,20373833.0,ns,80
cost_replace_at,,451,451,bytes,22387621.0,ns,88
cost_replace_at,,451,451,bytes,24366695.0,ns,96
cost_replace_at,,451,451,bytes,26394582.0,ns,104
cost_replace_at,,451,451,bytes,28432101.0,ns,112
cost_replace_at,,451,451,bytes,30469408.0,ns,120
cost_replace_at,,451,451,bytes,32498001.0,ns,128
cost_replace_at,,451,451,bytes,34494314.0,ns,136
cost_replace_at,,451,451,bytes,36720090.0,ns,144
cost_replace_at,,451,451,bytes,38609573.0,ns,152
cost_replace_at,,451,451,bytes,40657229.0,ns,160
cost_replace_at,,451,451,bytes,42702644.0,ns,168
cost_replace_at,,451,451,bytes,44687771.0,ns,176
cost_replace_at,,451,451,bytes,47045050.0,ns,184
cost_replace_at,,451,451,bytes,48795706.0,ns,192
cost_replace_at,,451,451,bytes,51567379.0,ns,200
cost_replace_at,,451,451,bytes,53898354.0,ns,208
cost_replace_at,,451,451,bytes,55329689.0,ns,216
cost_replace_at,,451,451,bytes,57741216.0,ns,224
cost_replace_at,,451,451,bytes,59463852.0,ns,232
cost_replace_at,,451,451,bytes,61191131.0,ns,240
cost_replace_at,,451,451,bytes,63118026.0,ns,248
cost_replace_at,,451,451,bytes,65089099.0,ns,256
cost_replace_at,,451,451,bytes,67003905.0,ns,264
cost_replace_at,,451,451,bytes,69177255.0,ns,272
cost_replace_at,,451,451,bytes,71081409.0,ns,280
cost_replace_at,,451,451,bytes,73095014.0,ns,288
cost_replace_at,,451,451,bytes,75183965.0,ns,296
cost_replace_at,,451,451,bytes,77127475.0,ns,304
cost_replace_at,,451,451,bytes,79311117.0,ns,312
cost_replace_at,,451,451,bytes,81753218.0,ns,320
cost_replace_at,,451,451,bytes,83393273.0,ns,328
cost_replace_at,,451,451,bytes,85304018.0,ns,336
cost_replace_at,,451,451,bytes,87492013.0,ns,344
cost_replace_at,,451,451,bytes,89525161.0,ns,352
cost_replace_at,,451,451,bytes,91471123.0,ns,360
cost_replace_at,,451,451,bytes,93397427.0,ns,368
cost_replace_at,,451,451,bytes,95377746.0,ns,376
cost_replace_at,,451,451,bytes,97508763.0,ns,384
cost_replace_at,,451,451,bytes,99432341.0,ns,392
cost_replace_at,,451,451,bytes,101632003.0,ns,400
cost_replace_at,,451,451,bytes,105401446.0,ns,408
cost_replace_at,,451,451,bytes,105942992.0,ns,416
cost_replace_at,,451,451,bytes,107615511.0,ns,424
cost_replace_at,,451,451,bytes,109789849.0,ns,432
cost_replace_at,,451,451,bytes,111743321.0,ns,440
cost_replace_at,,451,451,bytes,113621566.0,ns,448
cost_replace_at,,451,451,bytes,115738437.0,ns,456
cost_replace_at,,451,451,bytes,117686458.0,ns,464
cost_replace_at,,451,451,bytes,119778208.0,ns,472
cost_replace_at,,451,451,bytes,122278255.0,ns,480
cost_replace_at,,451,451,bytes,125496416.0,ns,488
cost_replace_at,,451,451,bytes,126917877.0,ns,496
cost_replace_at,,451,451,bytes,128087454.0,ns,504
cost_replace_at,,451,451,bytes,130577397.0,ns,512
cost_replace_at,,451,451,bytes,131992940.0,ns,520
cost_replace_at,,451,451,bytes,134119653.0,ns,528
cost_replace_at,,451,451,bytes,137127339.0,ns,536
cost_replace_at,,451,451,bytes,138573461.0,ns,544
cost_replace_at,,451,451,bytes,140255512.0,ns,552
cost_replace_at,,451,451,bytes,142967622.0,ns,560
cost_replace_at,,451,451,bytes,144238415.0,ns,568
cost_replace_at,,451,451,bytes,146220601.0,ns,576
cost_replace_at,,451,451,bytes,148150800.0,ns,584
cost_replace_at,,451,451,bytes,150148778.0,ns,592
cost_replace_at,,451,451,bytes,152654551.0,ns,600
cost_replace_at,,451,451,bytes,154877248.0,ns,608
cost_replace_at,,451,451,bytes,157225509.0,ns,616
cost_replace_at,,451,451,bytes,158658801.0,ns,624
cost_replace_at,,451,451,bytes,160343128.0,ns,632
cost_replace_at,,451,451,bytes,162534369.0,ns,640
cost_replace_at,,451,451,bytes,166018844.0,ns,648
cost_replace_at,,451,451,bytes,167332315.0,ns,656
cost_replace_at,,451,451,bytes,168748559.0,ns,664
cost_replace_at,,451,451,bytes,170510428.0,ns,672
cost_replace_at,,451,451,bytes,172578361.0,ns,680
cost_replace_at,,451,451,bytes,174543351.0,ns,688
cost_replace_at,,451,451,bytes,177007952.0,ns,696
cost_replace_at,,451,451,bytes,180793430.0,ns,704
