group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_secp256k1recover,,1,1,bytes,51797088.0,ns,6
cost_secp256k1recover,,1,1,bytes,51558453.0,ns,6
cost_secp256k1recover,,1,1,bytes,51584322.0,ns,6
cost_secp256k1recover,,1,1,bytes,51553169.0,ns,6
cost_secp256k1recover,,1,1,bytes,51565301.0,ns,6
cost_secp256k1recover,,1,1,bytes,51548280.0,ns,6
cost_secp256k1recover,,1,1,bytes,51538298.0,ns,6
cost_secp256k1recover,,1,1,bytes,51527332.0,ns,6
cost_secp256k1recover,,1,1,bytes,51529424.0,ns,6
cost_secp256k1recover,,1,1,bytes,51505265.0,ns,6
cost_secp256k1recover,,1,1,bytes,51518918.0,ns,6
cost_secp256k1recover,,1,1,bytes,51530184.0,ns,6
cost_secp256k1recover,,1,1,bytes,51531981.0,ns,6
cost_secp256k1recover,,1,1,bytes,51498757.0,ns,6
cost_secp256k1recover,,1,1,bytes,51821339.0,ns,6
cost_secp256k1recover,,1,1,bytes,51523415.0,ns,6
cost_secp256k1recover,,1,1,bytes,51701801.0,ns,6
cost_secp256k1recover,,1,1,bytes,51622509.0,ns,6
cost_secp256k1recover,,1,1,bytes,51610145.0,ns,6
cost_secp256k1recover,,1,1,bytes,51551290.0,ns,6
cost_secp256k1recover,,1,1,bytes,51643632.0,ns,6
cost_secp256k1recover,,1,1,bytes,51610189.0,ns,6
cost_secp256k1recover,,1,1,bytes,51621335.0,ns,6
cost_secp256k1recover,,1,1,bytes,51574807.0,ns,6
cost_secp256k1recover,,1,1,bytes,51589833.0,ns,6
cost_secp256k1recover,,1,1,bytes,51511080.0,ns,6
cost_secp256k1recover,,1,1,bytes,51504855.0,ns,6
cost_secp256k1recover,,1,1,bytes,51516912.0,ns,6
cost_secp256k1recover,,1,1,bytes,51479137.0,ns,6
cost_secp256k1recover,,1,1,bytes,51492839.0,ns,6
cost_secp256k1recover,,1,1,bytes,51481590.0,ns,6
cost_secp256k1recover,,1,1,bytes,51822417.0,ns,6
cost_secp256k1recover,,1,1,bytes,51722218.0,ns,6
cost_secp256k1recover,,1,1,bytes,51616355.0,ns,6
cost_secp256k1recover,,1,1,bytes,51827151.0,ns,6
cost_secp256k1recover,,1,1,bytes,51891086.0,ns,6
cost_secp256k1recover,,1,1,bytes,51464186.0,ns,6
cost_secp256k1recover,,1,1,bytes,51480614.0,ns,6
cost_secp256k1recover,,1,1,bytes,51463286.0,ns,6
cost_secp256k1recover,,1,1,bytes,51462541.0,ns,6
cost_secp256k1recover,,1,1,bytes,51489350.0,ns,6
cost_secp256k1recover,,1,1,bytes,51443225.0,ns,6
cost_secp256k1recover,,1,1,bytes,51459673.0,ns,6
cost_secp256k1recover,,1,1,bytes,51529698.0,ns,6
cost_secp256k1recover,,1,1,bytes,51468748.0,ns,6
cost_secp256k1recover,,1,1,bytes,51522220.0,ns,6
cost_secp256k1recover,,1,1,bytes,51467217.0,ns,6
cost_secp256k1recover,,1,1,bytes,51463807.0,ns,6
cost_secp256k1recover,,1,1,bytes,51472348.0,ns,6
cost_secp256k1recover,,1,1,bytes,51457992.0,ns,6
cost_secp256k1recover,,1,1,bytes,51502261.0,ns,6
cost_secp256k1recover,,1,1,bytes,51485804.0,ns,6
cost_secp256k1recover,,1,1,bytes,51820215.0,ns,6
cost_secp256k1recover,,1,1,bytes,51629942.0,ns,6
cost_secp256k1recover,,1,1,bytes,51543480.0,ns,6
cost_secp256k1recover,,1,1,bytes,51490853.0,ns,6
cost_secp256k1recover,,1,1,bytes,51490715.0,ns,6
