group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_secp256k1recover,,1,1,bytes,3533949.0,ns,1
cost_secp256k1recover,,1,1,bytes,6825556.0,ns,2
cost_secp256k1recover,,1,1,bytes,10170777.0,ns,3
cost_secp256k1recover,,1,1,bytes,13600652.0,ns,4
cost_secp256k1recover,,1,1,bytes,16969130.0,ns,5
cost_secp256k1recover,,1,1,bytes,20374960.0,ns,6
cost_secp256k1recover,,1,1,bytes,23743967.0,ns,7
cost_secp256k1recover,,1,1,bytes,27260413.0,ns,8
cost_secp256k1recover,,1,1,bytes,30614544.0,ns,9
cost_secp256k1recover,,1,1,bytes,33949916.0,ns,10
cost_secp256k1recover,,1,1,bytes,37417404.0,ns,11
cost_secp256k1recover,,1,1,bytes,40742935.0,ns,12
cost_secp256k1recover,,1,1,bytes,44082539.0,ns,13
cost_secp256k1recover,,1,1,bytes,47547997.0,ns,14
cost_secp256k1recover,,1,1,bytes,50919843.0,ns,15
cost_secp256k1recover,,1,1,bytes,54648796.0,ns,16
cost_secp256k1recover,,1,1,bytes,57791566.0,ns,17
cost_secp256k1recover,,1,1,bytes,61449585.0,ns,18
cost_secp256k1recover,,1,1,bytes,64713551.0,ns,19
cost_secp256k1recover,,1,1,bytes,68031170.0,ns,20
cost_secp256k1recover,,1,1,bytes,71321108.0,ns,21
cost_secp256k1recover,,1,1,bytes,74781831.0,ns,22
cost_secp256k1recover,,1,1,bytes,78476627.0,ns,23
cost_secp256k1recover,,1,1,bytes,81542473.0,ns,24
cost_secp256k1recover,,1,1,bytes,84937394.0,ns,25
cost_secp256k1recover,,1,1,bytes,88278026.0,ns,26
cost_secp256k1recover,,1,1,bytes,91730938.0,ns,27
cost_secp256k1recover,,1,1,bytes,95010316.0,ns,28
cost_secp256k1recover,,1,1,bytes,98811069.0,ns,29
cost_secp256k1recover,,1,1,bytes,101791482.0,ns,30
cost_secp256k1recover,,1,1,bytes,105353083.0,ns,31
cost_secp256k1recover,,1,1,bytes,108713176.0,ns,32
cost_secp256k1recover,,1,1,bytes,112087483.0,ns,33
cost_secp256k1recover,,1,1,bytes,115485026.0,ns,34
