group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_secp256k1verify,,1,1,bytes,3443089.0,ns,1
cost_secp256k1verify,,1,1,bytes,6636072.0,ns,2
cost_secp256k1verify,,1,1,bytes,9921070.0,ns,3
cost_secp256k1verify,,1,1,bytes,13146345.0,ns,4
cost_secp256k1verify,,1,1,bytes,16439998.0,ns,5
cost_secp256k1verify,,1,1,bytes,19757946.0,ns,6
cost_secp256k1verify,,1,1,bytes,23047864.0,ns,7
cost_secp256k1verify,,1,1,bytes,26286404.0,ns,8
cost_secp256k1verify,,1,1,bytes,29568200.0,ns,9
cost_secp256k1verify,,1,1,bytes,32896095.0,ns,10
cost_secp256k1verify,,1,1,bytes,36162835.0,ns,11
cost_secp256k1verify,,1,1,bytes,39447691.0,ns,12
cost_secp256k1verify,,1,1,bytes,42714848.0,ns,13
cost_secp256k1verify,,1,1,bytes,45986257.0,ns,14
cost_secp256k1verify,,1,1,bytes,49279334.0,ns,15
cost_secp256k1verify,,1,1,bytes,52554403.0,ns,16
cost_secp256k1verify,,1,1,bytes,55848071.0,ns,17
cost_secp256k1verify,,1,1,bytes,59284638.0,ns,18
cost_secp256k1verify,,1,1,bytes,62477552.0,ns,19
cost_secp256k1verify,,1,1,bytes,65721282.0,ns,20
cost_secp256k1verify,,1,1,bytes,69337870.0,ns,21
cost_secp256k1verify,,1,1,bytes,72325688.0,ns,22
cost_secp256k1verify,,1,1,bytes,76534344.0,ns,23
cost_secp256k1verify,,1,1,bytes,79542977.0,ns,24
cost_secp256k1verify,,1,1,bytes,82182774.0,ns,25
cost_secp256k1verify,,1,1,bytes,85421265.0,ns,26
cost_secp256k1verify,,1,1,bytes,88727083.0,ns,27
cost_secp256k1verify,,1,1,bytes,91984136.0,ns,28
cost_secp256k1verify,,1,1,bytes,95312772.0,ns,29
cost_secp256k1verify,,1,1,bytes,98561879.0,ns,30
cost_secp256k1verify,,1,1,bytes,101844411.0,ns,31
cost_secp256k1verify,,1,1,bytes,105096359.0,ns,32
cost_secp256k1verify,,1,1,bytes,108379838.0,ns,33
cost_secp256k1verify,,1,1,bytes,112906980.0,ns,34
cost_secp256k1verify,,1,1,bytes,115974379.0,ns,35
cost_secp256k1verify,,1,1,bytes,118634868.0,ns,36
cost_secp256k1verify,,1,1,bytes,121727631.0,ns,37
cost_secp256k1verify,,1,1,bytes,124878387.0,ns,38
cost_secp256k1verify,,1,1,bytes,128207340.0,ns,39
cost_secp256k1verify,,1,1,bytes,131650011.0,ns,40
cost_secp256k1verify,,1,1,bytes,135711199.0,ns,41
cost_secp256k1verify,,1,1,bytes,139790925.0,ns,42
cost_secp256k1verify,,1,1,bytes,142145039.0,ns,43
cost_secp256k1verify,,1,1,bytes,145517081.0,ns,44
cost_secp256k1verify,,1,1,bytes,147792196.0,ns,45
cost_secp256k1verify,,1,1,bytes,151164372.0,ns,46
cost_secp256k1verify,,1,1,bytes,154420128.0,ns,47
cost_secp256k1verify,,1,1,bytes,157720793.0,ns,48
cost_secp256k1verify,,1,1,bytes,161428618.0,ns,49
cost_secp256k1verify,,1,1,bytes,164469746.0,ns,50
cost_secp256k1verify,,1,1,bytes,167605112.0,ns,51
cost_secp256k1verify,,1,1,bytes,170895307.0,ns,52
cost_secp256k1verify,,1,1,bytes,174154736.0,ns,53
cost_secp256k1verify,,1,1,bytes,178079649.0,ns,54
cost_secp256k1verify,,1,1,bytes,182546299.0,ns,55
cost_secp256k1verify,,1,1,bytes,183993461.0,ns,56
cost_secp256k1verify,,1,1,bytes,187297534.0,ns,57
cost_secp256k1verify,,1,1,bytes,190608302.0,ns,58
cost_secp256k1verify,,1,1,bytes,193816841.0,ns,59
cost_secp256k1verify,,1,1,bytes,199177494.0,ns,60
cost_secp256k1verify,,1,1,bytes,200465772.0,ns,61
cost_secp256k1verify,,1,1,bytes,203728556.0,ns,62
cost_secp256k1verify,,1,1,bytes,207402645.0,ns,63
cost_secp256k1verify,,1,1,bytes,211549494.0,ns,64
cost_secp256k1verify,,1,1,bytes,214001666.0,ns,65
cost_secp256k1verify,,1,1,bytes,217570590.0,ns,66
cost_secp256k1verify,,1,1,bytes,220036577.0,ns,67
cost_secp256k1verify,,1,1,bytes,223348009.0,ns,68
cost_secp256k1verify,,1,1,bytes,227650775.0,ns,69
cost_secp256k1verify,,1,1,bytes,231383015.0,ns,70
cost_secp256k1verify,,1,1,bytes,233321859.0,ns,71
cost_secp256k1verify,,1,1,bytes,236567104.0,ns,72
cost_secp256k1verify,,1,1,bytes,240476007.0,ns,73
cost_secp256k1verify,,1,1,bytes,243530859.0,ns,74
cost_secp256k1verify,,1,1,bytes,246453412.0,ns,75
cost_secp256k1verify,,1,1,bytes,249635607.0,ns,76
cost_secp256k1verify,,1,1,bytes,253943472.0,ns,77
cost_secp256k1verify,,1,1,bytes,256515178.0,ns,78
cost_secp256k1verify,,1,1,bytes,259715575.0,ns,79
cost_secp256k1verify,,1,1,bytes,262914396.0,ns,80
cost_secp256k1verify,,1,1,bytes,266725853.0,ns,81
cost_secp256k1verify,,1,1,bytes,270417053.0,ns,82
cost_secp256k1verify,,1,1,bytes,272619983.0,ns,83
cost_secp256k1verify,,1,1,bytes,275839300.0,ns,84
cost_secp256k1verify,,1,1,bytes,281657585.0,ns,85
cost_secp256k1verify,,1,1,bytes,283148882.0,ns,86
cost_secp256k1verify,,1,1,bytes,285916856.0,ns,87
cost_secp256k1verify,,1,1,bytes,290458333.0,ns,88
cost_secp256k1verify,,1,1,bytes,293251701.0,ns,89
cost_secp256k1verify,,1,1,bytes,295744616.0,ns,90
cost_secp256k1verify,,1,1,bytes,299434947.0,ns,91
cost_secp256k1verify,,1,1,bytes,303808013.0,ns,92
cost_secp256k1verify,,1,1,bytes,305695911.0,ns,93
cost_secp256k1verify,,1,1,bytes,309336223.0,ns,94
cost_secp256k1verify,,1,1,bytes,313549245.0,ns,95
cost_secp256k1verify,,1,1,bytes,316998039.0,ns,96
cost_secp256k1verify,,1,1,bytes,319204641.0,ns,97
cost_secp256k1verify,,1,1,bytes,322627466.0,ns,98
cost_secp256k1verify,,1,1,bytes,325510476.0,ns,99
cost_secp256k1verify,,1,1,bytes,328639031.0,ns,100
