group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_secp256k1verify,,1,1,bytes,3397406.0,ns,1
cost_secp256k1verify,,1,1,bytes,6625531.0,ns,2
cost_secp256k1verify,,1,1,bytes,9910611.0,ns,3
cost_secp256k1verify,,1,1,bytes,13448106.0,ns,4
cost_secp256k1verify,,1,1,bytes,16547764.0,ns,5
cost_secp256k1verify,,1,1,bytes,19883977.0,ns,6
cost_secp256k1verify,,1,1,bytes,23384786.0,ns,7
cost_secp256k1verify,,1,1,bytes,26389139.0,ns,8
cost_secp256k1verify,,1,1,bytes,29668882.0,ns,9
cost_secp256k1verify,,1,1,bytes,32890059.0,ns,10
cost_secp256k1verify,,1,1,bytes,36151412.0,ns,11
cost_secp256k1verify,,1,1,bytes,39456860.0,ns,12
cost_secp256k1verify,,1,1,bytes,42737304.0,ns,13
cost_secp256k1verify,,1,1,bytes,46275382.0,ns,14
cost_secp256k1verify,,1,1,bytes,49313076.0,ns,15
cost_secp256k1verify,,1,1,bytes,52611545.0,ns,16
cost_secp256k1verify,,1,1,bytes,55911270.0,ns,17
cost_secp256k1verify,,1,1,bytes,59184455.0,ns,18
cost_secp256k1verify,,1,1,bytes,62555019.0,ns,19
cost_secp256k1verify,,1,1,bytes,65780352.0,ns,20
cost_secp256k1verify,,1,1,bytes,69071338.0,ns,21
cost_secp256k1verify,,1,1,bytes,72356275.0,ns,22
cost_secp256k1verify,,1,1,bytes,75687892.0,ns,23
cost_secp256k1verify,,1,1,bytes,79438937.0,ns,24
cost_secp256k1verify,,1,1,bytes,82313354.0,ns,25
cost_secp256k1verify,,1,1,bytes,86931388.0,ns,26
cost_secp256k1verify,,1,1,bytes,89789071.0,ns,27
cost_secp256k1verify,,1,1,bytes,93216615.0,ns,28
cost_secp256k1verify,,1,1,bytes,95974795.0,ns,29
cost_secp256k1verify,,1,1,bytes,99225928.0,ns,30
cost_secp256k1verify,,1,1,bytes,102078073.0,ns,31
cost_secp256k1verify,,1,1,bytes,105232500.0,ns,32
cost_secp256k1verify,,1,1,bytes,108626289.0,ns,33
cost_secp256k1verify,,1,1,bytes,111855410.0,ns,34
cost_secp256k1verify,,1,1,bytes,115147166.0,ns,35
cost_secp256k1verify,,1,1,bytes,120222059.0,ns,36
cost_secp256k1verify,,1,1,bytes,122487873.0,ns,37
cost_secp256k1verify,,1,1,bytes,126775407.0,ns,38
cost_secp256k1verify,,1,1,bytes,129422802.0,ns,39
