group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_set_entry,,159992,159992,bytes,339127267.0,ns,1
cost_set_entry,,159992,159992,bytes,339086408.0,ns,1
cost_set_entry,,159992,159992,bytes,340928765.0,ns,1
cost_set_entry,,159992,159992,bytes,342976425.0,ns,1
cost_set_entry,,159992,159992,bytes,341836952.0,ns,1
cost_set_entry,,159992,159992,bytes,341685824.0,ns,1
cost_set_entry,,159992,159992,bytes,340189603.0,ns,1
cost_set_entry,,159992,159992,bytes,341632293.0,ns,1
cost_set_entry,,159992,159992,bytes,339124968.0,ns,1
cost_set_entry,,159992,159992,bytes,344759205.0,ns,1
cost_set_entry,,159992,159992,bytes,340859024.0,ns,1
cost_set_entry,,159992,159992,bytes,339533983.0,ns,1
cost_set_entry,,159992,159992,bytes,343697547.0,ns,1
cost_set_entry,,159992,159992,bytes,345350390.0,ns,1
cost_set_entry,,159992,159992,bytes,343392655.0,ns,1
cost_set_entry,,159992,159992,bytes,340456113.0,ns,1
cost_set_entry,,159992,159992,bytes,340733090.0,ns,1
cost_set_entry,,159992,159992,bytes,341833493.0,ns,1
cost_set_entry,,159992,159992,bytes,345759509.0,ns,1
cost_set_entry,,159992,159992,bytes,346624848.0,ns,1
cost_set_entry,,159992,159992,bytes,342240285.0,ns,1
cost_set_entry,,159992,159992,bytes,345541834.0,ns,1
cost_set_entry,,159992,159992,bytes,342082811.0,ns,1
cost_set_entry,,159992,159992,bytes,345148886.0,ns,1
cost_set_entry,,159992,159992,bytes,345915189.0,ns,1
cost_set_entry,,159992,159992,bytes,341012962.0,ns,1
cost_set_entry,,159992,159992,bytes,342384205.0,ns,1
cost_set_entry,,159992,159992,bytes,341269703.0,ns,1
cost_set_entry,,159992,159992,bytes,340321467.0,ns,1
cost_set_entry,,159992,159992,bytes,342199739.0,ns,1
cost_set_entry,,159992,159992,bytes,339734800.0,ns,1
cost_set_entry,,159992,159992,bytes,339270613.0,ns,1
cost_set_entry,,159992,159992,bytes,340903615.0,ns,1
cost_set_entry,,159992,159992,bytes,339540069.0,ns,1
cost_set_entry,,159992,159992,bytes,341099731.0,ns,1
cost_set_entry,,159992,159992,bytes,339207281.0,ns,1
cost_set_entry,,159992,159992,bytes,340255835.0,ns,1
cost_set_entry,,159992,159992,bytes,339972685.0,ns,1
cost_set_entry,,159992,159992,bytes,339298305.0,ns,1
cost_set_entry,,159992,159992,bytes,338132842.0,ns,1
cost_set_entry,,159992,159992,bytes,338764123.0,ns,1
cost_set_entry,,159992,159992,bytes,338882489.0,ns,1
cost_set_entry,,159992,159992,bytes,338889055.0,ns,1
cost_set_entry,,159992,159992,bytes,338074726.0,ns,1
cost_set_entry,,159992,159992,bytes,337855923.0,ns,1
cost_set_entry,,159992,159992,bytes,336880906.0,ns,1
cost_set_entry,,159992,159992,bytes,335062838.0,ns,1
cost_set_entry,,159992,159992,bytes,336555443.0,ns,1
cost_set_entry,,159992,159992,bytes,335858279.0,ns,1
cost_set_entry,,159992,159992,bytes,336381932.0,ns,1
cost_set_entry,,159992,159992,bytes,335826658.0,ns,1
cost_set_entry,,159992,159992,bytes,334596328.0,ns,1
cost_set_entry,,159992,159992,bytes,334351623.0,ns,1
cost_set_entry,,159992,159992,bytes,335969121.0,ns,1
cost_set_entry,,159992,159992,bytes,337413169.0,ns,1
cost_set_entry,,159992,159992,bytes,336525607.0,ns,1
cost_set_entry,,159992,159992,bytes,336276986.0,ns,1
cost_set_entry,,159992,159992,bytes,335505286.0,ns,1
cost_set_entry,,159992,159992,bytes,333349722.0,ns,1
cost_set_entry,,159992,159992,bytes,337302345.0,ns,1
cost_set_entry,,159992,159992,bytes,337221938.0,ns,1
cost_set_entry,,159992,159992,bytes,335914769.0,ns,1
cost_set_entry,,159992,159992,bytes,339814945.0,ns,1
cost_set_entry,,159992,159992,bytes,337795360.0,ns,1
cost_set_entry,,159992,159992,bytes,338414519.0,ns,1
cost_set_entry,,159992,159992,bytes,340430649.0,ns,1
cost_set_entry,,159992,159992,bytes,340342611.0,ns,1
cost_set_entry,,159992,159992,bytes,340775931.0,ns,1
cost_set_entry,,159992,159992,bytes,339878225.0,ns,1
cost_set_entry,,159992,159992,bytes,341153507.0,ns,1
cost_set_entry,,159992,159992,bytes,339251716.0,ns,1
cost_set_entry,,159992,159992,bytes,338623028.0,ns,1
cost_set_entry,,159992,159992,bytes,341113090.0,ns,1
cost_set_entry,,159992,159992,bytes,340194660.0,ns,1
cost_set_entry,,159992,159992,bytes,341530270.0,ns,1
cost_set_entry,,159992,159992,bytes,338769303.0,ns,1
cost_set_entry,,159992,159992,bytes,338057582.0,ns,1
cost_set_entry,,159992,159992,bytes,338985697.0,ns,1
cost_set_entry,,159992,159992,bytes,339255427.0,ns,1
cost_set_entry,,159992,159992,bytes,337821077.0,ns,1
cost_set_entry,,159992,159992,bytes,339183856.0,ns,1
cost_set_entry,,159992,159992,bytes,338392608.0,ns,1
cost_set_entry,,159992,159992,bytes,339286095.0,ns,1
cost_set_entry,,159992,159992,bytes,338986919.0,ns,1
cost_set_entry,,159992,159992,bytes,337941342.0,ns,1
cost_set_entry,,159992,159992,bytes,340743373.0,ns,1
cost_set_entry,,159992,159992,bytes,342838417.0,ns,1
cost_set_entry,,159992,159992,bytes,339325182.0,ns,1
cost_set_entry,,159992,159992,bytes,339693682.0,ns,1
cost_set_entry,,159992,159992,bytes,339782918.0,ns,1
cost_set_entry,,159992,159992,bytes,337839377.0,ns,1
cost_set_entry,,159992,159992,bytes,339506373.0,ns,1
cost_set_entry,,159992,159992,bytes,338620446.0,ns,1
cost_set_entry,,159992,159992,bytes,337844131.0,ns,1
cost_set_entry,,159992,159992,bytes,340284621.0,ns,1
cost_set_entry,,159992,159992,bytes,337142900.0,ns,1
cost_set_entry,,159992,159992,bytes,336804508.0,ns,1
cost_set_entry,,159992,159992,bytes,338512925.0,ns,1
cost_set_entry,,159992,159992,bytes,337163126.0,ns,1
cost_set_entry,,159992,159992,bytes,337486601.0,ns,1
