group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_set_var,,359997,359997,bytes,801619524.0,ns,1
cost_set_var,,359997,359997,bytes,812103799.0,ns,1
cost_set_var,,359997,359997,bytes,802066832.0,ns,1
cost_set_var,,359997,359997,bytes,798222478.0,ns,1
cost_set_var,,359997,359997,bytes,805158014.0,ns,1
cost_set_var,,359997,359997,bytes,807898531.0,ns,1
cost_set_var,,359997,359997,bytes,812340166.0,ns,1
cost_set_var,,359997,359997,bytes,809878971.0,ns,1
cost_set_var,,359997,359997,bytes,805425760.0,ns,1
cost_set_var,,359997,359997,bytes,804428734.0,ns,1
cost_set_var,,359997,359997,bytes,803015002.0,ns,1
cost_set_var,,359997,359997,bytes,801823649.0,ns,1
cost_set_var,,359997,359997,bytes,800476068.0,ns,1
cost_set_var,,359997,359997,bytes,806651415.0,ns,1
cost_set_var,,359997,359997,bytes,797259866.0,ns,1
cost_set_var,,359997,359997,bytes,802309013.0,ns,1
cost_set_var,,359997,359997,bytes,798701754.0,ns,1
cost_set_var,,359997,359997,bytes,805665449.0,ns,1
cost_set_var,,359997,359997,bytes,805484623.0,ns,1
cost_set_var,,359997,359997,bytes,797346109.0,ns,1
cost_set_var,,359997,359997,bytes,805375737.0,ns,1
cost_set_var,,359997,359997,bytes,799668802.0,ns,1
cost_set_var,,359997,359997,bytes,796856804.0,ns,1
cost_set_var,,359997,359997,bytes,805046978.0,ns,1
cost_set_var,,359997,359997,bytes,796203114.0,ns,1
cost_set_var,,359997,359997,bytes,793265412.0,ns,1
cost_set_var,,359997,359997,bytes,804040744.0,ns,1
cost_set_var,,359997,359997,bytes,788148760.0,ns,1
cost_set_var,,359997,359997,bytes,790131648.0,ns,1
cost_set_var,,359997,359997,bytes,798913843.0,ns,1
cost_set_var,,359997,359997,bytes,792679217.0,ns,1
cost_set_var,,359997,359997,bytes,793486776.0,ns,1
cost_set_var,,359997,359997,bytes,800211777.0,ns,1
cost_set_var,,359997,359997,bytes,795008553.0,ns,1
cost_set_var,,359997,359997,bytes,794453462.0,ns,1
cost_set_var,,359997,359997,bytes,800820123.0,ns,1
cost_set_var,,359997,359997,bytes,798415289.0,ns,1
cost_set_var,,359997,359997,bytes,798731813.0,ns,1
cost_set_var,,359997,359997,bytes,789554520.0,ns,1
cost_set_var,,359997,359997,bytes,788266049.0,ns,1
cost_set_var,,359997,359997,bytes,800426149.0,ns,1
cost_set_var,,359997,359997,bytes,791413231.0,ns,1
cost_set_var,,359997,359997,bytes,798038517.0,ns,1
cost_set_var,,359997,359997,bytes,798503291.0,ns,1
cost_set_var,,359997,359997,bytes,801909678.0,ns,1
cost_set_var,,359997,359997,bytes,801888954.0,ns,1
cost_set_var,,359997,359997,bytes,792183366.0,ns,1
cost_set_var,,359997,359997,bytes,795419310.0,ns,1
cost_set_var,,359997,359997,bytes,792770848.0,ns,1
cost_set_var,,359997,359997,bytes,800334669.0,ns,1
