group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_sha512t256,,16,16,bytes,2081232.0,ns,30
cost_sha512t256,,16,16,bytes,4105710.0,ns,60
cost_sha512t256,,16,16,bytes,6140129.0,ns,90
cost_sha512t256,,16,16,bytes,8247940.0,ns,120
cost_sha512t256,,16,16,bytes,10242900.0,ns,150
cost_sha512t256,,16,16,bytes,12284737.0,ns,180
cost_sha512t256,,16,16,bytes,14357287.0,ns,210
cost_sha512t256,,16,16,bytes,16365856.0,ns,240
cost_sha512t256,,16,16,bytes,18453646.0,ns,270
cost_sha512t256,,16,16,bytes,20466182.0,ns,300
cost_sha512t256,,16,16,bytes,22501937.0,ns,330
cost_sha512t256,,16,16,bytes,24557345.0,ns,360
cost_sha512t256,,16,16,bytes,26603677.0,ns,390
cost_sha512t256,,16,16,bytes,28658819.0,ns,420
cost_sha512t256,,16,16,bytes,30695630.0,ns,450
cost_sha512t256,,16,16,bytes,32723409.0,ns,480
cost_sha512t256,,16,16,bytes,34839999.0,ns,510
cost_sha512t256,,16,16,bytes,36834965.0,ns,540
cost_sha512t256,,16,16,bytes,38896346.0,ns,570
cost_sha512t256,,16,16,bytes,40917646.0,ns,600
cost_sha512t256,,16,16,bytes,42982980.0,ns,630
cost_sha512t256,,16,16,bytes,45056429.0,ns,660
cost_sha512t256,,16,16,bytes,47089574.0,ns,690
cost_sha512t256,,16,16,bytes,49176252.0,ns,720
cost_sha512t256,,16,16,bytes,51142986.0,ns,750
cost_sha512t256,,16,16,bytes,53309169.0,ns,780
cost_sha512t256,,16,16,bytes,55270655.0,ns,810
cost_sha512t256,,16,16,bytes,57333090.0,ns,840
cost_sha512t256,,16,16,bytes,59356647.0,ns,870
cost_sha512t256,,16,16,bytes,61400432.0,ns,900
cost_sha512t256,,16,16,bytes,63542856.0,ns,930
cost_sha512t256,,16,16,bytes,65523253.0,ns,960
cost_sha512t256,,16,16,bytes,67590207.0,ns,990
cost_sha512t256,,16,16,bytes,69553069.0,ns,1020
cost_sha512t256,,16,16,bytes,72030206.0,ns,1050
cost_sha512t256,,16,16,bytes,73759708.0,ns,1080
cost_sha512t256,,16,16,bytes,75758200.0,ns,1110
cost_sha512t256,,16,16,bytes,77815616.0,ns,1140
cost_sha512t256,,16,16,bytes,80153488.0,ns,1170
cost_sha512t256,,16,16,bytes,82073916.0,ns,1200
cost_sha512t256,,16,16,bytes,84207835.0,ns,1230
cost_sha512t256,,16,16,bytes,85965960.0,ns,1260
cost_sha512t256,,16,16,bytes,88065806.0,ns,1290
cost_sha512t256,,16,16,bytes,90065145.0,ns,1320
cost_sha512t256,,16,16,bytes,92113443.0,ns,1350
cost_sha512t256,,16,16,bytes,94141775.0,ns,1380
cost_sha512t256,,16,16,bytes,96250496.0,ns,1410
cost_sha512t256,,16,16,bytes,98287239.0,ns,1440
cost_sha512t256,,16,16,bytes,100281102.0,ns,1470
cost_sha512t256,,16,16,bytes,102386494.0,ns,1500
cost_sha512t256,,16,16,bytes,104602981.0,ns,1530
cost_sha512t256,,16,16,bytes,106619824.0,ns,1560
cost_sha512t256,,16,16,bytes,108563010.0,ns,1590
cost_sha512t256,,16,16,bytes,110523326.0,ns,1620
cost_sha512t256,,16,16,bytes,112583483.0,ns,1650
cost_sha512t256,,16,16,bytes,114599728.0,ns,1680
cost_sha512t256,,16,16,bytes,116717869.0,ns,1710
cost_sha512t256,,16,16,bytes,118759602.0,ns,1740
cost_sha512t256,,16,16,bytes,121292022.0,ns,1770
cost_sha512t256,,16,16,bytes,122881829.0,ns,1800
cost_sha512t256,,16,16,bytes,124887041.0,ns,1830
cost_sha512t256,,16,16,bytes,126960530.0,ns,1860
cost_sha512t256,,16,16,bytes,130279587.0,ns,1890
cost_sha512t256,,16,16,bytes,131013947.0,ns,1920
cost_sha512t256,,16,16,bytes,133112597.0,ns,1950
cost_sha512t256,,16,16,bytes,135071195.0,ns,1980
cost_sha512t256,,16,16,bytes,137199653.0,ns,2010
cost_sha512t256,,16,16,bytes,139222954.0,ns,2040
cost_sha512t256,,16,16,bytes,141209059.0,ns,2070
cost_sha512t256,,16,16,bytes,143276812.0,ns,2100
cost_sha512t256,,16,16,bytes,145346496.0,ns,2130
cost_sha512t256,,16,16,bytes,147394078.0,ns,2160
cost_sha512t256,,16,16,bytes,149760349.0,ns,2190
cost_sha512t256,,16,16,bytes,151425698.0,ns,2220
cost_sha512t256,,16,16,bytes,153863753.0,ns,2250
cost_sha512t256,,16,16,bytes,155566555.0,ns,2280
cost_sha512t256,,16,16,bytes,157628369.0,ns,2310
cost_sha512t256,,16,16,bytes,159706906.0,ns,2340
cost_sha512t256,,16,16,bytes,161656408.0,ns,2370
cost_sha512t256,,16,16,bytes,163951029.0,ns,2400
cost_sha512t256,,16,16,bytes,166016695.0,ns,2430
cost_sha512t256,,16,16,bytes,167818920.0,ns,2460
cost_sha512t256,,16,16,bytes,169784021.0,ns,2490
cost_sha512t256,,16,16,bytes,171903247.0,ns,2520
cost_sha512t256,,16,16,bytes,174043476.0,ns,2550
cost_sha512t256,,16,16,bytes,175941372.0,ns,2580
cost_sha512t256,,16,16,bytes,178048877.0,ns,2610
cost_sha512t256,,16,16,bytes,180064617.0,ns,2640
cost_sha512t256,,16,16,bytes,182105957.0,ns,2670
cost_sha512t256,,16,16,bytes,184193461.0,ns,2700
cost_sha512t256,,16,16,bytes,186187128.0,ns,2730
