group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_slice,,1,1,bytes,2107576.0,ns,9
cost_slice,,1,1,bytes,4018979.0,ns,18
cost_slice,,1,1,bytes,5986488.0,ns,27
cost_slice,,1,1,bytes,8003806.0,ns,36
cost_slice,,1,1,bytes,9984495.0,ns,45
cost_slice,,1,1,bytes,11983637.0,ns,54
cost_slice,,1,1,bytes,13979746.0,ns,63
cost_slice,,1,1,bytes,15961020.0,ns,72
cost_slice,,1,1,bytes,17979215.0,ns,81
cost_slice,,1,1,bytes,19956211.0,ns,90
cost_slice,,1,1,bytes,21960824.0,ns,99
cost_slice,,1,1,bytes,23963356.0,ns,108
cost_slice,,1,1,bytes,25960387.0,ns,117
cost_slice,,1,1,bytes,27957472.0,ns,126
cost_slice,,1,1,bytes,29971580.0,ns,135
cost_slice,,1,1,bytes,31940792.0,ns,144
cost_slice,,1,1,bytes,33947607.0,ns,153
cost_slice,,1,1,bytes,35962791.0,ns,162
cost_slice,,1,1,bytes,37920381.0,ns,171
cost_slice,,1,1,bytes,39942599.0,ns,180
cost_slice,,1,1,bytes,41928205.0,ns,189
cost_slice,,1,1,bytes,43937056.0,ns,198
cost_slice,,1,1,bytes,45897630.0,ns,207
cost_slice,,1,1,bytes,47907257.0,ns,216
cost_slice,,1,1,bytes,49902086.0,ns,225
cost_slice,,1,1,bytes,51910780.0,ns,234
cost_slice,,1,1,bytes,53940654.0,ns,243
cost_slice,,1,1,bytes,56192143.0,ns,252
cost_slice,,1,1,bytes,58336661.0,ns,261
cost_slice,,1,1,bytes,60623499.0,ns,270
cost_slice,,1,1,bytes,61932927.0,ns,279
cost_slice,,1,1,bytes,63950626.0,ns,288
cost_slice,,1,1,bytes,65905168.0,ns,297
cost_slice,,1,1,bytes,67897871.0,ns,306
cost_slice,,1,1,bytes,70406372.0,ns,315
cost_slice,,1,1,bytes,72828613.0,ns,324
cost_slice,,1,1,bytes,75209372.0,ns,333
cost_slice,,1,1,bytes,75854696.0,ns,342
cost_slice,,1,1,bytes,77864516.0,ns,351
cost_slice,,1,1,bytes,79888888.0,ns,360
cost_slice,,1,1,bytes,81954726.0,ns,369
cost_slice,,1,1,bytes,84061896.0,ns,378
cost_slice,,1,1,bytes,86150924.0,ns,387
cost_slice,,1,1,bytes,88348990.0,ns,396
cost_slice,,1,1,bytes,89846800.0,ns,405
cost_slice,,1,1,bytes,91847334.0,ns,414
cost_slice,,1,1,bytes,93820813.0,ns,423
cost_slice,,1,1,bytes,95818389.0,ns,432
cost_slice,,1,1,bytes,97884948.0,ns,441
cost_slice,,1,1,bytes,99820761.0,ns,450
cost_slice,,1,1,bytes,101805607.0,ns,459
cost_slice,,1,1,bytes,103917529.0,ns,468
cost_slice,,1,1,bytes,105840287.0,ns,477
cost_slice,,1,1,bytes,108977154.0,ns,486
cost_slice,,1,1,bytes,110322739.0,ns,495
cost_slice,,1,1,bytes,111834944.0,ns,504
cost_slice,,1,1,bytes,113890908.0,ns,513
cost_slice,,1,1,bytes,115862415.0,ns,522
cost_slice,,1,1,bytes,117858917.0,ns,531
cost_slice,,1,1,bytes,119844461.0,ns,540
cost_slice,,1,1,bytes,121787260.0,ns,549
cost_slice,,1,1,bytes,123850983.0,ns,558
cost_slice,,1,1,bytes,125858116.0,ns,567
cost_slice,,1,1,bytes,127858413.0,ns,576
cost_slice,,1,1,bytes,129773116.0,ns,585
cost_slice,,1,1,bytes,131955013.0,ns,594
cost_slice,,1,1,bytes,133761659.0,ns,603
cost_slice,,1,1,bytes,135729464.0,ns,612
cost_slice,,1,1,bytes,138354144.0,ns,621
cost_slice,,1,1,bytes,140682386.0,ns,630
cost_slice,,1,1,bytes,141745835.0,ns,639
cost_slice,,1,1,bytes,143785155.0,ns,648
cost_slice,,1,1,bytes,145772432.0,ns,657
cost_slice,,1,1,bytes,148615721.0,ns,666
cost_slice,,1,1,bytes,149818867.0,ns,675
cost_slice,,1,1,bytes,151781942.0,ns,684
cost_slice,,1,1,bytes,153838472.0,ns,693
cost_slice,,1,1,bytes,155949348.0,ns,702
cost_slice,,1,1,bytes,157700695.0,ns,711
cost_slice,,1,1,bytes,159782024.0,ns,720
cost_slice,,1,1,bytes,161798024.0,ns,729
cost_slice,,1,1,bytes,163819420.0,ns,738
cost_slice,,1,1,bytes,167312578.0,ns,747
cost_slice,,1,1,bytes,167822722.0,ns,756
cost_slice,,1,1,bytes,169981497.0,ns,765
cost_slice,,1,1,bytes,171856426.0,ns,774
cost_slice,,1,1,bytes,173810049.0,ns,783
cost_slice,,1,1,bytes,175852161.0,ns,792
cost_slice,,1,1,bytes,177799558.0,ns,801
cost_slice,,1,1,bytes,179704574.0,ns,810
cost_slice,,1,1,bytes,181711487.0,ns,819
cost_slice,,1,1,bytes,183753920.0,ns,828
cost_slice,,1,1,bytes,185719916.0,ns,837
cost_slice,,1,1,bytes,188859076.0,ns,846
cost_slice,,1,1,bytes,189811624.0,ns,855
cost_slice,,1,1,bytes,191702899.0,ns,864
cost_slice,,1,1,bytes,194657981.0,ns,873
cost_slice,,1,1,bytes,195621610.0,ns,882
cost_slice,,1,1,bytes,197623080.0,ns,891
cost_slice,,1,1,bytes,199930503.0,ns,900
