group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_slice,,1,1,bytes,2222489.0,ns,9
cost_slice,,1,1,bytes,4353920.0,ns,18
cost_slice,,1,1,bytes,6501831.0,ns,27
cost_slice,,1,1,bytes,8660562.0,ns,36
cost_slice,,1,1,bytes,10839278.0,ns,45
cost_slice,,1,1,bytes,12991215.0,ns,54
cost_slice,,1,1,bytes,15150721.0,ns,63
cost_slice,,1,1,bytes,17336542.0,ns,72
cost_slice,,1,1,bytes,19504115.0,ns,81
cost_slice,,1,1,bytes,21667489.0,ns,90
cost_slice,,1,1,bytes,23839311.0,ns,99
cost_slice,,1,1,bytes,27323336.0,ns,108
cost_slice,,1,1,bytes,28155837.0,ns,117
cost_slice,,1,1,bytes,30354953.0,ns,126
cost_slice,,1,1,bytes,32501400.0,ns,135
cost_slice,,1,1,bytes,34661274.0,ns,144
cost_slice,,1,1,bytes,36885934.0,ns,153
cost_slice,,1,1,bytes,39026478.0,ns,162
cost_slice,,1,1,bytes,41189809.0,ns,171
cost_slice,,1,1,bytes,43367234.0,ns,180
cost_slice,,1,1,bytes,45537000.0,ns,189
cost_slice,,1,1,bytes,48318588.0,ns,198
cost_slice,,1,1,bytes,50424942.0,ns,207
cost_slice,,1,1,bytes,52661844.0,ns,216
cost_slice,,1,1,bytes,55264056.0,ns,225
cost_slice,,1,1,bytes,57046238.0,ns,234
cost_slice,,1,1,bytes,58597002.0,ns,243
cost_slice,,1,1,bytes,61217554.0,ns,252
cost_slice,,1,1,bytes,62950366.0,ns,261
cost_slice,,1,1,bytes,65052362.0,ns,270
cost_slice,,1,1,bytes,67222669.0,ns,279
cost_slice,,1,1,bytes,69400444.0,ns,288
cost_slice,,1,1,bytes,71546930.0,ns,297
cost_slice,,1,1,bytes,73688525.0,ns,306
cost_slice,,1,1,bytes,75912772.0,ns,315
cost_slice,,1,1,bytes,78032982.0,ns,324
cost_slice,,1,1,bytes,81474917.0,ns,333
cost_slice,,1,1,bytes,82401370.0,ns,342
cost_slice,,1,1,bytes,84596519.0,ns,351
cost_slice,,1,1,bytes,86655566.0,ns,360
cost_slice,,1,1,bytes,88803290.0,ns,369
cost_slice,,1,1,bytes,91002197.0,ns,378
cost_slice,,1,1,bytes,93293214.0,ns,387
cost_slice,,1,1,bytes,95445668.0,ns,396
cost_slice,,1,1,bytes,97541591.0,ns,405
cost_slice,,1,1,bytes,99789548.0,ns,414
cost_slice,,1,1,bytes,102040110.0,ns,423
cost_slice,,1,1,bytes,104892396.0,ns,432
cost_slice,,1,1,bytes,106897069.0,ns,441
cost_slice,,1,1,bytes,108336691.0,ns,450
cost_slice,,1,1,bytes,110473286.0,ns,459
cost_slice,,1,1,bytes,113752681.0,ns,468
cost_slice,,1,1,bytes,114687961.0,ns,477
cost_slice,,1,1,bytes,116943450.0,ns,486
cost_slice,,1,1,bytes,119136821.0,ns,495
cost_slice,,1,1,bytes,121832124.0,ns,504
cost_slice,,1,1,bytes,123979830.0,ns,513
cost_slice,,1,1,bytes,125871885.0,ns,522
cost_slice,,1,1,bytes,127895434.0,ns,531
cost_slice,,1,1,bytes,130080019.0,ns,540
cost_slice,,1,1,bytes,132264662.0,ns,549
cost_slice,,1,1,bytes,134414657.0,ns,558
cost_slice,,1,1,bytes,136556328.0,ns,567
cost_slice,,1,1,bytes,138620687.0,ns,576
cost_slice,,1,1,bytes,142820573.0,ns,585
cost_slice,,1,1,bytes,143129224.0,ns,594
cost_slice,,1,1,bytes,145540277.0,ns,603
cost_slice,,1,1,bytes,147320622.0,ns,612
cost_slice,,1,1,bytes,149465469.0,ns,621
cost_slice,,1,1,bytes,151556907.0,ns,630
cost_slice,,1,1,bytes,154251266.0,ns,639
cost_slice,,1,1,bytes,156521330.0,ns,648
cost_slice,,1,1,bytes,158329291.0,ns,657
cost_slice,,1,1,bytes,160383593.0,ns,666
cost_slice,,1,1,bytes,162639538.0,ns,675
cost_slice,,1,1,bytes,164700338.0,ns,684
cost_slice,,1,1,bytes,166845106.0,ns,693
cost_slice,,1,1,bytes,170020783.0,ns,702
cost_slice,,1,1,bytes,172176032.0,ns,711
cost_slice,,1,1,bytes,175614753.0,ns,720
cost_slice,,1,1,bytes,175588360.0,ns,729
cost_slice,,1,1,bytes,177763536.0,ns,738
cost_slice,,1,1,bytes,179778662.0,ns,747
cost_slice,,1,1,bytes,181922136.0,ns,756
cost_slice,,1,1,bytes,184223800.0,ns,765
cost_slice,,1,1,bytes,186213302.0,ns,774
cost_slice,,1,1,bytes,189238090.0,ns,783
cost_slice,,1,1,bytes,192134623.0,ns,792
cost_slice,,1,1,bytes,193669722.0,ns,801
cost_slice,,1,1,bytes,195762639.0,ns,810
cost_slice,,1,1,bytes,197025017.0,ns,819
cost_slice,,1,1,bytes,199274832.0,ns,828
cost_slice,,1,1,bytes,201350227.0,ns,837
cost_slice,,1,1,bytes,205485568.0,ns,846
cost_slice,,1,1,bytes,205943820.0,ns,855
cost_slice,,1,1,bytes,208045986.0,ns,864
cost_slice,,1,1,bytes,210043971.0,ns,873
cost_slice,,1,1,bytes,212434983.0,ns,882
cost_slice,,1,1,bytes,214452627.0,ns,891
cost_slice,,1,1,bytes,216935456.0,ns,900
