group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_sqrti,,1,1,bytes,1021650.0,ns,10
cost_sqrti,,1,1,bytes,1960209.0,ns,20
cost_sqrti,,1,1,bytes,2967367.0,ns,30
cost_sqrti,,1,1,bytes,3954631.0,ns,40
cost_sqrti,,1,1,bytes,4921647.0,ns,50
cost_sqrti,,1,1,bytes,5906320.0,ns,60
cost_sqrti,,1,1,bytes,6907850.0,ns,70
cost_sqrti,,1,1,bytes,8219270.0,ns,80
cost_sqrti,,1,1,bytes,9323165.0,ns,90
cost_sqrti,,1,1,bytes,10341884.0,ns,100
cost_sqrti,,1,1,bytes,11392093.0,ns,110
cost_sqrti,,1,1,bytes,11973246.0,ns,120
cost_sqrti,,1,1,bytes,12770929.0,ns,130
cost_sqrti,,1,1,bytes,13751776.0,ns,140
cost_sqrti,,1,1,bytes,15339405.0,ns,150
cost_sqrti,,1,1,bytes,16566436.0,ns,160
cost_sqrti,,1,1,bytes,16884698.0,ns,170
cost_sqrti,,1,1,bytes,17832637.0,ns,180
cost_sqrti,,1,1,bytes,19519502.0,ns,190
cost_sqrti,,1,1,bytes,19629628.0,ns,200
cost_sqrti,,1,1,bytes,20612538.0,ns,210
cost_sqrti,,1,1,bytes,21589458.0,ns,220
cost_sqrti,,1,1,bytes,22893725.0,ns,230
cost_sqrti,,1,1,bytes,24432930.0,ns,240
cost_sqrti,,1,1,bytes,25865317.0,ns,250
cost_sqrti,,1,1,bytes,26256276.0,ns,260
cost_sqrti,,1,1,bytes,26496301.0,ns,270
cost_sqrti,,1,1,bytes,27686660.0,ns,280
cost_sqrti,,1,1,bytes,28494752.0,ns,290
cost_sqrti,,1,1,bytes,29467870.0,ns,300
cost_sqrti,,1,1,bytes,30487043.0,ns,310
cost_sqrti,,1,1,bytes,32885569.0,ns,320
cost_sqrti,,1,1,bytes,32676477.0,ns,330
cost_sqrti,,1,1,bytes,33876608.0,ns,340
cost_sqrti,,1,1,bytes,34803655.0,ns,350
cost_sqrti,,1,1,bytes,35365760.0,ns,360
cost_sqrti,,1,1,bytes,36386234.0,ns,370
cost_sqrti,,1,1,bytes,37737812.0,ns,380
cost_sqrti,,1,1,bytes,38276028.0,ns,390
cost_sqrti,,1,1,bytes,39317487.0,ns,400
cost_sqrti,,1,1,bytes,40281614.0,ns,410
cost_sqrti,,1,1,bytes,41877912.0,ns,420
cost_sqrti,,1,1,bytes,42281882.0,ns,430
cost_sqrti,,1,1,bytes,43726799.0,ns,440
cost_sqrti,,1,1,bytes,44246668.0,ns,450
cost_sqrti,,1,1,bytes,45362532.0,ns,460
cost_sqrti,,1,1,bytes,46417679.0,ns,470
cost_sqrti,,1,1,bytes,47341365.0,ns,480
cost_sqrti,,1,1,bytes,48178072.0,ns,490
cost_sqrti,,1,1,bytes,49347809.0,ns,500
cost_sqrti,,1,1,bytes,50622900.0,ns,510
cost_sqrti,,1,1,bytes,52110911.0,ns,520
cost_sqrti,,1,1,bytes,52063778.0,ns,530
cost_sqrti,,1,1,bytes,53082359.0,ns,540
cost_sqrti,,1,1,bytes,55170624.0,ns,550
cost_sqrti,,1,1,bytes,56067565.0,ns,560
cost_sqrti,,1,1,bytes,56272703.0,ns,570
cost_sqrti,,1,1,bytes,58794881.0,ns,580
cost_sqrti,,1,1,bytes,58682647.0,ns,590
cost_sqrti,,1,1,bytes,61255209.0,ns,600
cost_sqrti,,1,1,bytes,62816403.0,ns,610
cost_sqrti,,1,1,bytes,60899712.0,ns,620
cost_sqrti,,1,1,bytes,63094901.0,ns,630
cost_sqrti,,1,1,bytes,64433274.0,ns,640
cost_sqrti,,1,1,bytes,65473595.0,ns,650
cost_sqrti,,1,1,bytes,66874240.0,ns,660
cost_sqrti,,1,1,bytes,67411644.0,ns,670
cost_sqrti,,1,1,bytes,67031996.0,ns,680
cost_sqrti,,1,1,bytes,67942302.0,ns,690
cost_sqrti,,1,1,bytes,70540020.0,ns,700
cost_sqrti,,1,1,bytes,71777590.0,ns,710
cost_sqrti,,1,1,bytes,70742624.0,ns,720
cost_sqrti,,1,1,bytes,74570355.0,ns,730
cost_sqrti,,1,1,bytes,73076557.0,ns,740
cost_sqrti,,1,1,bytes,74294051.0,ns,750
cost_sqrti,,1,1,bytes,75486486.0,ns,760
cost_sqrti,,1,1,bytes,76235418.0,ns,770
cost_sqrti,,1,1,bytes,76618097.0,ns,780
cost_sqrti,,1,1,bytes,77604094.0,ns,790
cost_sqrti,,1,1,bytes,78470232.0,ns,800
cost_sqrti,,1,1,bytes,79482980.0,ns,810
cost_sqrti,,1,1,bytes,80431431.0,ns,820
cost_sqrti,,1,1,bytes,83541050.0,ns,830
cost_sqrti,,1,1,bytes,83067739.0,ns,840
cost_sqrti,,1,1,bytes,84140479.0,ns,850
cost_sqrti,,1,1,bytes,86856562.0,ns,860
cost_sqrti,,1,1,bytes,86184370.0,ns,870
cost_sqrti,,1,1,bytes,87444363.0,ns,880
cost_sqrti,,1,1,bytes,89856768.0,ns,890
cost_sqrti,,1,1,bytes,89129427.0,ns,900
cost_sqrti,,1,1,bytes,89758896.0,ns,910
cost_sqrti,,1,1,bytes,93453768.0,ns,920
cost_sqrti,,1,1,bytes,92746588.0,ns,930
cost_sqrti,,1,1,bytes,93562262.0,ns,940
cost_sqrti,,1,1,bytes,93528110.0,ns,950
cost_sqrti,,1,1,bytes,96613536.0,ns,960
cost_sqrti,,1,1,bytes,96852821.0,ns,970
cost_sqrti,,1,1,bytes,96944506.0,ns,980
cost_sqrti,,1,1,bytes,100651620.0,ns,990
cost_sqrti,,1,1,bytes,99265664.0,ns,1000
