group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_sqrti,,1,1,bytes,2173390.0,ns,49
cost_sqrti,,1,1,bytes,4013001.0,ns,98
cost_sqrti,,1,1,bytes,6014058.0,ns,147
cost_sqrti,,1,1,bytes,8008993.0,ns,196
cost_sqrti,,1,1,bytes,10015797.0,ns,245
cost_sqrti,,1,1,bytes,12022412.0,ns,294
cost_sqrti,,1,1,bytes,14021972.0,ns,343
cost_sqrti,,1,1,bytes,16028764.0,ns,392
cost_sqrti,,1,1,bytes,18029171.0,ns,441
cost_sqrti,,1,1,bytes,20046542.0,ns,490
cost_sqrti,,1,1,bytes,22036968.0,ns,539
cost_sqrti,,1,1,bytes,24042905.0,ns,588
cost_sqrti,,1,1,bytes,26045587.0,ns,637
cost_sqrti,,1,1,bytes,28047361.0,ns,686
cost_sqrti,,1,1,bytes,30055121.0,ns,735
cost_sqrti,,1,1,bytes,32068481.0,ns,784
cost_sqrti,,1,1,bytes,34055305.0,ns,833
cost_sqrti,,1,1,bytes,36133920.0,ns,882
cost_sqrti,,1,1,bytes,38064594.0,ns,931
cost_sqrti,,1,1,bytes,40101129.0,ns,980
cost_sqrti,,1,1,bytes,42084494.0,ns,1029
cost_sqrti,,1,1,bytes,44074248.0,ns,1078
cost_sqrti,,1,1,bytes,46084431.0,ns,1127
cost_sqrti,,1,1,bytes,48101943.0,ns,1176
cost_sqrti,,1,1,bytes,50378203.0,ns,1225
cost_sqrti,,1,1,bytes,52269296.0,ns,1274
cost_sqrti,,1,1,bytes,54084617.0,ns,1323
cost_sqrti,,1,1,bytes,56108501.0,ns,1372
cost_sqrti,,1,1,bytes,58099827.0,ns,1421
cost_sqrti,,1,1,bytes,60100730.0,ns,1470
cost_sqrti,,1,1,bytes,62098224.0,ns,1519
cost_sqrti,,1,1,bytes,64604603.0,ns,1568
cost_sqrti,,1,1,bytes,66149840.0,ns,1617
cost_sqrti,,1,1,bytes,68453569.0,ns,1666
cost_sqrti,,1,1,bytes,70344188.0,ns,1715
cost_sqrti,,1,1,bytes,72232683.0,ns,1764
cost_sqrti,,1,1,bytes,74203175.0,ns,1813
cost_sqrti,,1,1,bytes,76141124.0,ns,1862
cost_sqrti,,1,1,bytes,78323641.0,ns,1911
cost_sqrti,,1,1,bytes,80229956.0,ns,1960
cost_sqrti,,1,1,bytes,82432892.0,ns,2009
cost_sqrti,,1,1,bytes,84287751.0,ns,2058
cost_sqrti,,1,1,bytes,86176734.0,ns,2107
cost_sqrti,,1,1,bytes,88251534.0,ns,2156
cost_sqrti,,1,1,bytes,90271019.0,ns,2205
cost_sqrti,,1,1,bytes,92255855.0,ns,2254
cost_sqrti,,1,1,bytes,94297400.0,ns,2303
cost_sqrti,,1,1,bytes,96167956.0,ns,2352
cost_sqrti,,1,1,bytes,98157988.0,ns,2401
cost_sqrti,,1,1,bytes,100178019.0,ns,2450
cost_sqrti,,1,1,bytes,102356868.0,ns,2499
cost_sqrti,,1,1,bytes,104463976.0,ns,2548
cost_sqrti,,1,1,bytes,106171136.0,ns,2597
cost_sqrti,,1,1,bytes,108178045.0,ns,2646
cost_sqrti,,1,1,bytes,110721660.0,ns,2695
cost_sqrti,,1,1,bytes,112198074.0,ns,2744
cost_sqrti,,1,1,bytes,114223008.0,ns,2793
cost_sqrti,,1,1,bytes,116230027.0,ns,2842
cost_sqrti,,1,1,bytes,118230735.0,ns,2891
cost_sqrti,,1,1,bytes,120237963.0,ns,2940
cost_sqrti,,1,1,bytes,122488161.0,ns,2989
cost_sqrti,,1,1,bytes,124209276.0,ns,3038
cost_sqrti,,1,1,bytes,126272925.0,ns,3087
cost_sqrti,,1,1,bytes,128244579.0,ns,3136
cost_sqrti,,1,1,bytes,130307136.0,ns,3185
cost_sqrti,,1,1,bytes,132478968.0,ns,3234
cost_sqrti,,1,1,bytes,134464073.0,ns,3283
cost_sqrti,,1,1,bytes,136927495.0,ns,3332
cost_sqrti,,1,1,bytes,138424310.0,ns,3381
cost_sqrti,,1,1,bytes,140261195.0,ns,3430
cost_sqrti,,1,1,bytes,142543335.0,ns,3479
cost_sqrti,,1,1,bytes,144235055.0,ns,3528
cost_sqrti,,1,1,bytes,146325895.0,ns,3577
