group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_string_to_int,,1,1,bytes,2063150.0,ns,29
cost_string_to_int,,1,1,bytes,4116055.0,ns,58
cost_string_to_int,,1,1,bytes,6183921.0,ns,87
cost_string_to_int,,1,1,bytes,8237550.0,ns,116
cost_string_to_int,,1,1,bytes,10368680.0,ns,145
cost_string_to_int,,1,1,bytes,12345724.0,ns,174
cost_string_to_int,,1,1,bytes,14378768.0,ns,203
cost_string_to_int,,1,1,bytes,16441866.0,ns,232
cost_string_to_int,,1,1,bytes,18564417.0,ns,261
cost_string_to_int,,1,1,bytes,20597187.0,ns,290
cost_string_to_int,,1,1,bytes,22661041.0,ns,319
cost_string_to_int,,1,1,bytes,24728448.0,ns,348
cost_string_to_int,,1,1,bytes,26801492.0,ns,377
cost_string_to_int,,1,1,bytes,28907082.0,ns,406
cost_string_to_int,,1,1,bytes,30904641.0,ns,435
cost_string_to_int,,1,1,bytes,33247189.0,ns,464
cost_string_to_int,,1,1,bytes,35042697.0,ns,493
cost_string_to_int,,1,1,bytes,37118885.0,ns,522
cost_string_to_int,,1,1,bytes,39178140.0,ns,551
cost_string_to_int,,1,1,bytes,41163831.0,ns,580
cost_string_to_int,,1,1,bytes,43232650.0,ns,609
cost_string_to_int,,1,1,bytes,45195665.0,ns,638
cost_string_to_int,,1,1,bytes,47284482.0,ns,667
cost_string_to_int,,1,1,bytes,49232517.0,ns,696
cost_string_to_int,,1,1,bytes,51296740.0,ns,725
cost_string_to_int,,1,1,bytes,53921999.0,ns,754
cost_string_to_int,,1,1,bytes,55707767.0,ns,783
cost_string_to_int,,1,1,bytes,57744816.0,ns,812
cost_string_to_int,,1,1,bytes,59821449.0,ns,841
cost_string_to_int,,1,1,bytes,61941936.0,ns,870
cost_string_to_int,,1,1,bytes,63585338.0,ns,899
cost_string_to_int,,1,1,bytes,66210464.0,ns,928
cost_string_to_int,,1,1,bytes,68114481.0,ns,957
cost_string_to_int,,1,1,bytes,70200237.0,ns,986
cost_string_to_int,,1,1,bytes,72360002.0,ns,1015
cost_string_to_int,,1,1,bytes,74067173.0,ns,1044
cost_string_to_int,,1,1,bytes,76302217.0,ns,1073
cost_string_to_int,,1,1,bytes,78351546.0,ns,1102
cost_string_to_int,,1,1,bytes,80506104.0,ns,1131
cost_string_to_int,,1,1,bytes,82442748.0,ns,1160
cost_string_to_int,,1,1,bytes,84366742.0,ns,1189
cost_string_to_int,,1,1,bytes,85967684.0,ns,1218
cost_string_to_int,,1,1,bytes,88031379.0,ns,1247
cost_string_to_int,,1,1,bytes,90114868.0,ns,1276
cost_string_to_int,,1,1,bytes,92752758.0,ns,1305
cost_string_to_int,,1,1,bytes,94254019.0,ns,1334
cost_string_to_int,,1,1,bytes,96466806.0,ns,1363
cost_string_to_int,,1,1,bytes,98288929.0,ns,1392
cost_string_to_int,,1,1,bytes,100293016.0,ns,1421
cost_string_to_int,,1,1,bytes,102412277.0,ns,1450
cost_string_to_int,,1,1,bytes,104497783.0,ns,1479
cost_string_to_int,,1,1,bytes,106484784.0,ns,1508
cost_string_to_int,,1,1,bytes,108930408.0,ns,1537
cost_string_to_int,,1,1,bytes,111529491.0,ns,1566
cost_string_to_int,,1,1,bytes,112752127.0,ns,1595
cost_string_to_int,,1,1,bytes,114932663.0,ns,1624
cost_string_to_int,,1,1,bytes,116906810.0,ns,1653
cost_string_to_int,,1,1,bytes,118850663.0,ns,1682
cost_string_to_int,,1,1,bytes,120974058.0,ns,1711
cost_string_to_int,,1,1,bytes,123541708.0,ns,1740
cost_string_to_int,,1,1,bytes,125987707.0,ns,1769
cost_string_to_int,,1,1,bytes,128043510.0,ns,1798
cost_string_to_int,,1,1,bytes,130155112.0,ns,1827
cost_string_to_int,,1,1,bytes,132540332.0,ns,1856
cost_string_to_int,,1,1,bytes,134116986.0,ns,1885
cost_string_to_int,,1,1,bytes,135982191.0,ns,1914
cost_string_to_int,,1,1,bytes,137914111.0,ns,1943
cost_string_to_int,,1,1,bytes,140012725.0,ns,1972
cost_string_to_int,,1,1,bytes,141332161.0,ns,2001
cost_string_to_int,,1,1,bytes,144791535.0,ns,2030
cost_string_to_int,,1,1,bytes,145448834.0,ns,2059
cost_string_to_int,,1,1,bytes,147486916.0,ns,2088
cost_string_to_int,,1,1,bytes,149592668.0,ns,2117
cost_string_to_int,,1,1,bytes,152105939.0,ns,2146
cost_string_to_int,,1,1,bytes,153604535.0,ns,2175
cost_string_to_int,,1,1,bytes,155624113.0,ns,2204
cost_string_to_int,,1,1,bytes,159398227.0,ns,2233
cost_string_to_int,,1,1,bytes,161189710.0,ns,2262
cost_string_to_int,,1,1,bytes,162875152.0,ns,2291
cost_string_to_int,,1,1,bytes,164603533.0,ns,2320
cost_string_to_int,,1,1,bytes,166094348.0,ns,2349
cost_string_to_int,,1,1,bytes,167964822.0,ns,2378
cost_string_to_int,,1,1,bytes,170037147.0,ns,2407
cost_string_to_int,,1,1,bytes,172004018.0,ns,2436
cost_string_to_int,,1,1,bytes,174075649.0,ns,2465
cost_string_to_int,,1,1,bytes,176143759.0,ns,2494
cost_string_to_int,,1,1,bytes,178223341.0,ns,2523
cost_string_to_int,,1,1,bytes,181382969.0,ns,2552
cost_string_to_int,,1,1,bytes,182827386.0,ns,2581
cost_string_to_int,,1,1,bytes,185622084.0,ns,2610
cost_string_to_int,,1,1,bytes,186396462.0,ns,2639
cost_string_to_int,,1,1,bytes,188870066.0,ns,2668
cost_string_to_int,,1,1,bytes,190962149.0,ns,2697
cost_string_to_int,,1,1,bytes,193485858.0,ns,2726
cost_string_to_int,,1,1,bytes,194566733.0,ns,2755
cost_string_to_int,,1,1,bytes,196923342.0,ns,2784
cost_string_to_int,,1,1,bytes,199227903.0,ns,2813
cost_string_to_int,,1,1,bytes,201768267.0,ns,2842
cost_string_to_int,,1,1,bytes,204864994.0,ns,2871
cost_string_to_int,,1,1,bytes,206392325.0,ns,2900
