group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_string_to_int,,1,1,bytes,2136809.0,ns,28
cost_string_to_int,,1,1,bytes,4026975.0,ns,56
cost_string_to_int,,1,1,bytes,6038144.0,ns,84
cost_string_to_int,,1,1,bytes,8038503.0,ns,112
cost_string_to_int,,1,1,bytes,10025340.0,ns,140
cost_string_to_int,,1,1,bytes,12057144.0,ns,168
cost_string_to_int,,1,1,bytes,14068915.0,ns,196
cost_string_to_int,,1,1,bytes,16038654.0,ns,224
cost_string_to_int,,1,1,bytes,18025236.0,ns,252
cost_string_to_int,,1,1,bytes,20014355.0,ns,280
cost_string_to_int,,1,1,bytes,22025759.0,ns,308
cost_string_to_int,,1,1,bytes,24218636.0,ns,336
cost_string_to_int,,1,1,bytes,26143059.0,ns,364
cost_string_to_int,,1,1,bytes,28226767.0,ns,392
cost_string_to_int,,1,1,bytes,30935022.0,ns,420
cost_string_to_int,,1,1,bytes,32437795.0,ns,448
cost_string_to_int,,1,1,bytes,34127115.0,ns,476
cost_string_to_int,,1,1,bytes,36111538.0,ns,504
cost_string_to_int,,1,1,bytes,38069715.0,ns,532
cost_string_to_int,,1,1,bytes,40080096.0,ns,560
cost_string_to_int,,1,1,bytes,42216648.0,ns,588
cost_string_to_int,,1,1,bytes,44114798.0,ns,616
cost_string_to_int,,1,1,bytes,46243702.0,ns,644
cost_string_to_int,,1,1,bytes,48185074.0,ns,672
cost_string_to_int,,1,1,bytes,50150352.0,ns,700
cost_string_to_int,,1,1,bytes,52274649.0,ns,728
cost_string_to_int,,1,1,bytes,54678518.0,ns,756
cost_string_to_int,,1,1,bytes,57530915.0,ns,784
cost_string_to_int,,1,1,bytes,58922171.0,ns,812
cost_string_to_int,,1,1,bytes,60791677.0,ns,840
cost_string_to_int,,1,1,bytes,62535980.0,ns,868
cost_string_to_int,,1,1,bytes,64470895.0,ns,896
cost_string_to_int,,1,1,bytes,66293396.0,ns,924
cost_string_to_int,,1,1,bytes,68254470.0,ns,952
cost_string_to_int,,1,1,bytes,70541224.0,ns,980
cost_string_to_int,,1,1,bytes,73156202.0,ns,1008
