group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_string_to_uint,,1,1,bytes,1976130.0,ns,27
cost_string_to_uint,,1,1,bytes,3912380.0,ns,54
cost_string_to_uint,,1,1,bytes,5843010.0,ns,81
cost_string_to_uint,,1,1,bytes,7840560.0,ns,108
cost_string_to_uint,,1,1,bytes,9786045.0,ns,135
cost_string_to_uint,,1,1,bytes,11735084.0,ns,162
cost_string_to_uint,,1,1,bytes,13682018.0,ns,189
cost_string_to_uint,,1,1,bytes,15585745.0,ns,216
cost_string_to_uint,,1,1,bytes,17495486.0,ns,243
cost_string_to_uint,,1,1,bytes,19373706.0,ns,270
cost_string_to_uint,,1,1,bytes,21328163.0,ns,297
cost_string_to_uint,,1,1,bytes,23261640.0,ns,324
cost_string_to_uint,,1,1,bytes,25198242.0,ns,351
cost_string_to_uint,,1,1,bytes,27179493.0,ns,378
cost_string_to_uint,,1,1,bytes,29072977.0,ns,405
cost_string_to_uint,,1,1,bytes,31042389.0,ns,432
cost_string_to_uint,,1,1,bytes,33018143.0,ns,459
cost_string_to_uint,,1,1,bytes,34965401.0,ns,486
cost_string_to_uint,,1,1,bytes,36834963.0,ns,513
cost_string_to_uint,,1,1,bytes,38881049.0,ns,540
cost_string_to_uint,,1,1,bytes,40724391.0,ns,567
cost_string_to_uint,,1,1,bytes,42765520.0,ns,594
cost_string_to_uint,,1,1,bytes,44790741.0,ns,621
cost_string_to_uint,,1,1,bytes,47387697.0,ns,648
cost_string_to_uint,,1,1,bytes,48679323.0,ns,675
cost_string_to_uint,,1,1,bytes,51571068.0,ns,702
cost_string_to_uint,,1,1,bytes,55241150.0,ns,729
cost_string_to_uint,,1,1,bytes,56309967.0,ns,756
cost_string_to_uint,,1,1,bytes,58073138.0,ns,783
cost_string_to_uint,,1,1,bytes,59408087.0,ns,810
cost_string_to_uint,,1,1,bytes,61370902.0,ns,837
cost_string_to_uint,,1,1,bytes,64170369.0,ns,864
cost_string_to_uint,,1,1,bytes,66625874.0,ns,891
cost_string_to_uint,,1,1,bytes,68457165.0,ns,918
cost_string_to_uint,,1,1,bytes,68931111.0,ns,945
cost_string_to_uint,,1,1,bytes,70175137.0,ns,972
cost_string_to_uint,,1,1,bytes,72101093.0,ns,999
cost_string_to_uint,,1,1,bytes,74170551.0,ns,1026
cost_string_to_uint,,1,1,bytes,76034223.0,ns,1053
cost_string_to_uint,,1,1,bytes,78785797.0,ns,1080
cost_string_to_uint,,1,1,bytes,79786746.0,ns,1107
cost_string_to_uint,,1,1,bytes,81701069.0,ns,1134
cost_string_to_uint,,1,1,bytes,83600610.0,ns,1161
cost_string_to_uint,,1,1,bytes,85481726.0,ns,1188
cost_string_to_uint,,1,1,bytes,87562750.0,ns,1215
cost_string_to_uint,,1,1,bytes,89583595.0,ns,1242
cost_string_to_uint,,1,1,bytes,91603429.0,ns,1269
cost_string_to_uint,,1,1,bytes,93467065.0,ns,1296
cost_string_to_uint,,1,1,bytes,95548297.0,ns,1323
cost_string_to_uint,,1,1,bytes,98737344.0,ns,1350
cost_string_to_uint,,1,1,bytes,102372111.0,ns,1377
cost_string_to_uint,,1,1,bytes,104553970.0,ns,1404
cost_string_to_uint,,1,1,bytes,103864326.0,ns,1431
cost_string_to_uint,,1,1,bytes,108652933.0,ns,1458
cost_string_to_uint,,1,1,bytes,108675985.0,ns,1485
cost_string_to_uint,,1,1,bytes,109009830.0,ns,1512
cost_string_to_uint,,1,1,bytes,110955980.0,ns,1539
cost_string_to_uint,,1,1,bytes,112891717.0,ns,1566
cost_string_to_uint,,1,1,bytes,115052637.0,ns,1593
cost_string_to_uint,,1,1,bytes,117088696.0,ns,1620
cost_string_to_uint,,1,1,bytes,118318588.0,ns,1647
cost_string_to_uint,,1,1,bytes,120373833.0,ns,1674
cost_string_to_uint,,1,1,bytes,122277629.0,ns,1701
cost_string_to_uint,,1,1,bytes,124415817.0,ns,1728
cost_string_to_uint,,1,1,bytes,126304482.0,ns,1755
cost_string_to_uint,,1,1,bytes,128352887.0,ns,1782
cost_string_to_uint,,1,1,bytes,130415376.0,ns,1809
cost_string_to_uint,,1,1,bytes,134692708.0,ns,1836
cost_string_to_uint,,1,1,bytes,136317457.0,ns,1863
cost_string_to_uint,,1,1,bytes,136022996.0,ns,1890
cost_string_to_uint,,1,1,bytes,137917922.0,ns,1917
cost_string_to_uint,,1,1,bytes,140085962.0,ns,1944
cost_string_to_uint,,1,1,bytes,142739100.0,ns,1971
cost_string_to_uint,,1,1,bytes,145454471.0,ns,1998
cost_string_to_uint,,1,1,bytes,148044747.0,ns,2025
cost_string_to_uint,,1,1,bytes,150457319.0,ns,2052
cost_string_to_uint,,1,1,bytes,151575014.0,ns,2079
cost_string_to_uint,,1,1,bytes,151299277.0,ns,2106
cost_string_to_uint,,1,1,bytes,153775846.0,ns,2133
cost_string_to_uint,,1,1,bytes,155107966.0,ns,2160
cost_string_to_uint,,1,1,bytes,157241858.0,ns,2187
cost_string_to_uint,,1,1,bytes,160759810.0,ns,2214
cost_string_to_uint,,1,1,bytes,165451875.0,ns,2241
cost_string_to_uint,,1,1,bytes,165377456.0,ns,2268
cost_string_to_uint,,1,1,bytes,168048011.0,ns,2295
cost_string_to_uint,,1,1,bytes,167851793.0,ns,2322
cost_string_to_uint,,1,1,bytes,168880915.0,ns,2349
cost_string_to_uint,,1,1,bytes,174421740.0,ns,2376
cost_string_to_uint,,1,1,bytes,173173894.0,ns,2403
cost_string_to_uint,,1,1,bytes,175089576.0,ns,2430
cost_string_to_uint,,1,1,bytes,176883923.0,ns,2457
cost_string_to_uint,,1,1,bytes,178682234.0,ns,2484
cost_string_to_uint,,1,1,bytes,181271034.0,ns,2511
cost_string_to_uint,,1,1,bytes,186112475.0,ns,2538
cost_string_to_uint,,1,1,bytes,184415453.0,ns,2565
cost_string_to_uint,,1,1,bytes,186265719.0,ns,2592
cost_string_to_uint,,1,1,bytes,188005770.0,ns,2619
cost_string_to_uint,,1,1,bytes,190293746.0,ns,2646
cost_string_to_uint,,1,1,bytes,192361380.0,ns,2673
cost_string_to_uint,,1,1,bytes,193897655.0,ns,2700
