group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_stx_account,,1,1,bytes,3324024.0,ns,1
cost_stx_account,,1,1,bytes,6424721.0,ns,2
cost_stx_account,,1,1,bytes,9665775.0,ns,3
cost_stx_account,,1,1,bytes,12833456.0,ns,4
cost_stx_account,,1,1,bytes,16151457.0,ns,5
cost_stx_account,,1,1,bytes,19285466.0,ns,6
cost_stx_account,,1,1,bytes,22460662.0,ns,7
cost_stx_account,,1,1,bytes,25894208.0,ns,8
cost_stx_account,,1,1,bytes,28927604.0,ns,9
cost_stx_account,,1,1,bytes,32059097.0,ns,10
cost_stx_account,,1,1,bytes,35297232.0,ns,11
cost_stx_account,,1,1,bytes,38458298.0,ns,12
cost_stx_account,,1,1,bytes,41575544.0,ns,13
cost_stx_account,,1,1,bytes,44825981.0,ns,14
cost_stx_account,,1,1,bytes,47950569.0,ns,15
cost_stx_account,,1,1,bytes,51833421.0,ns,16
cost_stx_account,,1,1,bytes,56178042.0,ns,17
cost_stx_account,,1,1,bytes,58624189.0,ns,18
cost_stx_account,,1,1,bytes,63390764.0,ns,19
cost_stx_account,,1,1,bytes,64565057.0,ns,20
cost_stx_account,,1,1,bytes,69327734.0,ns,21
cost_stx_account,,1,1,bytes,71081222.0,ns,22
cost_stx_account,,1,1,bytes,74101582.0,ns,23
cost_stx_account,,1,1,bytes,77445963.0,ns,24
cost_stx_account,,1,1,bytes,80488261.0,ns,25
cost_stx_account,,1,1,bytes,83787660.0,ns,26
cost_stx_account,,1,1,bytes,87212501.0,ns,27
cost_stx_account,,1,1,bytes,90166801.0,ns,28
cost_stx_account,,1,1,bytes,94846582.0,ns,29
cost_stx_account,,1,1,bytes,97525225.0,ns,30
cost_stx_account,,1,1,bytes,99171261.0,ns,31
cost_stx_account,,1,1,bytes,102535840.0,ns,32
cost_stx_account,,1,1,bytes,105400077.0,ns,33
cost_stx_account,,1,1,bytes,108916609.0,ns,34
cost_stx_account,,1,1,bytes,112002929.0,ns,35
cost_stx_account,,1,1,bytes,114663494.0,ns,36
