group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_stx_account,,1,1,bytes,3720177.0,ns,1
cost_stx_account,,1,1,bytes,6458074.0,ns,2
cost_stx_account,,1,1,bytes,9607863.0,ns,3
cost_stx_account,,1,1,bytes,12881429.0,ns,4
cost_stx_account,,1,1,bytes,16018991.0,ns,5
cost_stx_account,,1,1,bytes,19265309.0,ns,6
cost_stx_account,,1,1,bytes,22391808.0,ns,7
cost_stx_account,,1,1,bytes,25709564.0,ns,8
cost_stx_account,,1,1,bytes,28837382.0,ns,9
cost_stx_account,,1,1,bytes,32314114.0,ns,10
cost_stx_account,,1,1,bytes,35756149.0,ns,11
cost_stx_account,,1,1,bytes,40761229.0,ns,12
cost_stx_account,,1,1,bytes,41953957.0,ns,13
cost_stx_account,,1,1,bytes,45144829.0,ns,14
cost_stx_account,,1,1,bytes,48435405.0,ns,15
cost_stx_account,,1,1,bytes,51879590.0,ns,16
cost_stx_account,,1,1,bytes,54952551.0,ns,17
cost_stx_account,,1,1,bytes,57937515.0,ns,18
cost_stx_account,,1,1,bytes,61571040.0,ns,19
cost_stx_account,,1,1,bytes,64859095.0,ns,20
cost_stx_account,,1,1,bytes,67726557.0,ns,21
cost_stx_account,,1,1,bytes,71490150.0,ns,22
cost_stx_account,,1,1,bytes,74241212.0,ns,23
cost_stx_account,,1,1,bytes,77200838.0,ns,24
cost_stx_account,,1,1,bytes,80631930.0,ns,25
cost_stx_account,,1,1,bytes,84049240.0,ns,26
cost_stx_account,,1,1,bytes,87449215.0,ns,27
cost_stx_account,,1,1,bytes,90431445.0,ns,28
cost_stx_account,,1,1,bytes,93550425.0,ns,29
cost_stx_account,,1,1,bytes,97152119.0,ns,30
cost_stx_account,,1,1,bytes,99217382.0,ns,31
cost_stx_account,,1,1,bytes,103371010.0,ns,32
cost_stx_account,,1,1,bytes,108864197.0,ns,33
cost_stx_account,,1,1,bytes,112051905.0,ns,34
cost_stx_account,,1,1,bytes,111960844.0,ns,35
cost_stx_account,,1,1,bytes,115168630.0,ns,36
cost_stx_account,,1,1,bytes,119780328.0,ns,37
cost_stx_account,,1,1,bytes,121673639.0,ns,38
cost_stx_account,,1,1,bytes,124956535.0,ns,39
cost_stx_account,,1,1,bytes,129931118.0,ns,40
cost_stx_account,,1,1,bytes,133440286.0,ns,41
cost_stx_account,,1,1,bytes,135143560.0,ns,42
cost_stx_account,,1,1,bytes,137629582.0,ns,43
cost_stx_account,,1,1,bytes,141184391.0,ns,44
cost_stx_account,,1,1,bytes,143996495.0,ns,45
cost_stx_account,,1,1,bytes,147100873.0,ns,46
cost_stx_account,,1,1,bytes,152228841.0,ns,47
cost_stx_account,,1,1,bytes,157657516.0,ns,48
cost_stx_account,,1,1,bytes,158082505.0,ns,49
cost_stx_account,,1,1,bytes,159720216.0,ns,50
cost_stx_account,,1,1,bytes,162692246.0,ns,51
cost_stx_account,,1,1,bytes,165873339.0,ns,52
cost_stx_account,,1,1,bytes,168904335.0,ns,53
cost_stx_account,,1,1,bytes,174422979.0,ns,54
cost_stx_account,,1,1,bytes,177791543.0,ns,55
cost_stx_account,,1,1,bytes,179404124.0,ns,56
